ONS_ID,food_convenience_num_region_plus_buffer,food_convenience_num_per_1000_res_plus_buffer,food_convenience_dist_closest_3_popwt,food_convenience_pct_within_15_mins,food_fastfood_num_region_plus_buffer,food_fastfood_num_per_1000_res_plus_buffer,food_fastfood_dist_closest_3_popwt,food_fastfood_pct_within_15_mins,food_grocery_num_region_plus_buffer,food_grocery_num_per_1000_res_plus_buffer,food_grocery_dist_closest_3_popwt,food_grocery_pct_within_15_mins,food_resto_num_region_plus_buffer,food_resto_num_per_1000_res_plus_buffer,food_resto_dist_closest_3_popwt,food_resto_pct_within_15_mins,food_specialty_num_region_plus_buffer,food_specialty_num_per_1000_res_plus_buffer,food_specialty_dist_closest_3_popwt,food_specialty_pct_within_15_mins,num_people_attached,num_people_uncertainly_attached,total_population_attachment,percent_attached,percent_uncertaintly_attached,crime_person_total,crime_property_total,crime_other_total,crime_total,crime_person_total_per_1000pop_plus_50m_buffer,crime_property_total_per_1000pop_plus_50m_buffer,crime_other_total_per_1000pop_plus_50m_buffer,crime_total_per_1000pop_plus_50m_buffer,walkscore_mean,walkscore_sd,bikescore_mean,bikescore_sd,unemployment_rate_15_years,percent_of_census_families_that_are_lone_parent,SQ_nohighschool,SQ_limat,SQ_coreneed,neg_medianmarketincome,Factor_scores,Rank_order,Deciles,Quintiles
VAR_ID,VAR100,VAR101,VAR102,VAR103,VAR104,VAR105,VAR106,VAR107,VAR108,VAR109,VAR110,VAR111,VAR112,VAR113,VAR114,VAR115,VAR116,VAR117,VAR118,VAR119,VAR120,VAR121,VAR122,VAR123,VAR124,VAR125,VAR126,VAR127,VAR128,VAR129,VAR130,VAR131,VAR132,VAR133,VAR134,VAR135,VAR136,VAR137,VAR138,VAR139,VAR140,VAR141,VAR142,VAR143,VAR144,VAR145,VAR146
type,Number,Number per 1000,Distance,Percent within distance,Number,Number per 1000,Distance,Percent within distance,Number,Number per 1000,Distance,Percent within distance,Number,Number per 1000,Distance,Percent within distance,Number,Number per 1000,Distance,Percent within distance,Number,Number,Number,Percent of pop,Percent of pop,Number,Number,Number,Number,Number per 1000,Number per 1000,Number per 1000,Number per 1000,Average,Standard deviation,Average,Standard deviation,Percent of labour force,Percent of census families,Square,Square,Square,Median,Index score,Index score,Index score,Index score
category,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Food environment,Primary care attachment,Primary care attachment,Primary care attachment,Primary care attachment,Primary care attachment,Crime and safety,Crime and safety,Crime and safety,Crime and safety,Crime and safety,Crime and safety,Crime and safety,Crime and safety,Transportation,Transportation,Transportation,Transportation,SES index,SES index,SES index,SES index,SES index,SES index,SES index,SES index,SES index,SES index
3010,2,0.242,1.537,0.931,5,0.606,0.774,0.939,1,0.121,3.174,0.839,2,0.242,1.651,0.939,1,0.121,2.682,0.838,6568,790,7358,89.3,10.7,38,121,8,167,8.721986675,15.50575409,6.420351302,30.64809207,33.32,7.175829238,51.35,7.042977733,0.093107618,0.188679245,0.283278862,0.261549154,0.31723647,NA45600,0.077767377,66,7,4
3011,6,0.657,1.069,1,7,0.767,0.85,0.977,2,0.219,1.527,0.872,3,0.329,1.255,0.951,1,0.11,1.774,0.302,8253,1489,9742,84.7,15.3,43,109,10,162,5.47645126,18.83899233,1.533406353,25.84884995,49.8,12.77861218,65.26,10.3217139,0.120080727,0.203921569,0.314673812,0.28031967,0.32239263,NA40400,0.539086514,76,7,4
3012,3,0.351,1.05,0.984,10,1.17,0.779,0.984,2,0.234,1.153,0.71,5,0.585,0.954,0.761,1,0.117,1.313,0.47,6935,1215,8150,85.1,14.9,34,94,10,138,8.771929825,25.61403509,1.637426901,36.02339181,26.23,9.332094074,70.01,13.43934748,0.105660377,0.154347826,0.212397698,0.297345984,0.338985369,NA42800,0.06575177,65,6,3
3013,2,0.22,1.091,0.989,5,0.55,0.746,0.984,0,0,1.458,0.717,2,0.22,0.933,0.872,0,0,1.274,0.581,7426,1543,8969,82.8,17.2,36,683,13,732,5.173362686,81.34287287,1.651073198,88.16730875,24.41,11.71211494,79.15,6.851048729,0.11663286,0.158995816,0.274898814,0.270149036,0.36765555,NA40000,0.359318153,72,7,4
3014,3,0.116,1.54,0.901,7,0.271,1.337,0.808,2,0.077,1.723,0.494,5,0.194,1.335,0.529,0,0,2.766,0.043,24207,3557,27764,87.2,12.8,72,203,17,292,2.942884802,7.976766699,0.696999032,11.61665053,18.45,7.743847346,60.3,14.52305725,0.089527027,0.121352785,0.191904131,0.213821992,0.224364361,NA54800,NA0.837215063,26,3,2
3015,10,1.167,0.669,1,18,2.1,0.426,1,2,0.233,1.15,0.899,9,1.05,0.63,1,5,0.583,0.693,1,7892,1893,9785,80.7,19.3,104,261,32,397,15.05250875,35.70595099,4.317386231,55.07584597,27.77,10.76456495,84.47,7.171006438,0.138095238,0.245192308,0.339557557,0.413773526,0.48507125,NA34800,1.576018802,100,10,5
3016,5,0.322,1.347,0.565,22,1.417,0.875,0.945,2,0.129,3.392,0.498,22,1.417,0.868,0.959,3,0.193,2.795,0.366,14867,2460,17327,85.8,14.2,58,220,13,291,3.735909823,14.29951691,0.901771337,18.93719807,19.53,9.774689021,66.58,11.32011707,0.092495637,0.138211382,0.146341463,0.230192727,0.246372865,NA52000,NA0.742477371,31,3,2
3017,2,0.154,1.975,0.736,8,0.615,0.985,0.919,0,0,2.62,0.468,2,0.154,1.323,0.857,1,0.077,2.745,0.33,11976,1533,13509,88.7,11.3,40,128,16,184,3.458877786,11.60645657,1.614142967,16.67947733,29.6,13.73265665,65.69,14.79809911,0.080591001,0.151271754,0.207701777,0.148579642,0.206631627,NA57200,NA0.994969854,15,2,1
3018,4,0.485,0.781,1,9,1.091,0.528,1,2,0.242,1.451,0.865,8,0.97,0.525,1,4,0.485,0.812,0.95,7253,1765,9018,80.4,19.6,45,153,14,212,6.545454545,20.84848485,1.696969697,29.09090909,26.23,5.383954838,79.43,12.45213462,0.134962806,0.21025641,0.299676201,0.363247418,0.392939123,NA32800,1.093565128,94,9,5
3019,1,100,NA,NA,30,3000,NA,NA,0,0,NA,NA,5,500,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,26,93,6,125,2800,9800,600,13200,26.16666667,6.585337248,86.5,4.324349662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
