Var_Name_clean,Number of convenience stores in the neighbourhood (plus 50m buffer),Number of convenience stores in the neighbourhood per 1000 people (plus 50m buffer),Average distance to closest three convenience stores (population-weighted),Percent of population within a 15-minute walk of a convenience store,Number of fast food restaurants in the neighbourhood (plus 50m buffer),Number of fast food restaurants in the neighbourhood per 1000 people (plus 50m buffer),Average distance to closest three fast food restaurants (population-weighted),Percent of population within a 15-minute walk of a fast food restaurant,Number of grocery stores in the neighbourhood (plus 50m buffer),Number of grocery stores in the neighbourhood per 1000 people (plus 50m buffer),Average distance to closest three grocery stores (population-weighted),Percent of population within a 15-minute walk of a grocery store,Number of restaurants in the neighbourhood (plus 50m buffer),Number of restaurants in the neighbourhood per 1000 people (plus 50m buffer),Average distance to closest three restaurants (population-weighted),Percent of population within a 15-minute walk of a restaurant,Number of specialty food stores in the neighbourhood (plus 50m buffer),Number of specialty food stores in the neighbourhood per 1000 people (plus 50m buffer),Average distance to closest three specialty food stores (population-weighted),Percent of population within a 15-minute walk of a specialty food store,Number of people attached to a primary care physician,Number of people uncertainly attached to a primary care physician,Percent of people attached to a primary care physician,Percent of people attached to a primary care physician,Percent of people uncertainly attached to a primary care physician,Number of crimes against the person,Number of property crimes,Number of other crimes,Number of total crimes,Number of crimes against the person per 1000 people (plus 50m buffer),Number of property crimes per 1000 people (plus 50m buffer),Number of other crimes per 1000 people (plus 50m buffer),Number of total crimes per 1000 people (plus 50m buffer),Mean walk score,Mean bike score,SES index rank order,SES index decile,SES index quintile,Percent tree canopy coverage,Percent of residential area covered in parkland,Pedestrian network density (km per km squared),Cycling network density (km per km squared),Trail network density (km per km squared),Number of residents within a 15-minute walk of a CHC,Percent of residents within a 15-minute walk of a CHC,Average distance to the nearest CHC (km),Total population (2021),Number of private dwellings,Number of households
3085,4,0.354,1.112,0.881,24,2.122,0.621,0.989,1,0.088,1.233,0.851,21,1.857,0.719,0.989,1,0.088,1.1,0.805,10782,1298,12080,89.3,10.7,54,143,13,210,5.128205128,16.18037135,1.326259947,22.63483643,55.73,NA,33,4,2,23.12,10.24,9.11,5.74,3.74,0,0,3.37,11310,4265,4200
3086,2,0.35,6.367,0.397,4,0.7,3.959,0.43,1,0.175,10.484,0.288,3,0.525,4.921,0.321,0,0,12.981,0,5534,469,6003,92.2,7.8,21,46,9,76,4.549431321,9.798775153,1.749781277,16.09798775,8.32,31.42,38,4,2,29.55,9.12,0.13,0.24,0.14,0,0,24.59,5715,2110,2060
3087,15,0.709,0.648,0.955,58,2.742,0.508,1,4,0.189,1.093,0.863,28,1.324,0.641,1,10,0.473,0.975,0.979,21627,6522,28149,76.8,23.2,342,948,94,1384,18.10874704,51.06382979,4.869976359,74.04255319,44.89,88.46,103,10,5,17.53,14.31,10.16,5.17,3.69,9651,45.63,1.33,21150,9520,8990
3088,1,0.169,1.004,1,1,0.169,0.859,1,0,0,1.201,0.35,2,0.339,0.777,1,2,0.339,0.883,1,3836,1293,5129,74.8,25.2,51,96,12,159,9.314140559,18.62828112,2.032176122,29.9745978,39.45454545,74.84090909,107,10,5,12.55,5.72,10.26,1.02,2.84,1984,33.6,1.63,5905,2420,2255
3089,5,0.799,0.738,1,9,1.439,0.65,1,0,0,1.625,0.352,5,0.799,0.763,1,1,0.16,2.082,0.87,6861,1568,8429,81.4,18.6,34,243,12,289,5.595523581,39.00879297,1.918465228,46.52278177,26.36,73.97,79,8,4,18.72,10.71,8.9,5.67,3.23,105,1.68,2.7,6255,2360,2320
3090,2,0.328,1.191,0.975,2,0.328,1.126,0.719,0,0,1.709,0.471,0,0,1.377,0.635,1,0.164,1.254,0.975,5558,1032,6590,84.3,15.7,35,88,10,133,6.388206388,15.72481572,1.801801802,23.91482391,39.49,75.99,49,5,3,24.18,13.81,7.17,3.88,3.14,418,6.85,2.54,6105,2645,2580
3091,4,0.133,2.034,0.415,28,0.934,1.367,0.552,6,0.2,2.094,0.314,19,0.634,1.327,0.567,5,0.167,2.186,0.197,24694,3098,27792,88.9,11.1,105,690,46,841,3.968650992,23.87860597,1.634150409,29.48140737,34.43,56.34,35,4,2,4.82,21.32,3.58,2.51,2.5,0,0,5.78,29985,10130,9985
3092,1,0.224,1.095,0.693,3,0.671,0.72,1,0,0,2.869,0,0,0,1.118,0.861,0,0,1.118,0.768,4179,740,4919,85,15,53,68,8,129,19.2393736,23.26621924,4.026845638,46.53243848,31.13,63.16,78,8,4,24.09,8.34,5.39,3.89,3.76,0,0,3.75,4470,1770,1725
3093,0,0,1.066,0.945,3,0.949,0.724,1,0,0,1.453,0.78,0,0,1.167,0.89,0,0,1.118,0.945,2810,563,3373,83.3,16.7,32,41,9,82,10.75949367,17.40506329,3.164556962,31.32911392,28.53,82.97,55,6,3,30.65,15.94,5.69,4.67,5.12,1748,55.32,1.38,3160,1405,1340
3094,1,0.221,1.616,0.756,2,0.441,1.393,0.756,0,0,2.369,0,0,0,1.884,0,0,0,1.832,0.297,4130,570,4700,87.9,12.1,16,43,11,70,3.528114664,9.702315325,2.425578831,15.65600882,27.6,55.07,54,5,3,31.1,77.86,4.22,5.03,3.65,155,3.42,2.21,4535,2005,1865
3095,6,0.585,0.928,0.985,24,2.338,0.81,0.977,2,0.195,1.48,0.66,10,0.974,0.903,0.839,8,0.779,1.116,0.84,9651,1270,10921,88.4,11.6,44,133,13,190,5.358012664,18.5094983,1.656113005,25.52362396,42.39,64.13,44,5,3,22.88,7.42,8.2,4.38,4.04,3599,35.06,1.79,10265,4195,4125
3097,2,0.137,1.211,0.967,4,0.275,1.044,0.794,2,0.137,1.589,0.692,0,0,1.453,0.545,0,0,1.483,0.5,13604,2215,15819,86,14,34,157,10,201,2.474226804,11.61512027,0.687285223,14.7766323,43.4,69.93,43,4,2,14.14,10.77,10.26,7.57,4.03,0,0,5.96,14550,4775,4725
3098,0,0,2.022,0.059,1,0.213,1.605,0.562,0,0,2.19,0.017,2,0.426,1.206,0.9,0,0,2,0.017,3609,764,4373,82.5,17.5,39,71,15,125,8.528784648,15.13859275,3.198294243,26.86567164,25.17,74.32,88,9,5,29.83,55.43,9.34,8.21,6.25,0,0,2.91,4690,2120,2055
3099,0,0,1.963,0.278,0,0,1.711,0.278,0,0,2.324,0.099,0,0,1.606,0.34,0,0,2.185,0.188,3542,540,4082,86.8,13.2,9,33,1,43,3.300330033,11.22112211,0.330033003,14.85148515,15.46,59.49,5,1,1,39.32,9.85,3.88,1.52,3.01,53,1.75,2.72,3030,1175,1150
3100,3,0.157,1.879,0.749,7,0.366,1.32,0.746,1,0.052,2.918,0.317,4,0.209,1.673,0.582,0,0,3.668,0,16487,2177,18664,88.3,11.7,59,219,18,296,3.189542484,11.60784314,0.941176471,15.73856209,22.68,48.25,16,2,1,21.38,10.48,1.91,1.85,1.02,0,0,8.2,19125,6660,6520
3101,8,0.595,0.98,0.863,28,2.083,0.802,0.932,7,0.521,1.661,0.482,17,1.264,1.191,0.793,7,0.521,1.467,0.548,5470,1511,6981,78.4,21.6,124,723,111,958,11.67720342,57.19598364,8.702119747,77.57530681,29.85,73.43,85,8,4,17.88,43.55,6.55,4.98,3.39,0,0,3.53,13445,6425,6075
3102,0,0,0.975,0.892,0,0,0.959,0.892,0,0,1.068,0.859,1,0.606,0.986,0.892,0,0,1.178,0.892,2193,446,2639,83.1,16.9,6,31,2,39,3.636363636,23.03030303,1.212121212,27.87878788,25.06,73.85,1,1,1,52.67,29.62,5.05,6.38,9.38,0,0,2.39,1650,675,575
3103,3,0.273,1.066,0.751,10,0.911,0.874,0.81,0,0,2.058,0.616,9,0.82,1.143,0.689,3,0.273,1.414,0.729,10086,1794,11880,84.9,15.1,43,155,11,209,4.826958106,17.03096539,1.639344262,23.49726776,25.99,53.75,53,5,3,30.88,8.99,4.74,4.5,3.65,0,0,3.73,10980,4080,3995
