name,total_population,number_of_children_age_0_14,percent_of_pop_that_are_children_age_0_14,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,number_of_adults_age_25_64,percent_of_pop_that_are_adults_age_25_64,percent_of_pop_that_are_seniors_65,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_indigenous,percent_of_pop_that_are_fn,percent_of_pop_that_are_metis,percent_of_pop_that_are_inuit,percent_of_pop_that_are_racialized,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,percent_of_pop_with_knowledge_of_neither_english_nor_french,percent_of_pop_age_25_64_with_no_high_school_diploma_or_equivalent,percent_of_pop_living_alone,unemployment_rate,average_after_tax_income_in_2020_among_recipients,average_market_income_in_2020_among_recipients,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,percent_of_income_from_government_transfers_2020,percent_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,number_of_refugees,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,average_age_of_the_population,median_age_of_the_population,number_of_seniors_65,number_of_children_living_in_one_parent_families,percent_of_children_living_in_one_parent_families,number_of_people_who_are_indigenous,number_of_people_who_are_fn,number_of_people_who_are_metis,number_of_people_who_are_inuit,number_of_immigrants,number_of_recent_immigrants_arr_2016_2021,number_of_people_with_knowledge_of_neither_english_nor_french,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_people_age_25_64_with_a_high_school_diploma,percent_of_workers_who_commute_for_60_minutes_and_over,number_of_people_who_are_racialized,number_self_identified_as_south_asian,number_self_identified_as_chinese,number_self_identified_as_black,number_self_identified_as_filipino,number_self_identified_as_arab,number_self_identified_as_latin_american,number_self_identified_as_southeast_asian,number_self_identified_as_west_asian,number_self_identified_as_korean,number_self_identified_as_japanese,number_self_identified_with_other_visible_minority,number_self_identified_with_multiple_visible_minorities,number_of_people_who_are_non_racialized,percent_self_identified_as_south_asian,percent_self_identified_as_chinese,percent_self_identified_as_black,percent_self_identified_as_filipino,percent_self_identified_as_arab,percent_self_identified_as_latin_american,percent_self_identified_as_southeast_asian,percent_self_identified_as_west_asian,percent_self_identified_as_korean,percent_self_identified_as_japanese,percent_self_identified_with_other_visible_minority,percent_self_identified_with_multiple_visible_minorities,percent_of_people_who_are_non_racialized
ottawa_ons2022_city_view_3028_00000_4_8_percent,980,0,0,0,0,0,0,1,0.01020408163265306,0.34183673469387754,0.03571428571428571,0.025510204081632654,0.01020408163265306,0,0.11734693877551021,0.025510204081632654,0.38461538461538464,0.04081632653061224,NA,0.17346938775510204,10.5,41600,39100,41700,38400,31.6,33.8,NA,25,85,0.08673469387755102,0,NA,0,NA,85,0.08673469387755102,76.5,75,980,0,NA,35,25,10,0,335,10,40,25,0.025510204081632654,0,0,50,0.8333333333333334,0,0,10,0.16666666666666666,0,0,0,0,20,0.23529411764705882,0,0,NA,0,115,35,50,0,0,10,0,0,15,0,0,0,0,865,0.03571428571428571,0.05102040816326531,0,0,0.01020408163265306,0,0,0.015306122448979591,0,0,0,0,0.8826530612244898
ottawa_ons2022_civic_hospital_3029_00000_2_7_percent,895,0,0,0,0,0,0,1,0,0.25555555555555554,0.011111111111111112,0,0.011111111111111112,0,0.10555555555555556,0.027932960893854747,0.35714285714285715,0,NA,0.2681564245810056,5.1,67000,73800,65200,73600,16.1,18,NA,25,15,0.01675977653631285,0,NA,0,NA,15,0.01675977653631285,74.2,73,895,0,NA,10,0,10,0,230,0,0,60,0.06666666666666667,0,0,40,0.4444444444444444,0,0,30,0.3333333333333333,0,0,10,0.1111111111111111,90,0.4864864864864865,0,0,NA,0.1111111111111111,95,15,15,25,0,0,20,0,0,0,10,0,0,805,0.016666666666666666,0.016666666666666666,0.027777777777777776,0,0,0.022222222222222223,0,0,0,0.011111111111111112,0,0,0.8944444444444445
ottawa_ons2022_clarence_rockland_3604_00000_1_7_percent,4495,0,0,0,0,0,0,1,0,0.06570155902004454,0.042316258351893093,0.0200445434298441,0.017817371937639197,0,0.01670378619153675,0.002224694104560623,0.09090909090909091,0.0022271714922048997,NA,0.21245828698553948,16.5,40400,32400,38480,32720,35.2,38.8,NA,10,380,0.08453837597330367,0,NA,0,NA,380,0.08453837597330367,73.2,72,4495,0,NA,190,90,80,0,295,0,10,2965,0.6603563474387528,500,0.111358574610245,355,0.8987341772151899,10,0.02531645569620253,20,0.05063291139240506,0,0,20,0.05063291139240506,155,0.27927927927927926,75,0.13513513513513514,NA,0.0759493670886076,75,0,0,25,10,10,0,0,10,0,10,0,0,4415,0,0,0.005567928730512249,0.0022271714922048997,0.0022271714922048997,0,0,0.0022271714922048997,0,0.0022271714922048997,0,0,0.9832962138084632
ottawa_ons2022_colonnade_business_park_3030_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_constance_bay_3031_00000_5_1_percent,395,0,0,0,0,0,0,1,0,0.15384615384615385,0.02564102564102564,0,0.02564102564102564,0,0,0.02531645569620253,0.6666666666666666,0,NA,0.31645569620253167,20,44400,40400,43800,41000,29.8,34.4,NA,10,35,0.08860759493670886,0,NA,0,NA,35,0.08860759493670886,73.2,71,395,0,NA,10,0,10,0,60,0,0,10,0.02564102564102564,0,0,45,1,0,0,0,0,0,0,0,0,15,0.25,10,0.16666666666666666,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,1
ottawa_ons2022_convent_glen_orleans_woods_3032_00000_1_5_percent,3485,0,0,0,0,0,0,1,0.00430416068866571,0.24820659971305595,0.015781922525107604,0.005738880918220947,0.010043041606886656,0,0.12195121951219512,0.00860832137733142,0.10526315789473684,0.011477761836441894,NA,0.1836441893830703,11.1,47560,42160,46320,43320,26.9,30.4,NA,30,170,0.04871060171919771,0,NA,0,NA,170,0.04871060171919771,73.9,73,3485,10,1,55,20,35,0,865,15,40,845,0.242467718794835,55,0.015781922525107604,160,0.8205128205128205,15,0.07692307692307693,0,0,0,0,15,0.07692307692307693,160,0.4444444444444444,50,0.1388888888888889,NA,0.07692307692307693,425,85,55,130,20,50,15,10,20,10,15,10,0,3060,0.024390243902439025,0.015781922525107604,0.03730272596843615,0.005738880918220947,0.014347202295552367,0.00430416068866571,0.0028694404591104736,0.005738880918220947,0.0028694404591104736,0.00430416068866571,0.0028694404591104736,0,0.8780487804878049
ottawa_ons2022_corkery_3033_00000_2_5_percent,525,0,0,0,0,0,0,1,0,0.19230769230769232,0.028846153846153848,0,0.019230769230769232,0,0.019230769230769232,0.02857142857142857,0.75,0,NA,0.11428571428571428,11.1,46000,40600,46600,42800,27.6,31.4,NA,15,30,0.05714285714285714,0,NA,0,NA,30,0.05714285714285714,73.4,71.5,525,0,NA,15,0,10,0,100,0,0,0,0,0,0,30,0.8571428571428571,0,0,0,0,0,0,0,0,45,0.5625,15,0.1875,NA,0,10,0,0,0,0,0,0,0,0,0,0,0,0,515,0,0,0,0,0,0,0,0,0,0,0,0,0.9903846153846154
ottawa_ons2022_cornwall_3802_00000_2_5_percent,10905,0,0,0,0,0,0,1,0.0018331805682859762,0.10403299725022915,0.027956003666361137,0.01833180568285976,0.008249312557286892,0,0.02612282309807516,0.0041265474552957355,0.14754098360655737,0.007332722273143905,NA,0.32324621733149933,15.4,34880,25580,33480,26240,45,48.6,NA,45,1990,0.18248509857863365,0,NA,0,NA,1990,0.18248509857863365,74.8,73.5,10905,35,1,305,200,90,0,1135,20,80,1940,0.1778185151237397,120,0.010999083409715857,695,0.8580246913580247,30,0.037037037037037035,50,0.06172839506172839,0,0,40,0.04938271604938271,100,0.11049723756906077,135,0.14917127071823205,NA,0.06790123456790123,285,115,50,30,25,10,15,10,10,0,0,10,15,10625,0.010540788267644362,0.00458295142071494,0.002749770852428964,0.00229147571035747,9.165902841429881e-4,0.001374885426214482,9.165902841429881e-4,9.165902841429881e-4,0,0,9.165902841429881e-4,0.001374885426214482,0.9738771769019249
ottawa_ons2022_craig_henry_manordale_3034_00000_2_2_percent,1595,0,0,0,0,0,0,1,0.00625,0.375,0.00625,0,0.00625,0,0.1625,0.018808777429467086,0.13636363636363635,0.028125,NA,0.21003134796238246,16.7,48360,45400,47520,45720,27.3,30,NA,30,85,0.05329153605015674,0,NA,0,NA,85,0.05329153605015674,74.9,74,1595,0,NA,10,0,10,0,600,10,45,40,0.025,0,0,85,0.8095238095238095,15,0.14285714285714285,0,0,0,0,0,0,80,0.4444444444444444,15,0.08333333333333333,NA,0,260,65,65,60,10,25,0,10,15,0,0,0,0,1340,0.040625,0.040625,0.0375,0.00625,0.015625,0,0.00625,0.009375,0,0,0,0,0.8375
ottawa_ons2022_crestview_tanglewood_3035_00000_1_4_percent,1535,0,0,0,0,0,0,1,0.006535947712418301,0.4084967320261438,0,0,0,0,0.12091503267973856,0.019543973941368076,0.1935483870967742,0.026143790849673203,NA,0.18892508143322476,14.9,44280,38800,42560,39160,30.5,33.9,NA,30,65,0.042483660130718956,0,NA,0,NA,65,0.042483660130718956,75.3,74,1535,10,1,0,0,0,0,625,10,40,55,0.03594771241830065,0,0,100,0.7407407407407407,15,0.1111111111111111,20,0.14814814814814814,0,0,0,0,65,0.325,35,0.175,NA,0,185,50,45,30,0,30,10,10,0,0,0,0,10,1345,0.032679738562091505,0.029411764705882353,0.0196078431372549,0,0.0196078431372549,0.006535947712418301,0.006535947712418301,0,0,0,0,0.006535947712418301,0.8790849673202614
