name,total_population,number_of_children_age_0_14,percent_of_pop_that_are_children_age_0_14,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,number_of_adults_age_25_64,percent_of_pop_that_are_adults_age_25_64,percent_of_pop_that_are_seniors_65,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_indigenous,percent_of_pop_that_are_fn,percent_of_pop_that_are_metis,percent_of_pop_that_are_inuit,percent_of_pop_that_are_racialized,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,percent_of_pop_with_knowledge_of_neither_english_nor_french,percent_of_pop_age_25_64_with_no_high_school_diploma_or_equivalent,percent_of_pop_living_alone,unemployment_rate,average_after_tax_income_in_2020_among_recipients,average_market_income_in_2020_among_recipients,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,percent_of_income_from_government_transfers_2020,percent_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,number_of_refugees,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,average_age_of_the_population,median_age_of_the_population,number_of_seniors_65,number_of_children_living_in_one_parent_families,percent_of_children_living_in_one_parent_families,number_of_people_who_are_indigenous,number_of_people_who_are_fn,number_of_people_who_are_metis,number_of_people_who_are_inuit,number_of_immigrants,number_of_recent_immigrants_arr_2016_2021,number_of_people_with_knowledge_of_neither_english_nor_french,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_people_age_25_64_with_a_high_school_diploma,percent_of_workers_who_commute_for_60_minutes_and_over,number_of_people_who_are_racialized,number_self_identified_as_south_asian,number_self_identified_as_chinese,number_self_identified_as_black,number_self_identified_as_filipino,number_self_identified_as_arab,number_self_identified_as_latin_american,number_self_identified_as_southeast_asian,number_self_identified_as_west_asian,number_self_identified_as_korean,number_self_identified_as_japanese,number_self_identified_with_other_visible_minority,number_self_identified_with_multiple_visible_minorities,number_of_people_who_are_non_racialized,percent_self_identified_as_south_asian,percent_self_identified_as_chinese,percent_self_identified_as_black,percent_self_identified_as_filipino,percent_self_identified_as_arab,percent_self_identified_as_latin_american,percent_self_identified_as_southeast_asian,percent_self_identified_as_west_asian,percent_self_identified_as_korean,percent_self_identified_as_japanese,percent_self_identified_with_other_visible_minority,percent_self_identified_with_multiple_visible_minorities,percent_of_people_who_are_non_racialized,number_of_children_eligible_for_instruction_in_the_minority_official_language,percent_of_children_eligible_for_instruction_in_the_minority_official_language,number_of_children_not_eligible_for_instruction_in_the_minority_official_language,percent_of_children_not_eligible_for_instruction_in_the_minority_official_language,number_1_year_mobility_total,number_1_year_non_movers,number_1_year_movers,number_1_year_non_migrants,number_1_year_migrants,number_1_year_intraprovincial_migrants,number_1_year_interprovincial_migrants,number_1_year_external_migrants,percent_1_year_non_movers,percent_1_year_movers,percent_1_year_migrants.x,percent_1_year_migrants.y,percent_1_year_intraprovincial_migrants,percent_1_year_interprovincial_migrants,percent_1_year_external_migrants,number_5_year_mobility_total,number_5_year_non_movers,number_5_year_movers,number_5_year_non_migrants,number_5_year_migrants,number_5_year_intraprovincial_migrants,number_5_year_interprovincial_migrants,number_5_year_external_migrants,percent_5_year_non_movers,percent_5_year_movers,percent_5_year_migrants.x,percent_5_year_migrants.y,percent_5_year_intraprovincial_migrants,percent_5_year_interprovincial_migrants,percent_5_year_external_migrants
ottawa_ons2022_old_barrhaven_east_3079_00000_2_0_percent,1680,1680,1,0,0,0,0,0,0.03869047619047619,0.041666666666666664,0.026785714285714284,0.008928571428571428,0.011904761904761904,0,0.5,0.011904761904761904,0.2857142857142857,0.05654761904761905,NA,0,0,NA,NA,NA,NA,NA,NA,NA,20,145,0.08630952380952381,145,0.08630952380952381,0,NA,0,NA,3.7,3.7,0,245,0.1467065868263473,45,15,20,0,70,65,95,120,0.07142857142857142,20,0.011904761904761904,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,840,155,60,205,35,200,15,30,45,20,0,10,55,840,0.09226190476190477,0.03571428571428571,0.12202380952380952,0.020833333333333332,0.11904761904761904,0.008928571428571428,0.017857142857142856,0.026785714285714284,0.011904761904761904,0,0.005952380952380952,0.03273809523809524,0.5,420,0.25,1260,0.75,1475,1245,230,190,35,25,10,0,0.8440677966101695,0.15593220338983052,0.1288135593220339,0.023728813559322035,0.01694915254237288,0.006779661016949152,0,570,290,280,185,100,10,35,60,0.5087719298245614,0.49122807017543857,0.32456140350877194,0.17543859649122806,0.017543859649122806,0.06140350877192982,0.10526315789473684
ottawa_ons2022_old_barrhaven_west_3080_00000_1_1_percent,1800,1800,1,0,0,0,0,0,0.022222222222222223,0.022222222222222223,0.030555555555555555,0.016666666666666666,0.011111111111111112,0.005555555555555556,0.39444444444444443,0,0,0.016713091922005572,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,145,0.08055555555555556,145,0.08055555555555556,0,NA,0,NA,3.9,4,0,170,0.0947075208913649,55,30,20,10,40,40,30,80,0.04456824512534819,25,0.013927576601671309,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,710,190,75,140,65,120,10,35,20,0,0,0,55,1090,0.10555555555555556,0.041666666666666664,0.07777777777777778,0.03611111111111111,0.06666666666666667,0.005555555555555556,0.019444444444444445,0.011111111111111112,0,0,0,0.030555555555555555,0.6055555555555555,470,0.2611111111111111,1325,0.7361111111111112,1640,1425,210,160,55,30,20,10,0.8689024390243902,0.12804878048780488,0.0975609756097561,0.03353658536585366,0.018292682926829267,0.012195121951219513,0.006097560975609756,645,365,275,170,105,55,30,15,0.5658914728682171,0.4263565891472868,0.26356589147286824,0.16279069767441862,0.08527131782945736,0.046511627906976744,0.023255813953488372
ottawa_ons2022_old_hunt_club_3081_00000_2_4_percent,1235,1235,1,0,0,0,0,0,0.04048582995951417,0.04048582995951417,0.044534412955465584,0.024291497975708502,0.012145748987854251,0,0.5263157894736842,0.024291497975708502,0.6,0.03643724696356275,NA,0,0,NA,NA,NA,NA,NA,NA,NA,30,205,0.1659919028340081,205,0.1659919028340081,0,NA,0,NA,3.6,3.7,0,195,0.15918367346938775,55,30,15,0,50,50,45,140,0.11336032388663968,60,0.048582995951417005,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,650,45,25,290,50,160,25,15,0,0,0,0,45,585,0.03643724696356275,0.020242914979757085,0.23481781376518218,0.04048582995951417,0.12955465587044535,0.020242914979757085,0.012145748987854251,0,0,0,0,0.03643724696356275,0.47368421052631576,390,0.3157894736842105,845,0.6842105263157895,1070,840,230,160,70,40,20,10,0.7850467289719626,0.21495327102803738,0.14953271028037382,0.06542056074766354,0.037383177570093455,0.018691588785046728,0.009345794392523364,375,120,255,140,120,20,40,55,0.32,0.68,0.37333333333333335,0.32,0.05333333333333334,0.10666666666666667,0.14666666666666667
ottawa_ons2022_old_ottawa_east_3082_00000_4_2_percent,435,435,1,0,0,0,0,0,0.06896551724137931,0.06896551724137931,0,0,0,0,0.2413793103448276,0.05747126436781609,0.8333333333333334,0.022988505747126436,NA,0,0,NA,NA,NA,NA,NA,NA,NA,25,0,0,0,0,0,NA,0,NA,3.8,4,0,30,0.06896551724137931,0,0,0,0,30,30,10,35,0.08045977011494253,20,0.04597701149425287,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,105,20,20,15,0,0,10,0,30,0,0,0,0,335,0.04597701149425287,0.04597701149425287,0.034482758620689655,0,0,0.022988505747126436,0,0.06896551724137931,0,0,0,0,0.7701149425287356,130,0.2988505747126437,300,0.6896551724137931,400,345,50,25,25,0,0,20,0.8625,0.125,0.0625,0.0625,0,0,0.05,135,75,60,40,20,0,0,10,0.5555555555555556,0.4444444444444444,0.2962962962962963,0.14814814814814814,0,0,0.07407407407407407
ottawa_ons2022_old_ottawa_south_3083_00000_3_5_percent,415,415,1,0,0,0,0,0,0,0,0,0,0,0,0.18292682926829268,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,NA,3.8,3.8,0,40,0.0963855421686747,0,0,0,0,0,0,0,50,0.12195121951219512,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,75,0,35,20,0,0,0,0,0,0,0,0,0,345,0,0.08536585365853659,0.04878048780487805,0,0,0,0,0,0,0,0,0,0.8414634146341463,130,0.3132530120481928,280,0.6746987951807228,350,300,50,40,10,0,0,0,0.8571428571428571,0.14285714285714285,0.11428571428571428,0.02857142857142857,0,0,0,155,60,90,65,30,0,15,10,0.3870967741935484,0.5806451612903226,0.41935483870967744,0.1935483870967742,0,0.0967741935483871,0.06451612903225806
ottawa_ons2022_orleans_industrial_3084_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_orleans_village_chateauneuf_3085_00000_1_6_percent,750,750,1,0,0,0,0,0,0.02,0.02,0.02,0,0.02,0,0.31333333333333335,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,15,0.02,15,0.02,0,NA,0,NA,3.7,3.7,0,80,0.10810810810810811,15,0,15,0,15,15,0,220,0.2913907284768212,75,0.09933774834437085,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,235,20,25,100,15,40,0,10,0,10,0,0,15,510,0.02666666666666667,0.03333333333333333,0.13333333333333333,0.02,0.05333333333333334,0,0.013333333333333334,0,0.013333333333333334,0,0,0.02,0.68,385,0.5133333333333333,360,0.48,670,555,115,80,40,0,25,10,0.8283582089552238,0.17164179104477612,0.11940298507462686,0.05970149253731343,0,0.03731343283582089,0.014925373134328358,250,85,165,125,35,0,10,20,0.34,0.66,0.5,0.14,0,0.04,0.08
ottawa_ons2022_osgoode_vernon_3086_00000_1_6_percent,450,450,1,0,0,0,0,0,0,0,0.03333333333333333,0.03333333333333333,0,0,0.044444444444444446,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,NA,3.6,3.6,0,15,0.03333333333333333,15,15,0,0,0,0,0,10,0.022222222222222223,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,20,15,0,0,0,0,0,0,0,0,0,0,0,425,0.03333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.9444444444444444,80,0.17777777777777778,370,0.8222222222222222,390,345,45,25,20,20,0,0,0.8846153846153846,0.11538461538461539,0.0641025641025641,0.05128205128205128,0.05128205128205128,0,0,150,90,60,35,20,10,10,0,0.6,0.4,0.23333333333333334,0.13333333333333333,0.06666666666666667,0.06666666666666667,0
ottawa_ons2022_overbrook_3087_00000_5_0_percent,1640,1640,1,0,0,0,0,0,0.08536585365853659,0.08536585365853659,0.06707317073170732,0.042682926829268296,0,0.018292682926829267,0.6189024390243902,0.051829268292682924,0.6071428571428571,0.057926829268292686,NA,0,0,NA,NA,NA,NA,NA,NA,NA,85,440,0.2682926829268293,440,0.2682926829268293,0,NA,0,NA,3.6,3.7,0,425,0.26153846153846155,110,70,0,30,140,140,95,435,0.2652439024390244,245,0.14939024390243902,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,1015,90,10,605,40,115,25,10,65,0,0,35,20,625,0.054878048780487805,0.006097560975609756,0.36890243902439024,0.024390243902439025,0.0701219512195122,0.01524390243902439,0.006097560975609756,0.039634146341463415,0,0,0.021341463414634148,0.012195121951219513,0.38109756097560976,805,0.4923547400611621,835,0.5107033639143731,1425,1180,250,175,65,20,30,15,0.8280701754385965,0.17543859649122806,0.12280701754385964,0.0456140350877193,0.014035087719298246,0.021052631578947368,0.010526315789473684,460,185,275,115,155,10,35,105,0.40217391304347827,0.5978260869565217,0.25,0.33695652173913043,0.021739130434782608,0.07608695652173914,0.22826086956521738
ottawa_ons2022_parkwood_hills_3088_00000_5_9_percent,640,640,1,0,0,0,0,0,0.1953125,0.203125,0.015625,0.015625,0,0,0.8515625,0.171875,0.8461538461538461,0.15625,NA,0,0,NA,NA,NA,NA,NA,NA,NA,110,235,0.3671875,235,0.3671875,0,NA,0,NA,3.2,3,0,100,0.15873015873015872,10,10,0,0,130,125,100,55,0.0859375,25,0.0390625,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,545,55,0,260,25,155,10,15,0,0,0,0,0,95,0.0859375,0,0.40625,0.0390625,0.2421875,0.015625,0.0234375,0,0,0,0,0,0.1484375,200,0.3125,440,0.6875,520,440,80,50,25,0,0,20,0.8461538461538461,0.15384615384615385,0.09615384615384616,0.04807692307692308,0,0,0.038461538461538464,150,40,105,30,80,0,0,75,0.26666666666666666,0.7,0.2,0.5333333333333333,0,0,0.5
ottawa_ons2022_pembroke_3715_00000_3_1_percent,925,925,1,0,0,0,0,0,0,0,0.12972972972972974,0.06486486486486487,0.06486486486486487,0,0.032432432432432434,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,185,0.1989247311827957,185,0.1989247311827957,0,NA,0,NA,3.5,3.6,0,285,0.30978260869565216,120,60,60,0,0,0,0,25,0.02702702702702703,25,0.02702702702702703,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,30,0,0,0,0,0,10,0,0,0,0,0,0,895,0,0,0,0,0,0.010810810810810811,0,0,0,0,0,0,0.9675675675675676,210,0.22580645161290322,715,0.7688172043010753,815,685,125,60,65,45,10,0,0.8404907975460123,0.15337423312883436,0.0736196319018405,0.07975460122699386,0.05521472392638037,0.012269938650306749,0,235,115,125,45,80,65,20,0,0.48936170212765956,0.5319148936170213,0.19148936170212766,0.3404255319148936,0.2765957446808511,0.0851063829787234,0
ottawa_ons2022_perth_3407_00000_2_5_percent,255,255,1,0,0,0,0,0,0,0,0.058823529411764705,0.058823529411764705,0,0,0.13725490196078433,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,30,0.11538461538461539,30,0.11538461538461539,0,NA,0,NA,3.2,3.2,0,70,0.27450980392156865,15,15,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,35,0,0,10,0,10,0,0,0,0,0,0,0,225,0,0,0.0392156862745098,0,0.0392156862745098,0,0,0,0,0,0,0,0.8823529411764706,30,0.11538461538461539,225,0.8653846153846154,205,165,40,25,15,15,0,0,0.8048780487804879,0.1951219512195122,0.12195121951219512,0.07317073170731707,0.07317073170731707,0,0,65,30,30,10,20,20,0,0,0.46153846153846156,0.46153846153846156,0.15384615384615385,0.3076923076923077,0.3076923076923077,0,0
ottawa_ons2022_petawawa_3716_00000_2_3_percent,1970,1970,1,0,0,0,0,0,0,0,0.04060913705583756,0.017766497461928935,0.025380710659898477,0,0.07868020304568528,0,NA,0.007614213197969543,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,75,0.03807106598984772,75,0.03807106598984772,0,NA,0,NA,3.5,3.6,0,165,0.08396946564885496,80,35,50,0,0,0,15,210,0.1065989847715736,70,0.03553299492385787,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,155,55,0,50,0,0,10,0,0,0,0,0,25,1815,0.027918781725888325,0,0.025380710659898477,0,0,0.005076142131979695,0,0,0,0,0,0.012690355329949238,0.9213197969543148,505,0.2563451776649746,1465,0.7436548223350253,1695,1425,265,120,150,75,60,10,0.8407079646017699,0.15634218289085547,0.07079646017699115,0.08849557522123894,0.04424778761061947,0.035398230088495575,0.0058997050147492625,580,165,410,140,270,150,110,10,0.28448275862068967,0.7068965517241379,0.2413793103448276,0.46551724137931033,0.25862068965517243,0.1896551724137931,0.017241379310344827
ottawa_ons2022_pikwakanagan_golden_lake_39_3717_03030_38_6_percent,45,45,1,0,0,0,0,0,0,0,1,1,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,20,0.4444444444444444,20,0.4444444444444444,0,NA,0,NA,3.4,2.7,0,20,0.4444444444444444,45,45,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,45,1,40,40,0,0,0,0,0,0,1,0,0,0,0,0,0,15,10,0,0,0,0,0,0,0.6666666666666666,0,0,0,0,0,0
ottawa_ons2022_pineview_3089_00000_3_1_percent,435,435,1,0,0,0,0,0,0.06896551724137931,0.06896551724137931,0,0,0,0,0.3448275862068966,0.06896551724137931,1,0.06896551724137931,NA,0,0,NA,NA,NA,NA,NA,NA,NA,30,60,0.13793103448275862,60,0.13793103448275862,0,NA,0,NA,3.7,3.6,0,50,0.11494252873563218,0,0,0,0,30,30,30,65,0.14942528735632185,25,0.05747126436781609,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,150,20,0,40,10,40,0,10,15,0,0,0,10,280,0.04597701149425287,0,0.09195402298850575,0.022988505747126436,0.09195402298850575,0,0.022988505747126436,0.034482758620689655,0,0,0,0.022988505747126436,0.6436781609195402,200,0.45977011494252873,240,0.5517241379310345,395,320,75,70,0,0,0,0,0.810126582278481,0.189873417721519,0.17721518987341772,0,0,0,0,145,75,70,50,20,0,0,15,0.5172413793103449,0.4827586206896552,0.3448275862068966,0.13793103448275862,0,0,0.10344827586206896
ottawa_ons2022_playfair_park_guildwood_estates_3090_00000_2_3_percent,380,380,1,0,0,0,0,0,0.05263157894736842,0.06578947368421052,0,0,0,0,0.40789473684210525,0.02631578947368421,0.4,0.039473684210526314,NA,0,0,NA,NA,NA,NA,NA,NA,NA,10,40,0.10526315789473684,40,0.10526315789473684,0,NA,0,NA,3.7,4.1,0,55,0.14473684210526316,0,0,0,0,25,20,15,40,0.10526315789473684,20,0.05263157894736842,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,155,35,15,25,0,55,10,0,0,0,0,0,15,225,0.09210526315789473,0.039473684210526314,0.06578947368421052,0,0.14473684210526316,0.02631578947368421,0,0,0,0,0,0.039473684210526314,0.5921052631578947,185,0.4805194805194805,195,0.5064935064935064,325,290,40,30,15,0,0,0,0.8923076923076924,0.12307692307692308,0.09230769230769231,0.046153846153846156,0,0,0,125,50,80,50,30,15,0,15,0.4,0.64,0.4,0.24,0.12,0,0.12
ottawa_ons2022_portobello_south_3091_00000_1_9_percent,2785,2785,1,0,0,0,0,0,0.034050179211469536,0.03763440860215054,0.025089605734767026,0.014336917562724014,0.0035842293906810036,0,0.5,0.012567324955116697,0.3333333333333333,0.035842293906810034,NA,0,0,NA,NA,NA,NA,NA,NA,NA,35,150,0.053763440860215055,150,0.053763440860215055,0,NA,0,NA,3.7,3.7,0,390,0.1400359066427289,70,40,10,0,105,95,100,795,0.2849462365591398,365,0.13082437275985664,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,1395,245,90,505,50,195,25,25,90,20,0,15,140,1395,0.08781362007168458,0.03225806451612903,0.18100358422939067,0.017921146953405017,0.06989247311827956,0.008960573476702509,0.008960573476702509,0.03225806451612903,0.007168458781362007,0,0.005376344086021506,0.05017921146953405,0.5,1535,0.5501792114695341,1255,0.449820788530466,2470,2100,370,265,105,25,50,20,0.8502024291497976,0.14979757085020243,0.10728744939271255,0.04251012145748988,0.010121457489878543,0.020242914979757085,0.008097165991902834,880,400,485,310,175,30,95,50,0.45454545454545453,0.5511363636363636,0.3522727272727273,0.19886363636363635,0.03409090909090909,0.10795454545454546,0.056818181818181816
ottawa_ons2022_qualicum_redwood_3092_00000_1_9_percent,265,265,1,0,0,0,0,0,0,0,0.03773584905660377,0,0.03773584905660377,0,0.5471698113207547,0,NA,0.03773584905660377,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,60,0.22641509433962265,60,0.22641509433962265,0,NA,0,NA,4.2,4.6,0,75,0.2830188679245283,10,0,10,0,0,0,10,30,0.11320754716981132,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,145,10,15,45,0,25,0,15,0,0,0,0,30,125,0.03773584905660377,0.05660377358490566,0.16981132075471697,0,0.09433962264150944,0,0.05660377358490566,0,0,0,0,0.11320754716981132,0.4716981132075472,70,0.2641509433962264,195,0.7358490566037735,250,235,20,0,10,0,10,0,0.94,0.08,0,0.04,0,0.04,0,95,50,45,40,0,0,0,0,0.5263157894736842,0.47368421052631576,0.42105263157894735,0,0,0,0
ottawa_ons2022_queensway_terrace_north_3093_00000_3_0_percent,285,285,1,0,0,0,0,0,0.03571428571428571,0.03571428571428571,0.05357142857142857,0,0,0,0.3392857142857143,0.03508771929824561,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,10,0,0,0,0,0,NA,0,NA,3.3,3.4,0,35,0.12280701754385964,15,0,0,0,10,10,0,10,0.03571428571428571,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,95,10,10,15,0,30,0,0,0,10,0,0,0,185,0.03571428571428571,0.03571428571428571,0.05357142857142857,0,0.10714285714285714,0,0,0,0.03571428571428571,0,0,0,0.6607142857142857,95,0.3333333333333333,185,0.6491228070175439,225,205,20,10,10,0,10,0,0.9111111111111111,0.08888888888888889,0.044444444444444446,0.044444444444444446,0,0.044444444444444446,0,65,35,30,25,0,0,0,0,0.5384615384615384,0.46153846153846156,0.38461538461538464,0,0,0,0
ottawa_ons2022_queenswood_chatelaine_3094_00000_3_9_percent,320,320,1,0,0,0,0,0,0.031746031746031744,0.031746031746031744,0.06349206349206349,0.06349206349206349,0,0,0.15873015873015872,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,40,0.12698412698412698,40,0.12698412698412698,0,NA,0,NA,3.6,3.8,0,55,0.1774193548387097,20,20,0,0,10,10,0,70,0.2222222222222222,25,0.07936507936507936,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,50,0,0,25,10,20,0,0,0,0,0,0,0,265,0,0,0.07936507936507936,0.031746031746031744,0.06349206349206349,0,0,0,0,0,0,0,0.8412698412698413,155,0.49206349206349204,160,0.5079365079365079,270,235,40,30,10,0,10,0,0.8703703703703703,0.14814814814814814,0.1111111111111111,0.037037037037037035,0,0.037037037037037035,0,85,55,35,35,0,0,0,0,0.6470588235294118,0.4117647058823529,0.4117647058823529,0,0,0,0
ottawa_ons2022_queenswood_heights_3095_00000_1_5_percent,565,565,1,0,0,0,0,0,0.017857142857142856,0.026785714285714284,0.05357142857142857,0.026785714285714284,0.026785714285714284,0,0.26785714285714285,0,0,0.026785714285714284,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,50,0.08849557522123894,50,0.08849557522123894,0,NA,0,NA,3.9,4,0,80,0.14285714285714285,30,15,15,0,15,10,15,140,0.25,60,0.10714285714285714,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,150,20,15,45,0,40,0,0,0,0,10,0,10,410,0.03571428571428571,0.026785714285714284,0.08035714285714286,0,0.07142857142857142,0,0,0,0,0.017857142857142856,0,0.017857142857142856,0.7321428571428571,275,0.48672566371681414,290,0.5132743362831859,495,425,70,50,20,10,10,0,0.8585858585858586,0.1414141414141414,0.10101010101010101,0.04040404040404041,0.020202020202020204,0.020202020202020204,0,185,90,90,40,50,20,20,10,0.4864864864864865,0.4864864864864865,0.21621621621621623,0.2702702702702703,0.10810810810810811,0.10810810810810811,0.05405405405405406
ottawa_ons2022_renfrew_3718_00000_1_7_percent,420,420,1,0,0,0,0,0,0,0,0.08333333333333333,0.023809523809523808,0.05952380952380952,0,0.03571428571428571,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,100,0.23809523809523808,100,0.23809523809523808,0,NA,0,NA,3.4,3.6,0,130,0.30952380952380953,35,10,25,0,0,0,0,20,0.047619047619047616,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,15,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0.9523809523809523,50,0.11904761904761904,375,0.8928571428571429,355,305,45,15,40,25,15,0,0.8591549295774648,0.1267605633802817,0.04225352112676056,0.11267605633802817,0.07042253521126761,0.04225352112676056,0,130,40,90,55,35,35,0,0,0.3076923076923077,0.6923076923076923,0.4230769230769231,0.2692307692307692,0.2692307692307692,0,0
ottawa_ons2022_rideaucrest_davidson_heights_3097_00000_1_4_percent,670,670,1,0,0,0,0,0,0.03731343283582089,0.03731343283582089,0.022388059701492536,0.014925373134328358,0,0,0.5,0.014925373134328358,0.4,0.05970149253731343,NA,0,0,NA,NA,NA,NA,NA,NA,NA,10,30,0.04477611940298507,30,0.04477611940298507,0,NA,0,NA,3.7,3.9,0,80,0.11940298507462686,15,10,0,0,25,25,40,40,0.05970149253731343,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,335,55,75,45,40,95,10,10,0,0,0,0,15,335,0.08208955223880597,0.11194029850746269,0.06716417910447761,0.05970149253731343,0.1417910447761194,0.014925373134328358,0.014925373134328358,0,0,0,0,0.022388059701492536,0.5,165,0.2462686567164179,500,0.746268656716418,595,540,55,30,30,20,0,10,0.907563025210084,0.09243697478991597,0.05042016806722689,0.05042016806722689,0.03361344537815126,0,0.01680672268907563,200,85,110,65,50,0,15,25,0.425,0.55,0.325,0.25,0,0.075,0.125
