name,total_population,number_of_children_age_0_14,percent_of_pop_that_are_children_age_0_14,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,number_of_adults_age_25_64,percent_of_pop_that_are_adults_age_25_64,percent_of_pop_that_are_seniors_65,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_indigenous,percent_of_pop_that_are_fn,percent_of_pop_that_are_metis,percent_of_pop_that_are_inuit,percent_of_pop_that_are_racialized,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,percent_of_pop_with_knowledge_of_neither_english_nor_french,percent_of_pop_age_25_64_with_no_high_school_diploma_or_equivalent,percent_of_pop_living_alone,unemployment_rate,average_after_tax_income_in_2020_among_recipients,average_market_income_in_2020_among_recipients,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,percent_of_income_from_government_transfers_2020,percent_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,number_of_refugees,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,average_age_of_the_population,median_age_of_the_population,number_of_seniors_65,number_of_children_living_in_one_parent_families,percent_of_children_living_in_one_parent_families,number_of_people_who_are_indigenous,number_of_people_who_are_fn,number_of_people_who_are_metis,number_of_people_who_are_inuit,number_of_immigrants,number_of_recent_immigrants_arr_2016_2021,number_of_people_with_knowledge_of_neither_english_nor_french,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_people_age_25_64_with_a_high_school_diploma,percent_of_workers_who_commute_for_60_minutes_and_over,number_of_people_who_are_racialized,number_self_identified_as_south_asian,number_self_identified_as_chinese,number_self_identified_as_black,number_self_identified_as_filipino,number_self_identified_as_arab,number_self_identified_as_latin_american,number_self_identified_as_southeast_asian,number_self_identified_as_west_asian,number_self_identified_as_korean,number_self_identified_as_japanese,number_self_identified_with_other_visible_minority,number_self_identified_with_multiple_visible_minorities,number_of_people_who_are_non_racialized,percent_self_identified_as_south_asian,percent_self_identified_as_chinese,percent_self_identified_as_black,percent_self_identified_as_filipino,percent_self_identified_as_arab,percent_self_identified_as_latin_american,percent_self_identified_as_southeast_asian,percent_self_identified_as_west_asian,percent_self_identified_as_korean,percent_self_identified_as_japanese,percent_self_identified_with_other_visible_minority,percent_self_identified_with_multiple_visible_minorities,percent_of_people_who_are_non_racialized
ottawa_ons2022_beaverbrook_3005_00000_2_3_percent,800,0,0,805,1.00625,0,0,0,0.05625,0.2125,0.05,0.03125,0.01875,0,0.34375,0.03125,0.14705882352941177,0,NA,0,26.5,18400,14600,14450,14450,6.5,30.2,NA,25,55,0.06875,30,0.09523809523809523,25,0.05102040816326531,0,NA,19.4,19,0,225,0.30612244897959184,40,25,15,0,170,45,0,0,0,0,0,145,0.6904761904761905,30,0.14285714285714285,25,0.11904761904761904,0,0,10,0.047619047619047616,90,0.29508196721311475,30,0.09836065573770492,NA,0.047619047619047616,275,55,40,25,0,45,35,30,10,0,0,0,25,525,0.06875,0.05,0.03125,0,0.05625,0.04375,0.0375,0.0125,0,0,0,0.03125,0.65625
ottawa_ons2022_beckwith_3401_00000_1_8_percent,955,0,0,950,0.9947643979057592,0,0,0,0,0.03664921465968586,0.04712041884816754,0.03664921465968586,0.010471204188481676,0,0.06282722513089005,0,0,0,NA,0,10.1,17560,16000,14550,15050,5.9,19.4,NA,0,20,0.021052631578947368,0,0,0,0,0,NA,19.2,19,0,110,0.11827956989247312,45,35,10,0,35,0,0,25,0.02631578947368421,0,0,530,0.9724770642201835,0,0,0,0,0,0,0,0,35,0.0603448275862069,75,0.12931034482758622,NA,0,60,15,0,30,10,0,0,0,0,0,0,0,0,890,0.015706806282722512,0,0.031413612565445025,0.010471204188481676,0,0,0,0,0,0,0,0,0.9319371727748691
ottawa_ons2022_beechwood_cemetery_3006_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_bells_corners_east_3007_00000_1_1_percent,485,0,0,490,1.0103092783505154,0,0,0,0.030927835051546393,0.18556701030927836,0.061855670103092786,0,0.05154639175257732,0,0.38144329896907214,0,0,0,NA,0,20,21300,19300,14800,15200,5.5,20,NA,0,0,0,0,0,0,0,0,NA,20.2,20.2,0,115,0.26744186046511625,30,0,25,0,90,15,0,10,0.020618556701030927,0,0,155,0.6739130434782609,50,0.21739130434782608,25,0.10869565217391304,0,0,0,0,35,0.1346153846153846,35,0.1346153846153846,NA,0.06521739130434782,185,75,0,35,45,15,0,10,0,0,0,0,0,300,0.15463917525773196,0,0.07216494845360824,0.09278350515463918,0.030927835051546393,0,0.020618556701030927,0,0,0,0,0,0.6185567010309279
ottawa_ons2022_bells_corners_west_3008_00000_2_6_percent,435,0,0,435,1,0,0,0,0.05813953488372093,0.11627906976744186,0.023255813953488372,0,0,0,0.3953488372093023,0,0,0,NA,0.022988505747126436,30.5,23100,20300,16800,16000,9,23.8,NA,0,20,0.04597701149425287,0,0,20,0.05333333333333334,0,NA,21.1,21.4,0,130,0.3561643835616438,10,0,0,0,50,25,0,15,0.03488372093023256,0,0,120,0.7272727272727273,30,0.18181818181818182,0,0,0,0,0,0,40,0.1951219512195122,15,0.07317073170731707,NA,0.15151515151515152,170,10,20,55,20,15,0,25,0,0,0,0,30,265,0.023255813953488372,0.046511627906976744,0.12790697674418605,0.046511627906976744,0.03488372093023256,0,0.05813953488372093,0,0,0,0,0.06976744186046512,0.6162790697674418
ottawa_ons2022_billings_bridge_heron_park_3009_00000_6_4_percent,1020,0,0,1020,1,0,0,0,0.03431372549019608,0.07352941176470588,0.049019607843137254,0.014705882352941176,0.029411764705882353,0,0.4362745098039216,0.04411764705882353,0.6,0,NA,0.12254901960784313,21.4,20440,18000,16520,17320,6.9,27.6,NA,45,340,0.3333333333333333,20,0.2222222222222222,320,0.34408602150537637,0,NA,21.6,22,0,130,0.45614035087719296,50,15,30,0,75,35,0,50,0.049019607843137254,0,0,225,0.6617647058823529,75,0.22058823529411764,35,0.10294117647058823,0,0,10,0.029411764705882353,175,0.33980582524271846,50,0.0970873786407767,NA,0.058823529411764705,445,90,80,170,10,60,15,0,0,0,15,0,0,575,0.08823529411764706,0.0784313725490196,0.16666666666666666,0.00980392156862745,0.058823529411764705,0.014705882352941176,0,0,0,0.014705882352941176,0,0,0.5637254901960784
ottawa_ons2022_blackburn_hamlet_3010_00000_2_3_percent,840,0,0,840,1,0,0,0,0.041666666666666664,0.125,0.047619047619047616,0.041666666666666664,0,0,0.30357142857142855,0.047619047619047616,0.38095238095238093,0,NA,0,24.3,19320,14350,14700,14400,8.5,31.4,NA,40,70,0.08284023668639054,20,0.09090909090909091,50,0.08064516129032258,0,NA,20.1,20.2,0,200,0.26143790849673204,40,35,0,0,105,35,0,145,0.17261904761904762,0,0,205,0.7192982456140351,35,0.12280701754385964,30,0.10526315789473684,0,0,10,0.03508771929824561,120,0.2926829268292683,35,0.08536585365853659,NA,0,255,30,0,125,15,40,0,10,0,0,10,0,10,590,0.03571428571428571,0,0.1488095238095238,0.017857142857142856,0.047619047619047616,0,0.011904761904761904,0,0,0.011904761904761904,0,0.011904761904761904,0.7023809523809523
ottawa_ons2022_blossom_park_timbermill_3011_00000_2_0_percent,1300,0,0,1305,1.0038461538461538,0,0,0,0.16153846153846155,0.23461538461538461,0,0,0,0,0.5538461538461539,0.12307692307692308,0.5245901639344263,0.007692307692307693,NA,0.007692307692307693,30.8,20560,17720,14160,14360,9.8,29.2,NA,160,110,0.0842911877394636,40,0.08791208791208792,70,0.08235294117647059,0,NA,19.7,19.6,0,320,0.2689075630252101,0,0,0,0,305,210,10,165,0.12692307692307692,25,0.019230769230769232,275,0.7333333333333333,50,0.13333333333333333,25,0.06666666666666667,0,0,15,0.04,85,0.18478260869565216,55,0.11956521739130435,NA,0.02666666666666667,720,20,55,190,35,325,15,15,0,0,15,30,15,585,0.015384615384615385,0.04230769230769231,0.14615384615384616,0.026923076923076925,0.25,0.011538461538461539,0.011538461538461539,0,0,0.011538461538461539,0.023076923076923078,0.011538461538461539,0.45
ottawa_ons2022_bonnechere_valley_3703_00000_4_5_percent,335,0,0,335,1,0,0,0,0,0,0.1791044776119403,0.13432835820895522,0.04477611940298507,0,0,0,NA,0,NA,0.029850746268656716,21.4,18600,17400,16400,17200,11.4,22,NA,0,30,0.08955223880597014,0,0,20,0.08333333333333333,0,NA,19.7,19.8,0,60,0.20689655172413793,60,45,15,0,0,0,0,0,0,0,0,145,0.9354838709677419,0,0,0,0,0,0,0,0,15,0.09090909090909091,20,0.12121212121212122,NA,0.12903225806451613,0,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,1
ottawa_ons2022_borden_farm_fisher_glen_3012_00000_3_2_percent,880,0,0,880,1,0,0,0,0.017045454545454544,0.09659090909090909,0.03409090909090909,0.028409090909090908,0,0,0.36363636363636365,0.03409090909090909,0.35294117647058826,0,NA,0.022727272727272728,26.7,18160,15280,12720,13800,5.4,24.4,NA,30,115,0.13068181818181818,0,0,100,0.14814814814814814,0,NA,20.3,20.4,0,155,0.248,30,25,0,0,85,15,0,15,0.017045454545454544,0,0,195,0.6724137931034483,65,0.22413793103448276,20,0.06896551724137931,0,0,10,0.034482758620689655,90,0.23076923076923078,30,0.07692307692307693,NA,0.05172413793103448,320,55,135,35,10,40,0,15,0,0,0,0,25,560,0.0625,0.1534090909090909,0.03977272727272727,0.011363636363636364,0.045454545454545456,0,0.017045454545454544,0,0,0,0,0.028409090909090908,0.6363636363636364
