name,ONS_ID,total_population,number_of_children_age_0_14,percent_of_pop_that_are_children_age_0_14,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,number_of_adults_age_25_64,percent_of_pop_that_are_adults_age_25_64,percent_of_pop_that_are_seniors_65,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_indigenous,percent_of_pop_that_are_fn,percent_of_pop_that_are_metis,percent_of_pop_that_are_inuit,percent_of_pop_that_are_racialized,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,percent_of_pop_with_knowledge_of_neither_english_nor_french,percent_of_pop_age_25_64_with_no_high_school_diploma_or_equivalent,percent_of_pop_living_alone,unemployment_rate,average_after_tax_income_in_2020_among_recipients,average_market_income_in_2020_among_recipients,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,percent_of_income_from_government_transfers_2020,percent_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,number_of_refugees,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,average_age_of_the_population,median_age_of_the_population,number_of_seniors_65,number_of_children_living_in_one_parent_families,percent_of_children_living_in_one_parent_families,number_of_people_who_are_indigenous,number_of_people_who_are_fn,number_of_people_who_are_metis,number_of_people_who_are_inuit,number_of_immigrants,number_of_recent_immigrants_arr_2016_2021,number_of_people_with_knowledge_of_neither_english_nor_french,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_people_age_25_64_with_a_high_school_diploma,percent_of_workers_who_commute_for_60_minutes_and_over,number_of_people_who_are_racialized,number_self_identified_as_south_asian,number_self_identified_as_chinese,number_self_identified_as_black,number_self_identified_as_filipino,number_self_identified_as_arab,number_self_identified_as_latin_american,number_self_identified_as_southeast_asian,number_self_identified_as_west_asian,number_self_identified_as_korean,number_self_identified_as_japanese,number_self_identified_with_other_visible_minority,number_self_identified_with_multiple_visible_minorities,number_of_people_who_are_non_racialized,percent_self_identified_as_south_asian,percent_self_identified_as_chinese,percent_self_identified_as_black,percent_self_identified_as_filipino,percent_self_identified_as_arab,percent_self_identified_as_latin_american,percent_self_identified_as_southeast_asian,percent_self_identified_as_west_asian,percent_self_identified_as_korean,percent_self_identified_as_japanese,percent_self_identified_with_other_visible_minority,percent_self_identified_with_multiple_visible_minorities,percent_of_people_who_are_non_racialized
ottawa_lowertown_west_3068,3068,915,0,0,0,0,0,0,1,0,0.252747253,0.021978022,0.021978022,0,0,0.082417582,0.027322404,0.238095238,0,NA,0.398907104,10.3,60800,67000,62300,72600,16.9,20.8,NA,25,110,0.120879121,0,NA,0,NA,110,0.120879121,74.5,74,915,0,NA,20,20,0,0,230,0,0,240,0.263736264,15,0.016483516,30,0.4,15,0.2,25,0.333333333,0,0,0,0,100,0.588235294,10,0.058823529,NA,0,75,0,10,20,0,20,10,0,0,0,10,0,0,840,0,0.010989011,0.021978022,0,0.021978022,0.010989011,0,0,0,0.010989011,0,0,0.923076923
ottawa_manor_park_3069,3069,2075,0,0,0,0,0,0,1,0.01686747,0.272289157,0.028915663,0.014457831,0.014457831,0,0.130120482,0.043373494,0.3,0.031400966,NA,0.414457831,7.8,45720,47040,43400,47120,28.2,31.7,NA,90,435,0.209638554,0,NA,0,NA,435,0.209638554,75.4,74,2075,15,1,60,30,30,0,565,35,65,760,0.367149758,125,0.060386473,85,0.708333333,20,0.166666667,10,0.083333333,0,0,10,0.083333333,115,0.489361702,10,0.042553191,NA,0.083333333,270,30,20,90,30,60,0,0,10,0,0,0,10,1805,0.014457831,0.009638554,0.043373494,0.014457831,0.028915663,0,0,0.004819277,0,0,0,0.004819277,0.869879518
ottawa_manotick_3070,3070,2290,0,0,0,0,0,0,1,0,0.305010893,0.006535948,0.004357298,0,0,0.061002179,0.013100437,0.166666667,0.015250545,NA,0.172489083,8.3,60250,63000,58350,64000,18.9,21.5,NA,30,95,0.041394336,0,NA,0,NA,95,0.041394336,74.1,73,2290,0,NA,15,10,0,0,700,0,35,60,0.026143791,10,0.004357298,155,0.911764706,0,0,0,0,0,0,10,0.058823529,210,0.545454545,15,0.038961039,NA,0,140,45,55,10,0,15,0,0,0,0,0,0,0,2155,0.019607843,0.023965142,0.004357298,0,0.006535948,0,0,0,0,0,0,0,0.938997821
ottawa_marlborough_3071,3071,410,0,0,0,0,0,0,1,0,0.197530864,0,0,0,0,0,0,0,0,NA,0.146341463,0,44600,37400,45200,40400,28.6,34.4,NA,0,35,0.085365854,0,NA,0,NA,35,0.085365854,74,73,410,0,NA,0,0,0,0,80,0,0,0,0,0,0,25,0.555555556,0,0,0,0,0,0,15,0.333333333,25,0.357142857,10,0.142857143,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,0,0,0,0,0,0,0,0,0,0,0,0,1
ottawa_merivale_gardens_grenfell_glen_pineglen_country_place_3072,3072,885,0,0,0,0,0,0,1,0,0.363636364,0,0,0,0,0.119318182,0,0,0.022727273,NA,0.15819209,13,63000,67000,61300,68000,18.6,20.8,NA,0,0,0,0,NA,0,NA,0,0,75.9,74.5,885,0,NA,0,0,0,0,320,0,20,25,0.028409091,0,0,55,1,0,0,0,0,0,0,0,0,50,0.454545455,10,0.090909091,NA,0,105,35,40,0,0,15,0,0,10,0,0,0,0,775,0.039772727,0.045454545,0,0,0.017045455,0,0,0.011363636,0,0,0,0,0.880681818
ottawa_metcalfe_3073,3073,850,0,0,0,0,0,0,1,0,0.158823529,0.011764706,0,0.011764706,0,0.029411765,0,0,0.017647059,NA,0.170588235,5.1,46100,45000,40400,43400,27.5,28.8,NA,0,55,0.064705882,0,NA,0,NA,55,0.064705882,73.6,72.5,850,10,1,10,0,10,0,135,0,15,35,0.041176471,0,0,135,0.964285714,0,0,0,0,0,0,0,0,45,0.243243243,10,0.054054054,NA,0.071428571,25,0,10,0,0,0,0,0,0,0,0,0,0,830,0,0.011764706,0,0,0,0,0,0,0,0,0,0,0.976470588
ottawa_munster_ashton_3075,3075,765,0,0,0,0,0,0,1,0.013071895,0.222222222,0.026143791,0.026143791,0,0,0.039215686,0.019607843,0.25,0.013071895,NA,0.137254902,0,51900,52100,45000,44800,28.1,26.7,NA,15,30,0.039215686,0,NA,0,NA,30,0.039215686,73.7,72.5,765,0,NA,20,20,0,0,170,10,10,20,0.026143791,0,0,65,1,0,0,0,0,0,0,0,0,50,0.434782609,25,0.217391304,NA,0.153846154,30,0,0,10,0,0,0,0,0,0,0,0,0,740,0,0,0.013071895,0,0,0,0,0,0,0,0,0,0.967320261
ottawa_richmond_3074,3074,1570,0,0,0,0,0,0,1,0,0.210191083,0.015923567,0.00955414,0.006369427,0,0.025477707,0.006369427,0.133333333,0,NA,0.171974522,3.9,56850,61500,46960,44760,26.6,23,NA,10,90,0.057324841,0,NA,0,NA,90,0.057324841,74.2,73,1570,0,NA,25,15,10,0,330,0,0,30,0.01910828,0,0,140,0.848484848,10,0.060606061,15,0.090909091,0,0,0,0,85,0.346938776,20,0.081632653,NA,0.060606061,40,10,0,10,0,0,0,10,0,0,0,0,0,1530,0.006369427,0,0.006369427,0,0,0,0.006369427,0,0,0,0,0,0.974522293
ottawa_navan_sarsfield_3076,3076,540,0,0,0,0,0,0,1,0,0.12962963,0,0,0,0,0,0,0,0,NA,0.175925926,0,44800,41200,44800,42000,27,31.2,NA,0,60,0.111111111,0,NA,0,NA,60,0.111111111,72.6,71,540,0,NA,0,0,0,0,70,0,0,215,0.398148148,15,0.027777778,55,0.846153846,0,0,0,0,0,0,0,0,25,0.277777778,15,0.166666667,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535,0,0,0,0,0,0,0,0,0,0,0,0,0.990740741
ottawa_new_edinburgh_3077,3077,1410,0,0,0,0,0,0,1,0.021276596,0.312056738,0.007092199,0,0,0,0.067375887,0,0,0.014184397,NA,0.29787234,6.5,70800,79300,69500,81500,14.4,16.4,NA,0,60,0.042704626,0,NA,0,NA,60,0.042704626,75.1,74.5,1410,10,1,10,0,0,0,440,30,20,160,0.113475177,0,0,90,0.620689655,10,0.068965517,20,0.137931034,0,0,30,0.206896552,135,0.473684211,0,0,NA,0,95,20,0,10,10,10,10,10,15,0,0,0,0,1315,0.014184397,0,0.007092199,0.007092199,0.007092199,0.007092199,0.007092199,0.010638298,0,0,0,0,0.932624113
