ONS_ID,name,total_population,number_of_children_age_0_14,percent_of_pop_that_are_children_age_0_14,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,number_of_adults_age_25_64,percent_of_pop_that_are_adults_age_25_64,percent_of_pop_that_are_seniors_65,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_indigenous,percent_of_pop_that_are_fn,percent_of_pop_that_are_metis,percent_of_pop_that_are_inuit,percent_of_pop_that_are_racialized,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,percent_of_pop_with_knowledge_of_neither_english_nor_french,percent_of_pop_age_25_64_with_no_high_school_diploma_or_equivalent,percent_of_pop_living_alone,number_in_the_labour_force_age_15,number_employed_age_15,number_unemployed_age_15,number_not_in_labour_force_age_15,participation_rate,employment_rate,unemployment_rate,average_after_tax_income_in_2020_among_recipients,average_market_income_in_2020_among_recipients,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,percent_of_income_from_government_transfers_2020,percent_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,number_of_refugees,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,average_age_of_the_population,median_age_of_the_population,number_of_seniors_65,number_of_children_living_in_one_parent_families,percent_of_children_living_in_one_parent_families,number_of_people_who_are_indigenous,number_of_people_who_are_fn,number_of_people_who_are_metis,number_of_people_who_are_inuit,number_of_immigrants,number_of_recent_immigrants_arr_2016_2021,number_of_people_with_knowledge_of_neither_english_nor_french,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_people_age_25_64_with_a_high_school_diploma,percent_of_workers_who_commute_for_60_minutes_and_over,number_of_people_who_are_racialized,number_self_identified_as_south_asian,number_self_identified_as_chinese,number_self_identified_as_black,number_self_identified_as_filipino,number_self_identified_as_arab,number_self_identified_as_latin_american,number_self_identified_as_southeast_asian,number_self_identified_as_west_asian,number_self_identified_as_korean,number_self_identified_as_japanese,number_self_identified_with_other_visible_minority,number_self_identified_with_multiple_visible_minorities,number_of_people_who_are_non_racialized,percent_self_identified_as_south_asian,percent_self_identified_as_chinese,percent_self_identified_as_black,percent_self_identified_as_filipino,percent_self_identified_as_arab,percent_self_identified_as_latin_american,percent_self_identified_as_southeast_asian,percent_self_identified_as_west_asian,percent_self_identified_as_korean,percent_self_identified_as_japanese,percent_self_identified_with_other_visible_minority,percent_self_identified_with_multiple_visible_minorities,percent_of_people_who_are_non_racialized,number_of_children_eligible_for_instruction_in_the_minority_official_language,percent_of_children_eligible_for_instruction_in_the_minority_official_language,number_of_children_not_eligible_for_instruction_in_the_minority_official_language,percent_of_children_not_eligible_for_instruction_in_the_minority_official_language,number_1_year_mobility_total,number_1_year_non_movers,number_1_year_movers,number_1_year_non_migrants,number_1_year_migrants,number_1_year_intraprovincial_migrants,number_1_year_interprovincial_migrants,number_1_year_external_migrants,percent_1_year_non_movers,percent_1_year_movers,percent_1_year_migrants.x,percent_1_year_migrants.y,percent_1_year_intraprovincial_migrants,percent_1_year_interprovincial_migrants,percent_1_year_external_migrants,number_5_year_mobility_total,number_5_year_non_movers,number_5_year_movers,number_5_year_non_migrants,number_5_year_migrants,number_5_year_intraprovincial_migrants,number_5_year_interprovincial_migrants,number_5_year_external_migrants,percent_5_year_non_movers,percent_5_year_movers,percent_5_year_migrants.x,percent_5_year_migrants.y,percent_5_year_intraprovincial_migrants,percent_5_year_interprovincial_migrants,percent_5_year_external_migrants
3401,Beckwith ,680,105,0.154411765,65,0.095588235,395,0.580882353,0.161764706,0,0.058823529,0.066176471,0.014705882,0.044117647,0,0.088235294,0,0,0,0.064102564,0.036764706,365,315,45,205,64,55,12,62800,73200,57600,67200,8,9,0.769230769,0,30,0.044117647,0,0,0,0,0,0,42,48,110,10,0.055555556,45,10,30,0,40,0,0,245,0.362962963,25,0.037037037,180,0.9,0,0,10,0.05,0,0,10,0.05,120,0.380952381,40,0.126984127,0.935897436,0.05,60,0,10,30,0,15,0,0,0,0,0,0,0,620,0,0.014705882,0.044117647,0,0.022058824,0,0,0,0,0,0,0,0.911764706,130,0.896551724,15,0.103448276,665,560,110,10,100,100,0,0,0.842105263,0.165413534,0.015037594,0.15037594,0.15037594,0,0,640,315,320,10,310,280,25,0,0.4921875,0.5,0.015625,0.484375,0.4375,0.0390625,0
3006,BEECHWOOD CEMETERY ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3007,BELLS CORNERS EAST ,455,45,0.098901099,45,0.098901099,280,0.615384615,0.186813187,0,0.142857143,0.087912088,0.043956044,0.032967033,0,0.153846154,0,0,0,0.122807018,0.120879121,275,245,25,140,67,60,9,48800,54200,45200,51400,10,15,0.719298246,0,0,0,0,0,0,0,0,0,45,49,85,10,0.095238095,40,20,15,0,65,0,0,105,0.230769231,0,0,100,0.689655172,30,0.206896552,15,0.103448276,0,0,0,0,95,0.387755102,15,0.06122449,0.859649123,0.172413793,70,10,0,45,0,15,0,10,0,0,0,0,0,380,0.021978022,0,0.098901099,0,0.032967033,0,0.021978022,0,0,0,0,0,0.835164835,35,0.636363636,15,0.272727273,450,435,20,20,0,0,0,0,0.966666667,0.044444444,0.044444444,0,0,0,0,440,320,125,95,30,0,25,0,0.727272727,0.284090909,0.215909091,0.068181818,0,0.056818182,0
3008,BELLS CORNERS WEST ,430,55,0.127906977,55,0.127906977,265,0.61627907,0.127906977,0.058139535,0.186046512,0.081395349,0.023255814,0.058139535,0,0.220930233,0.069767442,0.4,0,0.148148148,0.139534884,250,230,20,130,67,61,8,45400,50000,43200,49600,14,20,0.592592593,30,50,0.11627907,0,0,30,0.095238095,0,0,43,40,55,50,0.476190476,35,10,25,0,80,25,0,130,0.302325581,10,0.023255814,95,0.730769231,20,0.153846154,10,0.076923077,0,0,0,0,105,0.456521739,0,0,0.851851852,0.076923077,95,0,0,65,0,25,0,0,0,0,0,0,0,335,0,0,0.151162791,0,0.058139535,0,0,0,0,0,0,0,0.779069767,45,0.75,15,0.25,425,395,35,20,10,10,0,0,0.929411765,0.082352941,0.047058824,0.023529412,0.023529412,0,0,405,250,160,95,60,20,20,25,0.617283951,0.395061728,0.234567901,0.148148148,0.049382716,0.049382716,0.061728395
3009,BILLINGS BRIDGE - HERON PARK ,855,165,0.192982456,100,0.116959064,445,0.520467836,0.152046784,0.105263158,0.286549708,0.046783626,0,0.029239766,0,0.485380117,0.140350877,0.52173913,0,0.10989011,0.192982456,410,370,40,280,60,54,10,38800,43000,37400,44800,14,20,0.769230769,120,225,0.263157895,40,0.216216216,110,0.203703704,80,0.615384615,39,36,130,110,0.44,40,0,25,0,245,90,0,405,0.473684211,85,0.099415205,135,0.642857143,55,0.261904762,0,0,0,0,15,0.071428571,160,0.432432432,45,0.121621622,0.89010989,0.047619048,415,0,10,290,0,85,15,10,0,0,0,0,0,445,0,0.011695906,0.339181287,0,0.099415205,0.01754386,0.011695906,0,0,0,0,0,0.520467836,185,0.948717949,10,0.051282051,850,650,200,160,40,0,15,25,0.764705882,0.235294118,0.188235294,0.047058824,0,0.017647059,0.029411765,805,360,445,240,205,25,70,110,0.447204969,0.552795031,0.298136646,0.254658385,0.031055901,0.086956522,0.136645963
3010,BLACKBURN HAMLET ,2130,370,0.17370892,270,0.126760563,1130,0.530516432,0.169014085,0.042253521,0.133802817,0.028169014,0.018779343,0.009389671,0,0.192488263,0.039906103,0.320754717,0,0.079646018,0.089201878,1155,1050,105,600,66,60,9,54850,61100,52750,62950,10,14,0.761061947,85,150,0.070588235,50,0.111111111,90,0.068181818,0,0,42,44,360,195,0.274647887,60,40,20,0,285,90,0,1255,0.590588235,225,0.105882353,435,0.798165138,55,0.100917431,30,0.055045872,0,0,25,0.04587156,505,0.480952381,80,0.076190476,0.920353982,0.027522936,410,20,0,295,0,60,0,10,0,0,0,0,15,1715,0.009389671,0,0.138497653,0,0.028169014,0,0.004694836,0,0,0,0,0.007042254,0.805164319,460,0.978723404,15,0.031914894,2110,1955,160,115,40,0,10,25,0.926540284,0.075829384,0.05450237,0.018957346,0,0.004739336,0.011848341,2040,1430,610,395,210,55,55,100,0.700980392,0.299019608,0.193627451,0.102941176,0.026960784,0.026960784,0.049019608
3011,BLOSSOM PARK - TIMBERMILL ,1725,320,0.185507246,285,0.165217391,935,0.542028986,0.107246377,0.086956522,0.27826087,0.020289855,0.005797101,0.017391304,0,0.434782609,0.07826087,0.325301205,0,0.07486631,0.075362319,880,780,100,525,62,55,11,53600,58100,51400,59100,10,15,0.727272727,135,70,0.04057971,40,0.094117647,20,0.017857143,0,0,38,39,185,205,0.303703704,35,10,30,0,480,150,0,880,0.50867052,105,0.060693642,355,0.797752809,70,0.157303371,10,0.02247191,0,0,15,0.033707865,325,0.416666667,55,0.070512821,0.935828877,0.06741573,750,0,25,325,0,330,30,0,0,0,0,0,10,980,0,0.014492754,0.188405797,0,0.191304348,0.017391304,0,0,0,0,0,0.005797101,0.568115942,360,0.827586207,75,0.172413793,1715,1525,185,90,90,50,25,20,0.889212828,0.10787172,0.052478134,0.052478134,0.029154519,0.014577259,0.011661808,1655,1060,590,375,215,35,110,70,0.640483384,0.356495468,0.226586103,0.129909366,0.021148036,0.066465257,0.042296073
3703,Bonnechere Valley ,145,0,0,0,0,70,0.482758621,0.517241379,0,0,0.068965517,0,0,0,0,0,NA,0,0.285714286,0.172413793,55,50,0,90,38,35,0,40000,38000,37000,35500,28,30,0.642857143,0,0,0,0,NA,0,0,0,0,64,66,75,0,NA,10,0,0,0,0,0,0,45,0.310344828,0,0,35,1,0,0,0,0,0,0,0,0,20,0.4,10,0.2,0.714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,NA,145,130,10,0,10,10,0,0,0.896551724,0.068965517,0,0.068965517,0.068965517,0,0,145,95,45,0,45,45,0,0,0.655172414,0.310344828,0,0.310344828,0.310344828,0,0
3012,BORDEN FARM - FISHER GLEN ,855,105,0.122807018,40,0.046783626,430,0.502923977,0.333333333,0.052325581,0.238372093,0.052325581,0.023255814,0.023255814,0,0.215116279,0.01754386,0.103448276,0,0.035294118,0.169590643,370,340,25,380,49,45,7,53300,57500,50000,57000,13,16,0.823529412,15,65,0.076023392,0,0,35,0.076086957,20,0.070175439,50,54,285,40,0.235294118,45,20,20,0,205,45,0,335,0.391812865,20,0.023391813,130,0.8125,20,0.125,10,0.0625,0,0,0,0,180,0.529411765,35,0.102941176,0.952941176,0,185,0,15,45,0,75,10,10,10,0,0,0,10,675,0,0.01744186,0.052325581,0,0.087209302,0.011627907,0.011627907,0.011627907,0,0,0,0.011627907,0.784883721,95,0.863636364,15,0.136363636,860,755,100,65,40,10,20,10,0.877906977,0.11627907,0.075581395,0.046511628,0.011627907,0.023255814,0.011627907,835,535,295,160,130,40,55,40,0.640718563,0.353293413,0.191616766,0.155688623,0.047904192,0.065868263,0.047904192
3013,BRAEMAR PARK-BELAIR HEIGHTS-COPELAND PARK ,975,145,0.148717949,135,0.138461538,520,0.533333333,0.174358974,0.041025641,0.184615385,0.041025641,0.01025641,0.030769231,0,0.230769231,0.046153846,0.3,0,0.057692308,0.169230769,545,490,55,285,66,59,10,53000,58700,48700,57700,9,13,0.75,45,50,0.051282051,0,0,25,0.039370079,0,0,42,42,170,60,0.244897959,40,10,30,0,180,40,0,465,0.476923077,35,0.035897436,185,0.770833333,35,0.145833333,20,0.083333333,0,0,0,0,250,0.510204082,45,0.091836735,0.951923077,0,225,15,15,120,0,30,15,10,0,0,0,0,0,750,0.015384615,0.015384615,0.123076923,0,0.030769231,0.015384615,0.01025641,0,0,0,0,0,0.769230769,155,0.911764706,15,0.088235294,965,825,140,90,50,20,20,0,0.85492228,0.14507772,0.093264249,0.051813472,0.020725389,0.020725389,0,950,530,420,195,225,75,65,85,0.557894737,0.442105263,0.205263158,0.236842105,0.078947368,0.068421053,0.089473684
