name,percent_of_residents_aged_25_64_with_no_high_school_degree_or_diploma,percent_of_residents_living_in_low_income_lim_at,unemployment_rate,percent_of_families_that_are_lone_parent,average_household_income_after_tax,median_market_income,participation_rate,unaffordable_housing,unsuitable_housing,inadequate_housing,median_employment_income,median_government_transfers,median_ei,median_covid_19_emergency_and_recovery_benefits
census_division_ottawa_3506_00000_3_1_percent,0.06450217645380672,0.08914531195364404,0.1033554850498641,0.08727946863758579,0.052399958040071734,0.04675534864204685,6.583712554510444e-5,0.1764250899313698,0.039655743944211855,0.03643908607629127,0.04755458537097072,0.006593703013621991,0.005674580775359532,8000
ons2022_admaston_bromley_3701_00000_3_2_percent,0.1118421052631579,0.10350584307178631,0.062111801242236024,0.03524229074889868,13.595993322203674,11.218697829716193,0.021636060100166943,0.05726872246696035,0.01762114537444934,0.07488986784140969,11.619365609348915,2.337228714524207,1.8297161936560935,6000
ons2022_airport_3001_00000_6_7_percent,0.15625,0.1206896551724138,0.06896551724137931,0.12,174.91525423728814,127.45762711864407,0.17559322033898303,0.25,0,0.125,169.4915254237288,35.932203389830505,NA,12000
ons2022_akwesasne_part_59_3801_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ons2022_alfred_and_plantagenet_3601_00000_3_2_percent,0.150093808630394,0.09067357512953368,0.0647693817468106,0.08333333333333333,4.381347150259067,4.103626943005182,0.0065388601036269435,0.15073529411764705,0.01715686274509804,0.0428921568627451,4.269430051813472,0.9430051813471503,0.5678756476683938,7000
ons2022_alta_vista_3002_00000_2_8_percent,0.033877038895859475,0.05016077170418006,0.08588235294117647,0.05718954248366013,8.231511254019292,7.665594855305466,0.008398713826366559,0.11274509803921569,0.026143790849673203,0.05228758169934641,7.665594855305466,0.7819935691318328,0.8077170418006431,8000
ons2022_arnprior_3702_00000_2_5_percent,0.10319148936170212,0.12055231014338821,0.09257142857142857,0.10220673635307782,4.477960701009028,3.7387148167817315,0.00587360594795539,0.1672473867595819,0.024390243902439025,0.04413472706155633,3.951141795007966,1.3170472650026552,0.5862984599044079,8000
ons2022_bayshore_3003_00000_5_4_percent,0.1261319534282018,0.17642932304454578,0.16256830601092895,0.13799126637554585,2.6376709926341633,2.104524728165556,0.004398456681866012,0.24541484716157205,0.125764192139738,0.045414847161572056,2.1887057172921782,0.6804629954401964,0.3844265170115749,10000
ons2022_beacon_hill_south_cardinal_heights_3004_00000_3_4_percent,0.11151960784313726,0.11233766233766233,0.11424903722721438,0.09627329192546584,5.677922077922078,4.8311688311688314,0.007857142857142858,0.19844961240310077,0.06201550387596899,0.03875968992248062,4.883116883116883,1.2077922077922079,0.7116883116883117,9000
ons2022_beaverbrook_3005_00000_2_3_percent,0.04451038575667656,0.08487084870848709,0.10410557184750734,0.12454873646209386,7.684365781710914,6.2536873156342185,0.008879056047197641,0.1588447653429603,0.018050541516245487,0.048736462093862815,6.607669616519174,1.2979351032448379,0.7079646017699115,8000
ons2022_beckwith_3401_00000_1_8_percent,0.06889952153110047,0.03130059363194819,0.06724303554274735,0.04486251808972504,5.736643281165677,5.483000539665407,0.007339449541284404,0.10579710144927536,0.010144927536231883,0.036231884057971016,5.569347004856989,0.7501349163518618,0.6961683756071236,8000
ons2022_beechwood_cemetery_3006_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ons2022_bells_corners_east_3007_00000_1_1_percent,0.07875457875457875,0.058,0.10586011342155009,0.07058823529411765,9.430569430569431,8.47152847152847,0.012267732267732267,0.12441314553990611,0.023474178403755867,0.04929577464788732,8.47152847152847,1.898101898101898,1.2547452547452547,8000
ons2022_bells_corners_west_3008_00000_2_6_percent,0.10947368421052632,0.1022864019253911,0.10084033613445378,0.1510989010989011,10.358604091456076,10.012033694344163,0.016365824308062576,0.17534246575342466,0.043835616438356165,0.03561643835616438,10.49338146811071,1.9253910950661852,1.3188929001203369,8000
ons2022_billings_bridge_heron_park_3009_00000_6_4_percent,0.08771929824561403,0.23083475298126066,0.12808641975308643,0.0907563025210084,6.68595744680851,5.378723404255319,0.010638297872340425,0.23905723905723905,0.04377104377104377,0.045454545454545456,5.412765957446808,1.4638297872340424,0.9123404255319149,8000
ons2022_blackburn_hamlet_3010_00000_2_3_percent,0.08024691358024691,0.06840796019900497,0.09310761789600967,0.11829652996845426,6.380597014925373,5.6716417910447765,0.007823383084577114,0.1277602523659306,0.02996845425867508,0.0473186119873817,5.621890547263682,1.1567164179104477,0.681592039800995,8000
ons2022_blossom_park_timbermill_3011_00000_2_0_percent,0.09901960784313725,0.07857911733046287,0.12008072653884964,0.1238390092879257,5.270182992465016,4.348762109795479,0.007018299246501615,0.1563467492260062,0.04643962848297214,0.032507739938080496,4.348762109795479,0.8557588805166846,0.6458557588805167,9000
ons2022_bonnechere_valley_3703_00000_4_5_percent,0.12396694214876033,0.14155844155844155,0.08923076923076922,0.06340057636887608,9.911688311688312,7.9480519480519485,0.012753246753246754,0.13218390804597702,0.022988505747126436,0.06896551724137931,8.415584415584416,3.5064935064935066,1.5272727272727273,7000
ons2022_borden_farm_fisher_glen_3012_00000_3_2_percent,0.045112781954887216,0.08841463414634146,0.10566037735849057,0.07783641160949868,5.969493593654668,5.222696766320928,0.006662599145820623,0.21108179419525067,0.01978891820580475,0.0316622691292876,5.808419768151312,1.2080536912751678,0.7321537522879805,8000
