name,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24
ottawa_ons2022_old_ottawa_east_3082_00000_4_2_percent,1210,1,73.3,72,345,0.28512396694214875,1195,69000,1085,80200,18.3,65600,80000,16.1,85,0.07024793388429752,15,0.012396694214876033,0,0,0,0,0,0,0,0,0.07851239669421488,95,220,0.18181818181818182,35,0.1590909090909091,0,NA,0,NA,0,NA,85,0.4722222222222222,0,0,0,175,0.1446280991735537,0,0
ottawa_ons2022_old_ottawa_south_3083_00000_3_5_percent,995,1,73.4,72.5,225,0.22613065326633167,985,72600,950,78600,17.3,68600,77600,15.8,55,0.05527638190954774,15,0.01507537688442211,0.01,10,0.01,10,0,0,0,0,0.085,85,175,0.17587939698492464,0,0,0,NA,0,NA,0,NA,105,0.5833333333333334,0,0,0,25,0.02512562814070352,0,0
ottawa_ons2022_orleans_industrial_3084_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_orleans_village_chateauneuf_3085_00000_1_6_percent,2295,1,73.1,72,340,0.14814814814814814,2285,48000,2135,42920,29.3,46000,44160,25.9,50,0.021739130434782608,15,0.006535947712418301,0.017429193899782137,40,0.010893246187363835,25,0.006535947712418301,15,0,0,0.15468409586056645,355,285,0.12418300653594772,35,0.12280701754385964,0,NA,0,NA,0,NA,110,0.43137254901960786,0,0,0.14285714285714285,685,0.2984749455337691,0,0
ottawa_ons2022_osgoode_vernon_3086_00000_1_6_percent,960,1,73.4,72,140,0.14583333333333334,960,46100,875,43000,31.6,45500,44700,26.9,75,0.078125,0,0,0.010416666666666666,10,0,0,0,0,0,0,0.046875,45,250,0.2604166666666667,30,0.12,0,NA,0,NA,0,NA,100,0.46511627906976744,25,0.11627906976744186,0.13043478260869565,20,0.020833333333333332,0,0
ottawa_ons2022_overbrook_3087_00000_5_0_percent,3235,1,74.7,73.5,1105,0.3415765069551777,3210,39240,2460,34360,41.2,37800,36440,36.4,565,0.17465224111282843,180,0.05564142194744977,0.021638330757341576,70,0.012364760432766615,40,0.0077279752704791345,25,0,0,0.21947449768160743,710,410,0.1267387944358578,60,0.14634146341463414,0,NA,0,NA,0,NA,55,0.15714285714285714,45,0.12857142857142856,0.08771929824561403,1000,0.3091190108191654,0,0
ottawa_ons2022_parkwood_hills_3088_00000_5_9_percent,500,1,73.8,73,205,0.41,495,35600,340,33200,43.2,33400,33200,38,95,0.19,30,0.06060606060606061,0,0,0,0,0,0,0,0,0.31313131313131315,155,70,0.14,15,0.21428571428571427,0,NA,0,NA,0,NA,10,0.18181818181818182,0,0,0,20,0.04040404040404041,0,0
ottawa_ons2022_pembroke_3715_00000_3_1_percent,3175,1,75,74,1095,0.34488188976377954,3155,37000,2545,27720,45.7,35560,28320,42,560,0.1763779527559055,0,0,0.07570977917981073,240,0.03627760252365931,115,0.03470031545741325,110,0,0,0.017350157728706624,55,310,0.09763779527559055,40,0.12903225806451613,0,NA,0,NA,0,NA,20,0.07407407407407407,50,0.18518518518518517,0,105,0.033123028391167195,0,0
ottawa_ons2022_perth_3407_00000_2_5_percent,2270,1,75.6,74.5,815,0.3590308370044053,2275,41920,1990,34000,37.6,40840,35120,34.5,285,0.12527472527472527,0,0,0.01978021978021978,45,0.01098901098901099,25,0.008791208791208791,20,0,0,0.006593406593406593,15,290,0.12747252747252746,40,0.13793103448275862,0,NA,0,NA,0,NA,65,0.2708333333333333,15,0.0625,0.1388888888888889,0,0,0,0
ottawa_ons2022_petawawa_3716_00000_2_3_percent,1715,1,74.2,72.5,365,0.21282798833819241,1700,41720,1440,36520,35.9,41040,38520,31.8,145,0.0847953216374269,0,0,0.05847953216374269,100,0.03216374269005848,55,0.02046783625730994,35,0,0,0.023391812865497075,40,210,0.12280701754385964,25,0.11904761904761904,0,NA,0,NA,0,NA,50,0.2702702702702703,25,0.13513513513513514,0,0,0,0,0
