name,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24
province_of_ontario_00000_3_8_percent,2510275,0.22206441551042902,49.1,48.8,1451320,0.12838694068123846,11098375,47040,9827855,53600,17.1,44440,53700,11.6,1107705,0.09798996308474585,298925,0.026443559134539045,0.026213115138401303,296320,0.01568434568722513,177300,0.009167778710070934,103635,2.6450193798535334e-4,2990,0.32881704383257115,3717035,7274600,0.6435267381263894,876215,0.12044854699914771,757455,0.09986690214242064,6827190,0.9001330978575793,5146175,0.6784991255358689,1922155,0.3004125259733511,757875,0.11844785832674964,0.09261460302324614,250770,0.02218366253798898,1209345,0.10698130307454752
ottawa_census_division_3506_00000_3_1_percent,160435,0.20087519407021587,47.9,47.2,116190,0.14547753793759705,785185,53350,715605,62750,12.8,49800,61000,9,67660,0.08471477938598689,12190,0.015262683427655632,0.025154004106776182,20090,0.01260204337156308,10065,0.010360845394901588,8275,0.0010141733860870436,810,0.30092778083838334,240345,540620,0.6768918715881204,54315,0.1004679812067626,35045,0.06450217645380672,508270,0.9354978235461933,417420,0.7682835923911543,215235,0.44258806111328164,42630,0.08766013448212046,0.05168284849722465,80755,0.10111058246106075,94930,0.11885861671758402
ottawa_ons2022_admaston_bromley_3701_00000_3_2_percent,610,0.25684210526315787,51.4,52.8,205,0.0863157894736842,2350,41680,2155,42720,18.8,41000,44400,14.2,225,0.09453781512605042,0,0,0.056842105263157895,135,0.023157894736842106,55,0.02736842105263158,65,0,0,0.01263157894736842,30,1550,0.6512605042016807,100,0.06451612903225806,175,0.11475409836065574,1350,0.8852459016393442,920,0.6032786885245902,310,0.21379310344827587,215,0.1482758620689655,0.10572687224669604,0,0,245,0.1031578947368421
ottawa_ons2022_airport_3001_00000_6_7_percent,75,0.29411764705882354,56.4,56.4,25,0.09803921568627451,250,55200,225,68000,14.6,73000,109000,6.6,30,0.11764705882352941,0,0,0.0392156862745098,10,0,0,0,0,0,0,0.17647058823529413,45,145,0.5686274509803921,10,0.06896551724137931,20,0.12121212121212122,140,0.8484848484848485,115,0.696969696969697,45,0.3333333333333333,10,0.07407407407407407,0,0,0,10,0.0392156862745098
ottawa_ons2022_akwesasne_part_59_3801_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_alfred_and_plantagenet_3601_00000_3_2_percent,1875,0.23870146403564607,50.8,53.2,1025,0.13049013367281986,7750,42880,6860,45240,20,40480,45080,15.2,725,0.09229789942711648,10,0.0012738853503184713,0.042011457670273714,330,0.026098026734563972,205,0.012730744748567792,100,0,0,0.021642266072565246,170,5000,0.6369426751592356,325,0.065,805,0.15103189493433397,4525,0.848968105065666,2960,0.5553470919324578,970,0.20748663101604278,935,0.2,0.15519568151147098,5570,0.7095541401273885,650,0.08274984086569065
ottawa_ons2022_alta_vista_3002_00000_2_8_percent,1520,0.24456958970233306,50.6,51.2,660,0.10619469026548672,6130,65300,5830,85600,8.6,64000,81400,6.2,325,0.05229283990345937,45,0.007234726688102894,0.00964630225080386,60,0.00482315112540193,30,0.005627009646302251,35,0,0,0.19935691318327975,1240,4185,0.6728295819935691,360,0.08602150537634409,135,0.033877038895859475,3855,0.9673776662484316,3365,0.8444165621079046,2050,0.5352480417754569,325,0.08485639686684072,0.022727272727272728,545,0.08762057877813505,710,0.11423974255832663
ottawa_ons2022_arnprior_3702_00000_2_5_percent,2425,0.3153446033810143,53.4,55.6,1430,0.1859557867360208,7595,42760,6620,44720,22.4,40800,44240,18,925,0.12028608582574772,25,0.0032530904359141183,0.054001301236174366,415,0.025374105400130124,195,0.025374105400130124,195,0,0,0.03383214053350683,260,4280,0.5565669700910273,395,0.09228971962616822,485,0.10319148936170212,4215,0.8968085106382979,2915,0.6202127659574468,830,0.21309370988446727,625,0.16046213093709885,0.08032786885245902,80,0.01040988939492518,565,0.07347204161248375
ottawa_ons2022_bayshore_3003_00000_5_4_percent,1910,0.17023172905525846,44.7,40.4,1795,0.15998217468805703,10860,38240,8965,39680,24.7,34000,38560,17.3,1660,0.14801604993312528,310,0.027629233511586453,0.024955436720142603,280,0.016042780748663103,180,0.006238859180035651,70,0.001336898395721925,15,0.5628342245989305,6315,7255,0.6466131907308378,1170,0.16126809097174363,970,0.12548512289780078,6760,0.8745148771021992,5200,0.6727037516170763,1915,0.31470829909613807,755,0.12407559572719803,0.07692307692307693,635,0.05659536541889483,1580,0.1408199643493761
ottawa_ons2022_beacon_hill_south_cardinal_heights_3004_00000_3_4_percent,1445,0.23231511254019294,49.1,47.6,1025,0.1647909967845659,6125,44120,5420,46560,19.8,40880,46200,14.1,595,0.09565916398713827,100,0.01607717041800643,0.03536977491961415,220,0.01929260450160772,120,0.01527331189710611,95,0,0,0.38263665594855306,2380,3860,0.6200803212851406,445,0.11528497409326424,450,0.11042944785276074,3620,0.8883435582822086,2755,0.6760736196319018,1230,0.3601756954612006,380,0.11127379209370425,0.07906976744186046,1395,0.22427652733118972,705,0.11334405144694534
ottawa_ons2022_beaverbrook_3005_00000_2_3_percent,1495,0.2791783380018674,52,51.6,710,0.13258636788048553,5270,53100,4930,59400,13.8,49680,58050,10.4,420,0.0784313725490196,60,0.011204481792717087,0.02707749766573296,145,0.013071895424836602,70,0.01027077497665733,55,0,0,0.23902894491129786,1280,3320,0.6205607476635514,330,0.09939759036144578,150,0.04451038575667656,3220,0.9554896142433235,2635,0.7818991097922848,1475,0.49331103678929766,270,0.0903010033444816,0.056105610561056105,145,0.02707749766573296,495,0.09243697478991597
