name,percent_of_residents_aged_25_64_with_no_high_school_degree_or_diploma,percent_of_residents_living_in_low_income_lim_at,unemployment_rate_15_years,percent_of_census_families_that_are_lone_parent,average_household_income_after_tax_2020,median_market_income_individual_2020,participation_rate,unaffordable1_percent_households_spending_30_percent_or_more_of_income_on_shelter_costs,unaffordable2_percent_households_spending_30_percent_to_less_than_100_percent_of_income_on_shelter_costs,unsuitable_housing_percent_households_not_suitable,inadequate_housing_percent_households_major_repairs_needed,percent_households_in_core_housing_need
ons2022_chapman_mills_3027_00000_1_4_percent,0.05559729526671676,0.06475409836065574,0.10922509225092251,0.13740458015267176,112700,44000,70.8,0.1880794701986755,0.16556291390728478,0.08862433862433862,0.022486772486772486,0.09336941813261164
ons2022_city_view_3028_00000_4_8_percent,0.078125,0.12183544303797468,0.09686221009549795,0.18493150684931506,95900,33200,66.5,0.27061310782241016,0.22832980972515857,0.11368421052631579,0.03368421052631579,0.13053097345132744
ons2022_civic_hospital_3029_00000_2_7_percent,0.017741935483870968,0.08789237668161436,0.0859375,0.09120521172638436,132800,69500,67.2,0.2193158953722334,0.18108651911468812,0.039525691699604744,0.06521739130434782,0.08176100628930817
ons2022_clarence_rockland_3604_00000_1_7_percent,0.08783068783068783,0.052398381814679255,0.06520172910662825,0.12195121951219512,98900,46400,65.3,0.1396508728179551,0.13516209476309227,0.023278850916295196,0.05299653293709757,0.09418837675350701
ons2022_colonnade_business_park_3030_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ons2022_constance_bay_3031_00000_5_1_percent,0.11627906976744186,0.08409090909090909,0.1383399209486166,0.16541353383458646,95000,49200,66.4,0.16494845360824742,0.15979381443298968,0.025380710659898477,0.08121827411167512,0.09947643979057591
ons2022_convent_glen_orleans_woods_3032_00000_1_5_percent,0.05574912891986063,0.04131944444444444,0.10364145658263306,0.17114093959731544,103400,48000,58.6,0.14871794871794872,0.14102564102564102,0.028960817717206135,0.036626916524701875,0.08793103448275862
ons2022_corkery_3033_00000_2_5_percent,0.03002309468822171,0.033942558746736295,0.057777777777777775,0.09090909090909091,136800,56000,71.3,0.0873015873015873,0.07936507936507936,0.027450980392156862,0.058823529411764705,0.04
ons2022_cornwall_3802_00000_2_5_percent,0.18126888217522658,0.18072939145446698,0.1240768094534712,0.2301223241590214,64100,29200,52.3,0.22073657049026507,0.20900774102744546,0.04465747018938508,0.08534019172317045,0.1201329534662868
ons2022_craig_henry_manordale_3034_00000_2_2_percent,0.10606060606060606,0.10155799192152337,0.11405529953917051,0.2012847965738758,100300,38800,60.8,0.18298555377207062,0.16853932584269662,0.09294871794871795,0.05929487179487179,0.12091503267973856
ons2022_crestview_tanglewood_3035_00000_1_4_percent,0.08267270668176671,0.05740181268882175,0.12067039106145251,0.16511627906976745,94600,37600,63.8,0.1735668789808917,0.15605095541401273,0.050793650793650794,0.049206349206349205,0.08576051779935275
ons2022_crystal_bay_lakeview_park_3036_00000_2_0_percent,0.05405405405405406,0.04287515762925599,0.08396946564885496,0.1111111111111111,120400,56400,57.7,0.11455108359133127,0.09907120743034056,0.015479876160990712,0.05572755417956656,0.06289308176100629
ons2022_cumberland_3037_00000_1_2_percent,0.05531914893617021,0.03064699205448354,0.06224066390041494,0.10175438596491228,130200,54800,63.4,0.10062893081761007,0.08176100628930817,0.02476780185758514,0.06501547987616099,0.038461538461538464
ons2022_deep_river_3705_00000_2_4_percent,0.08,0.07888349514563107,0.06629834254143646,0.1469387755102041,89600,45600,51.9,0.09973045822102426,0.0889487870619946,0.008021390374331552,0.09893048128342247,0.04087193460490463
ons2022_drummond_north_elmsley_3403_00000_2_7_percent,0.08571428571428572,0.06215384615384616,0.0729665071770335,0.09695817490494296,94700,40000,60.1,0.11163522012578617,0.09748427672955975,0.0136986301369863,0.0654490106544901,0.0304
ons2022_dunrobin_3038_00000_2_2_percent,0.03642384105960265,0.020833333333333332,0.07305194805194805,0.045584045584045586,141000,54400,64.8,0.12626262626262627,0.11616161616161616,0.022332506203473945,0.05955334987593052,0.03826530612244898
ons2022_east_hawkesbury_3605_00000_2_2_percent,0.07650273224043716,0.13224368499257058,0.07303370786516854,0.09223300970873786,80700,32800,62.1,0.16974169741697417,0.15867158671586715,0.02464788732394366,0.10211267605633803,0.03745318352059925
ons2022_edwards_carlsbad_springs_3039_00000_5_6_percent,0.13253012048192772,0.049069373942470386,0.07407407407407407,0.14594594594594595,95800,45200,62.9,0.13924050632911392,0.12236286919831224,0.02880658436213992,0.06584362139917696,0.07264957264957266
ons2022_elmvale_canterbury_3040_00000_2_0_percent,0.07230255839822025,0.08318042813455657,0.11771428571428572,0.17697228144989338,90000,43200,62.7,0.20891364902506965,0.19498607242339833,0.061196105702364396,0.05006954102920723,0.14124293785310735
ons2022_emerald_woods_sawmill_creek_3041_00000_3_6_percent,0.15798922800718132,0.21212121212121213,0.13414634146341464,0.2097902097902098,76500,27400,54.1,0.3180722891566265,0.2987951807228916,0.18421052631578946,0.08851674641148326,0.2818627450980392
ons2022_experimental_farm_3042_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ons2022_fallingbrook_3043_00000_1_4_percent,0.04196157735085945,0.03050471436494731,0.07862903225806452,0.14390467461044912,118200,53600,66.1,0.1130030959752322,0.1021671826625387,0.027842227378190254,0.029389017788089715,0.04534792806880375
ons2022_findlay_creek_3044_00000_1_5_percent,0.06598334401024984,0.061095505617977525,0.1098556183301946,0.1345646437994723,118800,52000,73.7,0.1952054794520548,0.1815068493150685,0.0683371298405467,0.010250569476082005,0.08796296296296297
ons2022_fisher_heights_3045_00000_2_1_percent,0.07017543859649122,0.1050228310502283,0.0784313725490196,0.14644351464435146,102100,45200,62.8,0.20294117647058824,0.18235294117647058,0.0728862973760933,0.05830903790087463,0.11077844311377245
ons2022_fitzroy_3046_00000_4_2_percent,0.06928406466512702,0.05144291091593475,0.07568807339449542,0.10384615384615385,114800,47200,63.7,0.1262135922330097,0.11326860841423948,0.0125,0.071875,0.08223684210526316
ons2022_glebe_dows_lake_3047_00000_4_1_percent,0.02239328201539538,0.07622641509433963,0.09807572936064556,0.11255411255411256,117400,59200,68.9,0.240625,0.21171875,0.03343701399688958,0.08087091757387248,0.09493161705551086
ons2022_glen_cairn_3048_00000_2_3_percent,0.05286024619840695,0.058703628210354665,0.09618320610687023,0.1717032967032967,97700,44800,67.1,0.12633832976445397,0.1145610278372591,0.0417558886509636,0.035331905781584586,0.06616052060737528
ons2022_greater_madawaska_3706_00010_11_0_percent,0.08450704225352113,0.12255772646536411,0.102880658436214,0.08152173913043478,80000,35200,48.2,0.16541353383458646,0.14285714285714285,0.026119402985074626,0.10820895522388059,0.038461538461538464
ons2022_greely_3049_00000_0_9_percent,0.0627177700348432,0.033681214421252374,0.08034188034188035,0.08978328173374613,139000,58000,68.3,0.10893854748603352,0.09217877094972067,0.02092050209205021,0.03347280334728033,0.03409090909090909
ons2022_greenbelt_east_3050_00000_6_9_percent,0.24242424242424243,0.2037037037037037,0.14285714285714285,0,79000,16600,57.1,0.3333333333333333,0.23809523809523808,0,0.09090909090909091,0
ons2022_greenbelt_west_3051_00919_12_5_percent,0.3157894736842105,NA,0.1875,0,NA,NA,64,NA,NA,0,0.18181818181818182,NA
ons2022_greenboro_east_3052_00000_2_0_percent,0.08464849354375897,0.10526315789473684,0.11315417256011315,0.21194029850746268,99000,42000,68.2,0.19282511210762332,0.16367713004484305,0.0957683741648107,0.028953229398663696,0.1103448275862069
ons2022_greenboro_west_3053_00000_2_2_percent,0.0933786078098472,0.10284664830119375,0.1276595744680851,0.2922077922077922,94800,36400,62.9,0.12531969309462915,0.11253196930946291,0.07653061224489796,0.061224489795918366,0.10852713178294573
ons2022_hawkesbury_3606_00000_4_1_percent,0.22854188210961737,0.20661577608142492,0.11538461538461539,0.23381294964028776,59250,24800,48.2,0.21773399014778325,0.20689655172413793,0.023622047244094488,0.08267716535433071,0.08167330677290836
ons2022_hawthorn_meadows_sheffield_glen_3054_00000_7_3_percent,0.16688227684346701,0.17516629711751663,0.13513513513513514,0.253125,68600,32400,62.6,0.23620689655172414,0.20344827586206896,0.13356164383561644,0.0839041095890411,0.2192513368983957
ons2022_head_clara_and_maria_3707_00009_4_1_percent,0.2631578947368421,NA,0,0,NA,NA,30.2,NA,NA,0,0.08333333333333333,NA
ons2022_hintonburg_mechanicsville_3055_00000_3_8_percent,0.045774647887323945,0.1337995337995338,0.0903914590747331,0.1575875486381323,80400,56000,73.8,0.2592891760904685,0.2334410339256866,0.04508856682769726,0.08132045088566828,0.15339966832504145
ons2022_horton_3708_00000_5_3_percent,0.08408408408408409,0.08647798742138364,0.08024691358024691,0.12562814070351758,87100,33600,59.8,0.12301587301587301,0.11507936507936507,0.011627906976744186,0.08527131782945736,0.043824701195219126
ons2022_hunt_club_park_3056_00000_3_4_percent,0.09312638580931264,0.099882491186839,0.14,0.2558139534883721,103200,39600,63.1,0.1649659863945578,0.14285714285714285,0.09863945578231292,0.0391156462585034,0.11805555555555555
ons2022_industrial_east_3057_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ons2022_iris_3058_00000_2_9_percent,0.07802547770700637,0.10456942003514938,0.1324404761904762,0.21180555555555555,81500,36400,68,0.24096385542168675,0.20682730923694778,0.07984031936127745,0.06786427145708583,0.15145228215767634
ons2022_island_park_wellington_village_3059_00000_1_9_percent,0.018739352640545145,0.026581118240146653,0.06688417618270799,0.05161290322580645,169200,72000,68,0.14798206278026907,0.14349775784753363,0.017897091722595078,0.05592841163310962,0.05869074492099323
ons2022_kanata_lakes_3060_00000_2_3_percent,0.020865139949109414,0.06730273336771532,0.09818731117824774,0.09876543209876543,124100,56000,61.9,0.24261168384879725,0.21030927835051547,0.026027397260273973,0.014383561643835616,0.06396588486140725
ons2022_katimavik_hazeldean_3061_00000_1_7_percent,0.05688375927452597,0.04757630161579892,0.1011608623548922,0.1634756995581738,104300,47200,65.2,0.13163972286374134,0.11778290993071594,0.0265282583621684,0.04382929642445214,0.07629107981220658
ons2022_killaloe_hagarty_and_richards_3709_00000_5_3_percent,0.08071748878923767,0.13721413721413722,0.14218009478672985,0.13194444444444445,69200,27400,50.1,0.11574074074074074,0.10648148148148148,0.013574660633484163,0.11312217194570136,0.1643192488262911
ons2022_kinburn_3062_00000_4_8_percent,0.06440677966101695,0.05772811918063315,0.06172839506172839,0.06832298136645963,112000,48800,73.3,0.09444444444444444,0.09444444444444444,0.030927835051546393,0.06701030927835051,0.05
ons2022_lanark_highlands_3404_00000_7_3_percent,0.13866231647634583,0.1189851268591426,0.0931899641577061,0.12021857923497267,80900,36800,56.7,0.1522633744855967,0.13991769547325103,0.018036072144288578,0.09819639278557114,0.04791666666666667
ons2022_laurentian_3063_00000_1_7_percent,0.03342128408091469,0.06898126998629511,0.09913043478260869,0.15335463258785942,116200,54400,62.4,0.23510971786833856,0.21630094043887146,0.035416666666666666,0.06145833333333333,0.13631522896698617
ons2022_laurentian_hills_3710_00000_3_6_percent,0.10248447204968944,0.05381944444444445,0.054945054945054944,0.11731843575418995,90200,48800,58.3,0.112,0.112,0.016,0.064,0.044
ons2022_laurentian_valley_3711_00000_1_9_percent,0.10427010923535253,0.06448202959830866,0.0912863070539419,0.12626262626262627,93800,40400,60.9,0.09491059147180192,0.0907840440165062,0.01881720430107527,0.06317204301075269,0.04419889502762431
ons2022_lebreton_development_3064_00999_20_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ons2022_ledbury_heron_gate_ridgemont_3065_00000_6_2_percent,0.2023082145281738,0.2382142857142857,0.15436746987951808,0.34789391575663026,63900,25200,60.2,0.2896174863387978,0.26229508196721313,0.2072398190045249,0.07873303167420814,0.27876520112254444
ons2022_leslie_park_bruce_farm_3066_00000_3_8_percent,0.029940119760479042,0.06164383561643835,0.11042944785276074,0.21951219512195122,91400,42800,64.8,0.19557195571955718,0.1881918819188192,0.022222222222222223,0.03333333333333333,0.09665427509293681
ons2022_lowertown_east_3067_00000_6_5_percent,0.12447552447552447,0.2675535846267554,0.14351851851851852,0.31690140845070425,61050,33200,56.3,0.28133704735376047,0.233983286908078,0.07977991746905089,0.09491059147180192,0.2072992700729927
ons2022_lowertown_west_3068_00000_6_2_percent,0.04107648725212465,0.1627469426152399,0.11428571428571428,0.13168724279835392,76400,52400,71.6,0.3075801749271137,0.26676384839650147,0.03890489913544669,0.06484149855907781,0.15653495440729484
ons2022_madawaska_valley_3712_00000_7_7_percent,0.17151162790697674,0.1620879120879121,0.09120521172638436,0.14027149321266968,68000,29400,48.1,0.15634218289085547,0.15339233038348082,0.014577259475218658,0.07580174927113703,0.06231454005934718
ons2022_manor_park_3069_00000_2_5_percent,0.09772727272727273,0.16748466257668712,0.11586901763224182,0.21797752808988763,78100,41600,56.1,0.22877358490566038,0.2099056603773585,0.05771495877502945,0.07891637220259129,0.17067307692307693
ons2022_manotick_3070_00000_1_7_percent,0.03235294117647059,0.0429122468659595,0.10138248847926268,0.07822085889570553,152200,60000,62.7,0.12368421052631579,0.10394736842105264,0.013089005235602094,0.04712041884816754,0.0388739946380697
ons2022_marlborough_3071_00000_2_8_percent,0.06557377049180328,0.05543237250554324,0.0859375,0.1276595744680851,113600,49200,68.1,0.075,0.075,0.011904761904761904,0.07738095238095238,0.06918238993710692
ons2022_mc_nab_braeside_3713_00000_3_0_percent,0.0759651307596513,0.05533596837944664,0.09482758620689655,0.10633946830265849,97800,39200,62.9,0.10756302521008404,0.0957983193277311,0.03130148270181219,0.06260296540362438,0.03741496598639456
ons2022_merivale_gardens_grenfell_glen_pineglen_country_place_3072_00000_1_1_percent,0.041044776119402986,0.03220338983050847,0.07876712328767123,0.10215053763440861,141600,62000,56.7,0.09170305676855896,0.08733624454148471,0.017543859649122806,0.04824561403508772,0.048672566371681415
ons2022_metcalfe_3073_00000_1_7_percent,0.07208588957055215,0.04790419161676647,0.06412213740458016,0.09668508287292818,116200,54400,68.5,0.11750599520383694,0.1079136690647482,0.009345794392523364,0.0630841121495327,0.05084745762711865
ons2022_mississippi_mills_3405_00000_3_5_percent,0.06776180698151951,0.0632163945814519,0.07520325203252033,0.10718232044198896,96400,41600,60.4,0.141396933560477,0.13458262350936967,0.01488833746898263,0.050454921422663356,0.045493562231759654
ons2022_montague_3406_00000_0_5_percent,0.11764705882352941,0.061696658097686374,0.07579462102689487,0.11244979919678715,93300,38400,62.7,0.11986301369863013,0.10616438356164383,0.023255813953488372,0.07973421926910298,0.027777777777777776
ons2022_munster_ashton_3075_00000_0_8_percent,0.05783132530120482,0.04353393085787452,0.06839622641509434,0.07661290322580645,119900,49200,64.2,0.1494661921708185,0.13167259786476868,0.010309278350515464,0.058419243986254296,0.05434782608695652
ons2022_richmond_3074_00000_1_6_percent,0.053837342497136315,0.0353356890459364,0.07741935483870968,0.09746588693957114,125300,52000,68,0.1147011308562197,0.10016155088852989,0.014263074484944533,0.04120443740095087,0.05737704918032787
ons2022_navan_sarsfield_3076_00000_3_3_percent,0.08544303797468354,0.06867671691792294,0.065625,0.07142857142857142,113400,49600,65.6,0.15566037735849056,0.1509433962264151,0.013761467889908258,0.05045871559633028,0.08530805687203792
ons2022_new_edinburgh_3077_00000_3_6_percent,0.018148820326678767,0.07102272727272728,0.07867132867132867,0.14285714285714285,122200,68000,61.6,0.1947069943289225,0.16824196597353497,0.03571428571428571,0.07142857142857142,0.08949416342412451
ons2022_north_algona_wilberforce_3714_00000_3_7_percent,0.1407185628742515,0.125,0.12080536912751678,0.085,81800,36000,55.7,0.11788617886178862,0.11788617886178862,0.015444015444015444,0.11196911196911197,0.056910569105691054
ons2022_north_dundas_3803_00000_1_5_percent,0.1175,0.07522522522522522,0.07041072925398156,0.13056379821958458,89800,40400,64.9,0.1295215869311552,0.12252042007001167,0.023127753303964757,0.07268722466960352,0.04470588235294118
ons2022_north_glengarry_3804_00000_2_2_percent,0.15084915084915085,0.14494949494949494,0.076162215628091,0.13898305084745763,72800,31000,59.4,0.16467780429594273,0.15274463007159905,0.029411764705882353,0.08936651583710407,0.04096385542168675
ons2022_north_gower_kars_3078_00000_0_9_percent,0.046511627906976744,0.031,0.07233273056057866,0.0915032679738562,120400,50000,67.7,0.11494252873563218,0.10632183908045977,0.019553072625698324,0.055865921787709494,0.05491329479768786
ons2022_north_grenville_3501_00000_2_2_percent,0.07192328183271178,0.05167087896658242,0.07574152542372882,0.11361587015329125,101000,44800,63.5,0.13597122302158274,0.12733812949640289,0.01847903340440654,0.058990760483297794,0.07474600870827286
ons2022_north_stormont_3805_00000_1_7_percent,0.11389236545682102,0.09419795221843004,0.059045226130653265,0.11818181818181818,86500,40000,67.6,0.13011152416356878,0.12267657992565056,0.017543859649122806,0.07017543859649122,0.05065666041275797
ons2022_old_barrhaven_east_3079_00000_2_0_percent,0.05759757483895415,0.05918153200419727,0.10722021660649819,0.1837638376383764,110300,45200,71.9,0.15653775322283608,0.14303253529772866,0.06572481572481573,0.019041769041769043,0.08089607965152458
ons2022_old_barrhaven_west_3080_00000_1_1_percent,0.04699093157460841,0.050189605175105956,0.1058438904781365,0.1361926260346125,114100,50000,67.4,0.12715654952076677,0.11693290734824281,0.03446075303126994,0.029355456285896617,0.051646223369916075
ons2022_old_hunt_club_3081_00000_2_4_percent,0.07220216606498195,0.10176184690157959,0.1161251504211793,0.1976112920738328,100200,43200,60.9,0.16588419405320814,0.14945226917057902,0.07265625,0.06796875,0.11853619729514718
ons2022_old_ottawa_east_3082_00000_4_2_percent,0.026624068157614485,0.1336104513064133,0.10223953261927946,0.1016548463356974,113200,50000,69.3,0.2696774193548387,0.20258064516129032,0.08375634517766498,0.05583756345177665,0.09392265193370165
ons2022_old_ottawa_south_3083_00000_3_5_percent,0.018633540372670808,0.048989113530326596,0.10220994475138122,0.13370473537604458,149600,64000,67.2,0.14910536779324055,0.12524850894632206,0.02178217821782178,0.08316831683168317,0.054878048780487805
