name,total_population,number_of_children_age_0_14,percent_of_pop_that_are_children_age_0_14,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,number_of_adults_age_25_64,percent_of_pop_that_are_adults_age_25_64,percent_of_pop_that_are_seniors_65,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_indigenous,percent_of_pop_that_are_fn,percent_of_pop_that_are_metis,percent_of_pop_that_are_inuit,percent_of_pop_that_are_racialized,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,percent_of_pop_with_knowledge_of_neither_english_nor_french,percent_of_pop_age_25_64_with_no_high_school_diploma_or_equivalent,percent_of_pop_living_alone,unemployment_rate,average_after_tax_income_in_2020_among_recipients,average_market_income_in_2020_among_recipients,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,percent_of_income_from_government_transfers_2020,percent_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,number_of_refugees,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,average_age_of_the_population,median_age_of_the_population,number_of_seniors_65,number_of_children_living_in_one_parent_families,percent_of_children_living_in_one_parent_families,number_of_people_who_are_indigenous,number_of_people_who_are_fn,number_of_people_who_are_metis,number_of_people_who_are_inuit,number_of_immigrants,number_of_recent_immigrants_arr_2016_2021,number_of_people_with_knowledge_of_neither_english_nor_french,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_people_age_25_64_with_a_high_school_diploma,percent_of_workers_who_commute_for_60_minutes_and_over,number_of_people_who_are_racialized,number_self_identified_as_south_asian,number_self_identified_as_chinese,number_self_identified_as_black,number_self_identified_as_filipino,number_self_identified_as_arab,number_self_identified_as_latin_american,number_self_identified_as_southeast_asian,number_self_identified_as_west_asian,number_self_identified_as_korean,number_self_identified_as_japanese,number_self_identified_with_other_visible_minority,number_self_identified_with_multiple_visible_minorities,number_of_people_who_are_non_racialized,percent_self_identified_as_south_asian,percent_self_identified_as_chinese,percent_self_identified_as_black,percent_self_identified_as_filipino,percent_self_identified_as_arab,percent_self_identified_as_latin_american,percent_self_identified_as_southeast_asian,percent_self_identified_as_west_asian,percent_self_identified_as_korean,percent_self_identified_as_japanese,percent_self_identified_with_other_visible_minority,percent_self_identified_with_multiple_visible_minorities,percent_of_people_who_are_non_racialized
ottawa_ons2022_beaverbrook_3005_00000_2_3_percent,575,125,0.21739130434782608,40,0.06956521739130435,290,0.5043478260869565,0.1826086956521739,0.19130434782608696,0.34782608695652173,0.06956521739130435,0,0,0,0.28695652173913044,0.09565217391304348,0.2972972972972973,0.06086956521739131,0.17543859649122806,0.25217391304347825,24.3,15500,11300,19300,16400,46,58.4,0.6491228070175439,55,580,1,155,1,315,1,110,1,40.1,40.4,105,80,0.4,40,0,0,0,200,110,35,0,0,0,0,60,0.7058823529411765,0,0,0,0,0,0,0,0,50,0.37037037037037035,30,0.2222222222222222,0.8245614035087719,0,165,0,0,0,0,65,0,0,0,0,0,0,0,415,0,0,0,0,0.11304347826086956,0,0,0,0,0,0,0,0.7217391304347827
ottawa_ons2022_beckwith_3401_00000_1_8_percent,285,35,0.12280701754385964,0,0,110,0.38596491228070173,0.2807017543859649,0,0.10526315789473684,0,0,0,0,0,0,NA,0,0,0.24561403508771928,0,14100,9800,20600,15900,44,65,0.6,0,290,1,45,1,160,1,80,1,49.2,58.4,80,40,0.6153846153846154,0,0,0,0,30,0,0,0,0,0,0,65,0.8666666666666667,0,0,0,0,0,0,0,0,25,0.2631578947368421,20,0.21052631578947367,0.9666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0.9649122807017544
ottawa_ons2022_beechwood_cemetery_3006_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_bells_corners_east_3007_00000_1_1_percent,295,55,0.1864406779661017,0,0,120,0.4067796610169492,0.1864406779661017,0,0.15517241379310345,0.08620689655172414,0,0,0,0,0,0,0,0.11764705882352941,0.3559322033898305,41.2,18000,10200,20800,19200,51,74,0.5,0,290,1,55,1,180,1,55,1,45.8,53.2,55,0,0,25,0,0,0,45,0,0,0,0,0,0,25,0.7142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0.9117647058823529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0.8620689655172413
ottawa_ons2022_bells_corners_west_3008_00000_2_6_percent,430,125,0.29069767441860467,15,0.03488372093023256,165,0.38372093023255816,0.2558139534883721,0,0.3023255813953488,0,0,0,0,0.46511627906976744,0.12790697674418605,0.4782608695652174,0,0.2777777777777778,0.27906976744186046,0,20800,9000,19400,12200,66,78,0.3611111111111111,55,425,1,125,1,195,1,110,1,42.2,40.8,110,80,0.5161290322580645,0,0,0,0,130,0,0,0,0,0,0,50,0.7692307692307693,0,0,0,0,0,0,0,0,15,0.17647058823529413,35,0.4117647058823529,0.7222222222222222,0,200,55,0,0,0,80,0,0,0,0,0,0,0,230,0.12790697674418605,0,0,0,0.18604651162790697,0,0,0,0,0,0,0,0.5348837209302325
ottawa_ons2022_billings_bridge_heron_park_3009_00000_6_4_percent,1355,180,0.13284132841328414,340,0.25092250922509224,425,0.31365313653136534,0.2952029520295203,0.1070110701107011,0.3948339483394834,0.04428044280442804,0.014760147601476014,0,0,0.5645756457564576,0.15867158671586715,0.4673913043478261,0.06273062730627306,0.2,0.3763837638376384,28.9,16240,8840,14960,9840,64.8,72.8,0.6,215,1350,1,205,1,745,1,405,1,43.4,36.4,400,185,0.7115384615384616,60,20,0,0,535,145,85,110,0.08118081180811808,50,0.03690036900369004,85,0.425,90,0.45,0,0,0,0,0,0,75,0.2727272727272727,60,0.21818181818181817,0.8117647058823529,0.125,765,70,125,325,25,135,0,0,25,0,0,0,0,590,0.05166051660516605,0.09225092250922509,0.23985239852398524,0.01845018450184502,0.0996309963099631,0,0,0.01845018450184502,0,0,0,0,0.4354243542435424
ottawa_ons2022_blackburn_hamlet_3010_00000_2_3_percent,550,205,0.37272727272727274,70,0.12727272727272726,210,0.38181818181818183,0.1,0.11818181818181818,0.20909090909090908,0,0,0,0,0.38181818181818183,0.07272727272727272,0.34782608695652173,0,0.20454545454545456,0.12727272727272726,21.9,22200,10800,20000,13200,63,75,0.5227272727272727,40,550,1,225,1,265,1,55,1,30,21.6,55,215,0.8431372549019608,0,0,0,0,115,65,0,55,0.1,25,0.045454545454545456,75,0.75,0,0,15,0.15,0,0,0,0,20,0.16666666666666666,30,0.25,0.7727272727272727,0.15,210,0,0,80,0,65,0,0,0,0,0,0,0,340,0,0,0.14545454545454545,0,0.11818181818181818,0,0,0,0,0,0,0,0.6181818181818182
ottawa_ons2022_blossom_park_timbermill_3011_00000_2_0_percent,730,260,0.3561643835616438,115,0.15753424657534246,300,0.410958904109589,0.0684931506849315,0.19310344827586207,0.4068965517241379,0,0,0,0,0.5724137931034483,0.2191780821917808,0.5925925925925926,0,0.3,0.1232876712328767,22.2,20700,9000,20300,17000,53.6,76.5,0.43333333333333335,160,730,1,305,1,370,1,50,1,30,23.6,50,135,0.3698630136986301,0,0,0,0,295,140,0,0,0,0,0,80,0.8421052631578947,0,0,0,0,0,0,0,0,50,0.3448275862068966,30,0.20689655172413793,0.7166666666666667,0,415,0,0,65,0,305,0,0,0,0,0,0,0,315,0,0,0.0896551724137931,0,0.4206896551724138,0,0,0,0,0,0,0,0.43448275862068964
ottawa_ons2022_bonnechere_valley_3703_00000_4_5_percent,540,80,0.14814814814814814,20,0.037037037037037035,205,0.37962962962962965,0.39814814814814814,0,0.09259259259259259,0.09259259259259259,0.05555555555555555,0.046296296296296294,0,0,0,0,0,0.17777777777777778,0.3148148148148148,12,17700,3920,17700,8300,76.5,90,0.5555555555555556,0,545,1,85,1,245,1,210,1,53.2,60,215,55,0.4074074074074074,50,30,25,0,50,0,0,0,0,0,0,35,1,0,0,0,0,0,0,0,0,75,0.6818181818181818,0,0,0.8222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535,0,0,0,0,0,0,0,0,0,0,0,0,0.9907407407407407
ottawa_ons2022_borden_farm_fisher_glen_3012_00000_3_2_percent,730,65,0.08904109589041095,115,0.15753424657534246,225,0.3082191780821918,0.4178082191780822,0.04794520547945205,0.3972602739726027,0,0,0,0,0.3835616438356164,0.0273972602739726,0.10256410256410256,0.0684931506849315,0,0.4520547945205479,33.3,15500,9040,16900,13450,54.4,68,0.6666666666666666,20,725,1,80,1,345,1,305,1,51.4,59.2,305,60,0.5714285714285714,0,0,0,0,290,35,50,15,0.02054794520547945,0,0,50,0.7692307692307693,0,0,0,0,0,0,0,0,45,0.4090909090909091,20,0.18181818181818182,0.9791666666666666,0,280,0,115,0,0,75,0,0,0,0,0,0,0,445,0,0.15753424657534246,0,0,0.10273972602739725,0,0,0,0,0,0,0,0.6095890410958904
