name,total_population,number_of_children_age_0_14,percent_of_pop_that_are_children_age_0_14,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,number_of_adults_age_25_64,percent_of_pop_that_are_adults_age_25_64,percent_of_pop_that_are_seniors_65,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_indigenous,percent_of_pop_that_are_fn,percent_of_pop_that_are_metis,percent_of_pop_that_are_inuit,percent_of_pop_that_are_racialized,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,percent_of_pop_with_knowledge_of_neither_english_nor_french,percent_of_pop_age_25_64_with_no_high_school_diploma_or_equivalent,percent_of_pop_living_alone,unemployment_rate,average_after_tax_income_in_2020_among_recipients,average_market_income_in_2020_among_recipients,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,percent_of_income_from_government_transfers_2020,percent_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,number_of_refugees,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,average_age_of_the_population,median_age_of_the_population,number_of_seniors_65,number_of_children_living_in_one_parent_families,percent_of_children_living_in_one_parent_families,number_of_people_who_are_indigenous,number_of_people_who_are_fn,number_of_people_who_are_metis,number_of_people_who_are_inuit,number_of_immigrants,number_of_recent_immigrants_arr_2016_2021,number_of_people_with_knowledge_of_neither_english_nor_french,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_people_age_25_64_with_a_high_school_diploma,percent_of_workers_who_commute_for_60_minutes_and_over,number_of_people_who_are_racialized,number_self_identified_as_south_asian,number_self_identified_as_chinese,number_self_identified_as_black,number_self_identified_as_filipino,number_self_identified_as_arab,number_self_identified_as_latin_american,number_self_identified_as_southeast_asian,number_self_identified_as_west_asian,number_self_identified_as_korean,number_self_identified_as_japanese,number_self_identified_with_other_visible_minority,number_self_identified_with_multiple_visible_minorities,number_of_people_who_are_non_racialized,percent_self_identified_as_south_asian,percent_self_identified_as_chinese,percent_self_identified_as_black,percent_self_identified_as_filipino,percent_self_identified_as_arab,percent_self_identified_as_latin_american,percent_self_identified_as_southeast_asian,percent_self_identified_as_west_asian,percent_self_identified_as_korean,percent_self_identified_as_japanese,percent_self_identified_with_other_visible_minority,percent_self_identified_with_multiple_visible_minorities,percent_of_people_who_are_non_racialized,ONS_ID
ottawa_qualicum_redwood_3092,1205,265,0.219917012,200,0.165975104,635,0.526970954,0.078838174,0.141078838,0.543568465,0,0,0,0,1,0.153526971,0.316239316,0.037344398,0.109375,0.045643154,22.1,42400,47600,39600,48800,11.5,19.2,0.7109375,185,220,0.182572614,80,0.253968254,110,0.13836478,25,0.263157895,33.1,30,7.9,180,0.367346939,0,0,0,0,655,170,45,95,0.078838174,15,0.012448133,210,0.736842105,45,0.157894737,15,0.052631579,0,0,0,0,195,0.40625,30,0.0625,0.890625,0,1205,205,120,350,90,105,30,75,80,0,20,20,100,0,0.170124481,0.099585062,0.290456432,0.074688797,0.087136929,0.024896266,0.062240664,0.066390041,0,0.01659751,0.01659751,0.082987552,0,3092
ottawa_queensway_terrace_north_3093,660,150,0.227272727,85,0.128787879,390,0.590909091,0.053030303,0.151515152,0.5,0,0,0,0,1,0.128787879,0.288135593,0.015151515,0.103896104,0.075757576,9.5,23300,59200,35000,60000,8,12.4,0.74025974,85,80,0.121212121,0,0,65,0.146067416,0,0,31.8,32,5.3,80,0.340425532,0,0,0,0,330,100,10,25,0.037878788,0,0,130,0.634146341,40,0.195121951,20,0.097560976,0,0,10,0.048780488,130,0.382352941,30,0.088235294,0.896103896,0,660,90,80,130,35,125,10,40,55,30,20,0,30,0,0.136363636,0.121212121,0.196969697,0.053030303,0.189393939,0.015151515,0.060606061,0.083333333,0.045454545,0.03030303,0,0.045454545,0,3093
ottawa_queenswood_chatelaine_3094,645,125,0.19379845,90,0.139534884,340,0.527131783,0.131782946,0.092307692,0.630769231,0,0,0,0,1,0.147286822,0.256756757,0.038461538,0.114285714,0.07751938,12.2,38600,42600,36200,42600,13.9,20.4,0.685714286,95,80,0.124031008,30,0.193548387,45,0.109756098,0,0,38.8,37.6,13.2,65,0.288888889,0,0,0,0,410,60,25,125,0.192307692,35,0.053846154,150,0.789473684,25,0.131578947,10,0.052631579,0,0,10,0.052631579,130,0.4,45,0.138461538,0.885714286,0.078947368,650,25,45,240,70,145,70,35,0,0,0,0,25,0,0.038461538,0.069230769,0.369230769,0.107692308,0.223076923,0.107692308,0.053846154,0,0,0,0,0.038461538,0,3094
ottawa_queenswood_heights_3095,1750,340,0.194285714,280,0.16,905,0.517142857,0.131428571,0.05982906,0.561253561,0,0,0,0,1,0.062857143,0.1375,0.014285714,0.05,0.06,8.4,45480,51000,42800,50600,10.4,15.2,0.766666667,110,160,0.091428571,60,0.133333333,75,0.070422535,25,0.108695652,37.6,38,13.1,165,0.240875912,0,0,0,0,985,105,25,335,0.191428571,80,0.045714286,470,0.824561404,65,0.114035088,15,0.026315789,10,0.01754386,10,0.01754386,305,0.348571429,80,0.091428571,0.95,0.070175439,1755,225,135,595,95,350,80,40,40,20,20,35,110,0,0.128205128,0.076923077,0.339031339,0.054131054,0.199430199,0.045584046,0.022792023,0.022792023,0.011396011,0.011396011,0.01994302,0.062678063,0,3095
ottawa_rideaucrest_davidson_heights_3097,6095,1115,0.182936833,1185,0.194421657,3230,0.529942576,0.092698934,0.059064807,0.585726005,0,0,0,0,1,0.086956522,0.162576687,0.044298605,0.089783282,0.023789992,11.1,44160,51350,42120,51650,8,14.5,0.780185759,530,465,0.076292043,130,0.086092715,240,0.059701493,95,0.168141593,36.8,35.6,9.3,495,0.190751445,0,0,0,0,3570,360,270,250,0.041017227,15,0.002461034,1475,0.819444444,220,0.122222222,50,0.027777778,0,0,50,0.027777778,1190,0.396006656,260,0.086522463,0.908668731,0.063888889,6095,1130,1305,1010,340,1180,270,395,100,100,50,50,165,0,0.185397867,0.214109926,0.165709598,0.055783429,0.193601313,0.044298605,0.064807219,0.016406891,0.016406891,0.008203445,0.008203445,0.02707137,0,3097
ottawa_riverside_park_mooneys_bay_3098,1505,345,0.22923588,235,0.156146179,835,0.554817276,0.056478405,0.255813953,0.61461794,0,0,0,0,1,0.262458472,0.446327684,0.053333333,0.114457831,0.083056478,16.6,34800,34600,29150,32500,17.2,25.7,0.734939759,395,340,0.225913621,125,0.316455696,185,0.180487805,35,0.411764706,31.5,29.6,5.6,105,0.190909091,0,0,0,0,925,385,80,170,0.113333333,45,0.03,355,0.755319149,95,0.20212766,10,0.021276596,0,0,0,0,215,0.316176471,100,0.147058824,0.891566265,0.085106383,1505,120,105,395,55,480,80,35,160,0,0,0,55,0,0.079734219,0.069767442,0.262458472,0.03654485,0.318936877,0.053156146,0.023255814,0.106312292,0,0,0,0.03654485,0,3098
ottawa_riverside_park_south_revelstoke_3099,420,65,0.154761905,60,0.142857143,230,0.547619048,0.166666667,0.023809524,0.547619048,0,0,0,0,1,0.071428571,0.171428571,0,0.044444444,0.047619048,14.3,111200,159000,70000,94000,6.4,4.4,0.866666667,30,0,0,0,0,0,0,0,0,41.8,42.8,16.7,15,0.125,0,0,0,0,230,10,0,25,0.05952381,0,0,85,0.739130435,25,0.217391304,10,0.086956522,0,0,0,0,95,0.441860465,20,0.093023256,0.955555556,0,420,80,20,40,0,75,55,65,30,20,10,0,15,0,0.19047619,0.047619048,0.095238095,0,0.178571429,0.130952381,0.154761905,0.071428571,0.047619048,0.023809524,0,0.035714286,0,3099
ottawa_riverside_south_leitrim_3100,7065,1740,0.246284501,785,0.111111111,3975,0.562632696,0.080679406,0.095541401,0.580325548,0,0,0,0,1,0.082802548,0.150773196,0.052370842,0.035220126,0.03113942,9.4,49240,57800,45800,55950,6.7,12.5,0.852830189,585,600,0.08492569,200,0.100250627,310,0.068888889,95,0.166666667,33.5,33.2,8.1,445,0.160940325,0,0,0,0,4100,675,370,340,0.048124558,40,0.005661713,1660,0.887700535,110,0.058823529,10,0.005347594,0,0,90,0.048128342,1755,0.480821918,260,0.071232877,0.966037736,0.056149733,7065,1420,1825,975,175,1365,225,310,240,85,50,130,270,0,0.2009908,0.25831564,0.138004246,0.024769993,0.193205945,0.031847134,0.043878273,0.033970276,0.012031139,0.007077141,0.018400566,0.038216561,0,3100
ottawa_riverview_3101,5700,840,0.147368421,1325,0.23245614,3060,0.536842105,0.085087719,0.174714662,0.527655838,0,0,0,0,1,0.155263158,0.313274336,0.040386304,0.070376432,0.134210526,15.6,34920,37200,29240,34000,13,20.6,0.808510638,885,1550,0.271929825,345,0.343283582,1040,0.246737841,160,0.329896907,32.9,28,8.5,520,0.366197183,0,0,0,0,3005,995,230,640,0.11237928,295,0.051799824,1030,0.561307902,580,0.316076294,140,0.076294278,15,0.008174387,60,0.032697548,930,0.333931777,270,0.096947935,0.927986907,0.046321526,5695,1155,670,1795,210,860,300,105,265,40,45,70,180,0,0.202809482,0.117647059,0.315188762,0.036874451,0.151009658,0.052677788,0.018437226,0.046532046,0.007023705,0.007901668,0.012291484,0.031606673,0,3101
ottawa_rockcliffe_park_3102,295,85,0.288135593,60,0.203389831,105,0.355932203,0.13559322,0,0.413793103,0,0,0,0,1,0,0,0,0,0,0,91000,148000,117000,172000,1.7,2.8,0.869565217,0,45,0.152542373,30,0.3,15,0.096774194,0,0,35,26.6,13.6,45,0.310344828,0,0,0,0,120,0,0,0,0,0,0,65,1,0,0,0,0,0,0,0,0,40,0.363636364,10,0.090909091,1,0,290,105,90,10,0,40,0,0,0,0,0,0,0,0,0.362068966,0.310344828,0.034482759,0,0.137931034,0,0,0,0,0,0,0,0,3102
