name,total_population,number_of_children_age_0_14,percent_of_pop_that_are_children_age_0_14,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,number_of_adults_age_25_64,percent_of_pop_that_are_adults_age_25_64,percent_of_pop_that_are_seniors_65,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_indigenous,percent_of_pop_that_are_fn,percent_of_pop_that_are_metis,percent_of_pop_that_are_inuit,percent_of_pop_that_are_racialized,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,percent_of_pop_with_knowledge_of_neither_english_nor_french,percent_of_pop_age_25_64_with_no_high_school_diploma_or_equivalent,percent_of_pop_living_alone,unemployment_rate,average_after_tax_income_in_2020_among_recipients,average_market_income_in_2020_among_recipients,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,percent_of_income_from_government_transfers_2020,percent_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,number_of_refugees,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,average_age_of_the_population,median_age_of_the_population,number_of_seniors_65,number_of_children_living_in_one_parent_families,percent_of_children_living_in_one_parent_families,number_of_people_who_are_indigenous,number_of_people_who_are_fn,number_of_people_who_are_metis,number_of_people_who_are_inuit,number_of_immigrants,number_of_recent_immigrants_arr_2016_2021,number_of_people_with_knowledge_of_neither_english_nor_french,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_people_age_25_64_with_a_high_school_diploma,percent_of_workers_who_commute_for_60_minutes_and_over,number_of_people_who_are_racialized,number_self_identified_as_south_asian,number_self_identified_as_chinese,number_self_identified_as_black,number_self_identified_as_filipino,number_self_identified_as_arab,number_self_identified_as_latin_american,number_self_identified_as_southeast_asian,number_self_identified_as_west_asian,number_self_identified_as_korean,number_self_identified_as_japanese,number_self_identified_with_other_visible_minority,number_self_identified_with_multiple_visible_minorities,number_of_people_who_are_non_racialized,percent_self_identified_as_south_asian,percent_self_identified_as_chinese,percent_self_identified_as_black,percent_self_identified_as_filipino,percent_self_identified_as_arab,percent_self_identified_as_latin_american,percent_self_identified_as_southeast_asian,percent_self_identified_as_west_asian,percent_self_identified_as_korean,percent_self_identified_as_japanese,percent_self_identified_with_other_visible_minority,percent_self_identified_with_multiple_visible_minorities,percent_of_people_who_are_non_racialized,ONS_ID
ottawa_stittsville_3106,515,105,0.203883495,40,0.077669903,345,0.669902913,0.038834951,1,1,0,0,0,0,0.59223301,0.106796117,0.106796117,0.048543689,0.028571429,0.019417476,4.8,44200,48600,38200,43000,7.7,14.2,0.9,55,35,0.067961165,0,0,20,0.054054054,0,0,32,32.4,3.9,25,0.172413793,0,0,0,0,515,515,25,15,0.029126214,0,0,120,0.827586207,20,0.137931034,0,0,0,0,0,0,155,0.516666667,20,0.066666667,0.985714286,0.172413793,305,150,25,40,0,40,0,20,15,0,0,0,0,205,0.291262136,0.048543689,0.077669903,0,0.077669903,0,0.038834951,0.029126214,0,0,0,0,0.398058252,3106
ottawa_stittsville_east_3107,1280,240,0.1875,80,0.0625,890,0.6953125,0.0546875,1,1,0,0,0,0,0.77734375,0.13671875,0.13671875,0.0859375,0.028248588,0.0234375,13.3,52300,63800,43600,55500,7,10.1,0.898305085,175,45,0.03515625,0,0,25,0.026595745,0,0,32.1,32.4,5.5,10,0.031746032,0,0,0,0,1280,1280,110,30,0.0234375,10,0.0078125,235,0.903846154,10,0.038461538,10,0.038461538,0,0,0,0,435,0.604166667,30,0.041666667,0.97740113,0.096153846,995,525,155,105,20,85,20,0,45,35,0,0,0,285,0.41015625,0.12109375,0.08203125,0.015625,0.06640625,0.015625,0,0.03515625,0.02734375,0,0,0,0.22265625,3107
ottawa_stittsville_north_3108,750,145,0.193333333,25,0.033333333,535,0.713333333,0.04,1,1,0,0,0,0,0.798657718,0.053333333,0.053691275,0.040268456,0.036363636,0.026666667,9.6,46400,58000,41400,50800,5.4,10.2,0.909090909,40,100,0.134228188,35,0.233333333,55,0.096491228,0,0,31.8,32,4,10,0.060606061,0,0,0,0,745,745,30,0,0,0,0,145,0.852941176,0,0,20,0.117647059,0,0,10,0.058823529,250,0.588235294,25,0.058823529,0.954545455,0.088235294,595,285,70,10,25,75,30,30,45,0,0,10,10,155,0.382550336,0.093959732,0.013422819,0.033557047,0.100671141,0.040268456,0.040268456,0.060402685,0,0,0.013422819,0.013422819,0.208053691,3108
ottawa_stonebridge_half_moon_bay_3109,1870,380,0.203208556,125,0.06684492,1195,0.639037433,0.085561497,1,1,0,0,0,0,0.890374332,0.120320856,0.120320856,0.098930481,0.054166667,0.037433155,15,46680,59200,40400,59500,5,11.3,0.891666667,225,230,0.122994652,80,0.181818182,140,0.110671937,0,0,34,33.6,8.6,55,0.11,0,0,0,0,1870,1870,185,10,0.005347594,15,0.00802139,350,0.864197531,45,0.111111111,0,0,10,0.024691358,0,0,465,0.525423729,45,0.050847458,0.945833333,0.098765432,1665,500,430,300,0,260,95,30,30,0,0,10,10,205,0.267379679,0.229946524,0.160427807,0,0.139037433,0.050802139,0.016042781,0.016042781,0,0,0.005347594,0.005347594,0.109625668,3109
ottawa_trend_arlington_3110,150,35,0.233333333,30,0.2,90,0.6,0,1,1,0,0,0,0,0.766666667,0.5,0.5,0.166666667,0.277777778,0,18.8,34000,39000,31600,37000,13,23,0.666666667,75,0,0,0,0,0,0,0,NA,27.6,30.4,0,10,0.153846154,0,0,0,0,150,150,25,0,0,0,0,25,0.714285714,10,0.285714286,0,0,0,0,0,0,25,0.384615385,0,0,0.722222222,0,115,20,0,10,0,40,35,0,0,0,0,0,10,35,0.133333333,0,0.066666667,0,0.266666667,0.233333333,0,0,0,0,0,0.066666667,0.233333333,3110
ottawa_vanier_north_3111,510,95,0.18627451,60,0.117647059,350,0.68627451,0,1,1,0,0,0,0,0.786407767,0.31372549,0.310679612,0.038834951,0.150684932,0.117647059,12.7,35000,33600,25700,28800,14.2,23,0.821917808,160,115,0.223300971,40,0.380952381,75,0.185185185,0,NA,29.4,32.8,0,40,0.296296296,0,0,0,0,515,515,20,120,0.233009709,95,0.184466019,90,0.514285714,40,0.228571429,25,0.142857143,0,0,0,0,95,0.351851852,15,0.055555556,0.849315068,0.142857143,405,55,0,210,20,45,25,20,15,0,0,0,0,110,0.106796117,0,0.40776699,0.038834951,0.087378641,0.048543689,0.038834951,0.029126214,0,0,0,0,0.213592233,3111
ottawa_vanier_south_3112,685,175,0.255474453,80,0.116788321,415,0.605839416,0.03649635,1,1,0,0,0,0,0.875912409,0.452554745,0.452554745,0.036231884,0.144578313,0.124087591,18.4,30700,26500,25100,28000,20.6,32.8,0.746987952,310,195,0.282608696,70,0.35,120,0.258064516,0,0,29.2,30.6,3.6,55,0.255813953,0,0,0,0,685,685,25,275,0.398550725,145,0.210144928,100,0.5,60,0.3,20,0.1,0,0,15,0.075,100,0.327868852,65,0.213114754,0.855421687,0.075,600,45,25,390,0,110,15,0,0,0,0,0,0,85,0.065693431,0.03649635,0.569343066,0,0.160583942,0.02189781,0,0,0,0,0,0,0.124087591,3112
ottawa_vars_3113,15,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0,0,NA,0,NA,0,NA,0,NA,NA,NA,0,0,NA,0,0,0,0,10,10,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3113
ottawa_waterridge_village_3114,135,25,0.185185185,0,0,90,0.666666667,0,1,1,0,0,0,0,0.884615385,0.592592593,0.615384615,0.111111111,0.222222222,0.074074074,25,39000,44000,26800,54000,18,28,0.722222222,80,30,0.222222222,0,NA,30,0.285714286,0,NA,30.6,31,0,10,0.25,0,0,0,0,130,130,15,20,0.148148148,0,0,25,1,0,0,0,0,0,0,0,0,20,0.444444444,0,0,0.777777778,0,115,10,10,65,0,0,10,0,0,0,0,0,0,20,0.076923077,0.076923077,0.5,0,0,0.076923077,0,0,0,0,0,0,0.153846154,3114
ottawa_west_centretown_3115,305,50,0.163934426,25,0.081967213,220,0.721311475,0.049180328,1,1,0,0,0,0,0.803278689,0.37704918,0.37704918,0,0.046511628,0.147540984,5.7,38400,44400,31600,40400,12,20.8,0.837209302,115,115,0.37704918,25,0.454545455,80,0.340425532,0,NA,33.4,34.8,4.9,20,0.4,0,0,0,0,305,305,0,40,0.131147541,0,0,35,0.411764706,15,0.176470588,20,0.235294118,0,0,10,0.117647059,80,0.5,0,0,0.953488372,0.117647059,245,15,10,50,25,80,30,30,15,0,0,0,0,60,0.049180328,0.032786885,0.163934426,0.081967213,0.262295082,0.098360656,0.098360656,0.049180328,0,0,0,0,0.196721311,3115
ottawa_westboro_3116,400,55,0.1375,50,0.125,250,0.625,0.0875,1,1,0,0,0,0,0.691358025,0.2375,0.234567901,0.0625,0.132075472,0.0875,22.4,41600,56400,36400,53200,7.8,13,0.830188679,95,90,0.225,0,0,55,0.186440678,20,0.666666667,35.9,35.6,8.8,0,0,0,0,0,0,405,405,25,65,0.1625,25,0.0625,55,0.6875,15,0.1875,10,0.125,0,0,0,0,100,0.526315789,20,0.105263158,0.830188679,0,280,50,15,90,0,75,10,0,25,15,0,0,0,125,0.12345679,0.037037037,0.222222222,0,0.185185185,0.024691358,0,0.061728395,0.037037037,0,0,0,0.308641975,3116
ottawa_whitehaven_woodpark_glabar_park_3117,390,75,0.192307692,65,0.166666667,240,0.615384615,0.051282051,1,1,0,0,0,0,0.792207792,0.371794872,0.376623377,0.064102564,0.152173913,0.051282051,16.7,36400,34800,26400,28200,18,24.8,0.760869565,145,60,0.153846154,0,0,55,0.203703704,0,NA,31.3,31.4,5.1,30,0.24,0,0,0,0,385,385,25,15,0.038461538,0,0,65,0.464285714,60,0.428571429,15,0.107142857,0,0,0,0,55,0.268292683,45,0.219512195,0.826086957,0.142857143,305,45,20,85,15,95,15,0,15,0,0,15,0,80,0.116883117,0.051948052,0.220779221,0.038961039,0.246753247,0.038961039,0,0.038961039,0,0,0.038961039,0,0.207792208,3117
