name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24
ottawa_chrc_3_eastern_ottawa_resource_centre_00000_2_0_percent,7495,355,0.047364909939959975,30,30,190,0.025350233488992662,4990,34560,4045,34040,28.7,27360,30760,18.8,1755,0.2341561040693796,570,0.07605070046697798,0,0,0,0,0,0,0,0,0.8946666666666667,6710,3635,0.6445035460992907,605,0.16643741403026135,565,0.14002478314745972,3470,0.8599752168525403,2990,0.7410161090458488,975,0.3212520593080725,345,0.11367380560131796,0.08977556109725686,1200,0.1601067378252168,1245,0.16611074049366245
ottawa_chrc_2_centretown_community_health_centre_00000_5_2_percent,1540,45,0.02922077922077922,32.5,31.8,395,0.2564935064935065,1275,74600,1155,111800,4.6,55200,81200,2.7,290,0.18770226537216828,55,0.03559870550161812,0,0,0,0,0,0,0,0,0.6634304207119741,1025,1160,0.8345323741007195,135,0.11637931034482758,80,0.06504065040650407,1150,0.9349593495934959,1100,0.8943089430894309,595,0.5804878048780487,25,0.024390243902439025,0.024390243902439025,170,0.11003236245954692,120,0.07792207792207792
ottawa_ward_14_somerset_00000_5_9_percent,1615,45,0.02786377708978328,32.3,31.8,425,0.2631578947368421,1330,67500,1195,97400,6.2,49100,69200,3.9,370,0.22910216718266255,50,0.030959752321981424,0,0,0,0,0,0,0,0,0.7430340557275542,1200,1180,0.8137931034482758,140,0.11864406779661017,90,0.07058823529411765,1180,0.9254901960784314,1110,0.8705882352941177,590,0.5673076923076923,20,0.019230769230769232,0.04597701149425287,170,0.10526315789473684,135,0.08359133126934984
ottawa_ward_23_kanata_south_00000_1_6_percent,2140,105,0.04906542056074766,32.3,34,55,0.02570093457943925,1520,43680,1370,49160,13.9,37280,45400,9.2,335,0.15654205607476634,160,0.07476635514018691,0,0,0,0,0,0,0,0,0.7330210772833724,1565,1185,0.716012084592145,130,0.10970464135021098,60,0.04225352112676056,1360,0.9577464788732394,1300,0.9154929577464789,535,0.5095238095238095,85,0.08095238095238096,0.049019607843137254,80,0.037383177570093455,135,0.0630841121495327
ottawa_ward_4_kanata_north_00000_1_9_percent,2830,220,0.07773851590106007,32.9,34.4,105,0.037102473498233215,1945,45560,1790,54100,10.2,39000,50280,5.7,430,0.1519434628975265,240,0.08480565371024736,0,0,0,0,0,0,0,0,0.8176991150442477,2310,1550,0.7328605200945626,140,0.09032258064516129,45,0.02616279069767442,1680,0.9767441860465116,1575,0.9156976744186046,875,0.6205673758865248,105,0.07446808510638298,0.0784313725490196,100,0.0353356890459364,170,0.06007067137809187
ottawa_ward_17_capital_00000_4_3_percent,1440,50,0.034722222222222224,32.9,32.4,160,0.1111111111111111,1175,46300,1025,57500,12.9,36700,49900,6.3,305,0.21254355400696864,45,0.0313588850174216,0,0,0,0,0,0,0,0,0.7777777777777778,1120,1060,0.8313725490196079,125,0.1179245283018868,30,0.02631578947368421,1110,0.9736842105263158,1025,0.8991228070175439,455,0.48663101604278075,65,0.06951871657754011,0.0625,175,0.12195121951219512,90,0.0625
ottawa_ward_15_kitchissippi_00000_3_3_percent,820,25,0.03048780487804878,33.6,34,85,0.10365853658536585,645,112200,565,183000,3.6,111200,176000,2,145,0.17682926829268292,25,0.03048780487804878,0,0,0,0,0,0,0,0,0.6707317073170732,550,550,0.7534246575342466,65,0.11818181818181818,45,0.0743801652892562,560,0.9256198347107438,520,0.859504132231405,285,0.59375,45,0.09375,0.08108108108108109,90,0.10975609756097561,95,0.11585365853658537
ottawa_ward_13_rideau_rockcliffe_00000_4_2_percent,1865,85,0.045576407506702415,32.6,33.2,140,0.07506702412868632,1350,36080,1120,39000,24.9,28350,38300,15.8,580,0.3109919571045576,105,0.05630026809651475,0,0,0,0,0,0,0,0,0.839142091152815,1565,980,0.6447368421052632,150,0.15306122448979592,170,0.13991769547325103,1045,0.8600823045267489,930,0.7654320987654321,220,0.26506024096385544,85,0.10240963855421686,0.1487603305785124,485,0.26005361930294907,220,0.11796246648793565
ottawa_ward_1_orleans_east_cumberland_00000_1_7_percent,975,30,0.03076923076923077,31,33.2,20,0.020512820512820513,705,39700,615,42800,18.8,33200,37400,12.7,140,0.14358974358974358,45,0.046153846153846156,0,0,0,0,0,0,0,0,0.7959183673469388,780,580,0.7733333333333333,60,0.10344827586206896,60,0.09448818897637795,575,0.905511811023622,530,0.8346456692913385,215,0.4095238095238095,60,0.11428571428571428,0.08196721311475409,325,0.3333333333333333,90,0.09230769230769231
ottawa_ward_18_alta_vista_00000_4_4_percent,3095,65,0.0210016155088853,30.1,31.4,225,0.07269789983844911,2260,32440,1855,30120,30.9,24660,27680,21.8,620,0.20032310177705978,255,0.08239095315024232,0,0,0,0,0,0,0,0,0.9338709677419355,2895,1700,0.6868686868686869,275,0.16176470588235295,435,0.22250639386189258,1525,0.7800511508951407,1320,0.6751918158567775,400,0.2807017543859649,190,0.13333333333333333,0.054455445544554455,535,0.172859450726979,450,0.14539579967689822
ottawa_ward_16_river_00000_3_2_percent,2595,35,0.01348747591522158,29.7,30.2,135,0.05202312138728324,1870,34400,1605,31520,28.3,27080,29000,17.5,710,0.27413127413127414,165,0.0637065637065637,0.0038535645472061657,10,0.0038535645472061657,10,0,0,0,0,0.8959537572254336,2325,1355,0.6609756097560976,225,0.16605166051660517,200,0.12345679012345678,1425,0.8796296296296297,1185,0.7314814814814815,330,0.2907488986784141,180,0.15859030837004406,0.08860759493670886,335,0.12934362934362933,400,0.15414258188824662
ottawa_ward_7_bay_00000_3_6_percent,3415,130,0.03806734992679356,30,30.4,235,0.06881405563689605,2455,37760,2050,40440,21.6,29360,35120,15.3,605,0.17715959004392387,230,0.06734992679355783,0,0,0,0,0,0,0,0,0.8696925329428989,2970,1960,0.7245841035120147,315,0.16071428571428573,255,0.11943793911007025,1885,0.882903981264637,1675,0.7845433255269321,630,0.38414634146341464,180,0.10975609756097561,0.09045226130653267,290,0.0849194729136164,440,0.12884333821376281
ottawa_ward_9_knoxdale_merivale_00000_2_8_percent,3025,70,0.023140495867768594,27.3,27.6,65,0.021487603305785124,1870,31960,1365,29640,37.7,24480,27200,29.3,940,0.31074380165289256,300,0.09917355371900827,0,0,0,0,0,0,0,0,0.9256198347107438,2800,1220,0.5714285714285714,200,0.16393442622950818,400,0.24539877300613497,1220,0.7484662576687117,940,0.5766871165644172,260,0.2549019607843137,165,0.16176470588235295,0.087248322147651,245,0.08099173553719008,430,0.14214876033057852
ottawa_ward_6_stittsville_00000_1_3_percent,2540,120,0.047244094488188976,32,32.4,55,0.021653543307086614,1895,48880,1710,59000,10.9,41880,51400,6.6,180,0.07086614173228346,165,0.06496062992125984,0,0,0,0,0,0,0,0,0.7460629921259843,1895,1615,0.7878048780487805,175,0.10835913312693499,50,0.028089887640449437,1730,0.9719101123595506,1600,0.898876404494382,840,0.5833333333333334,75,0.052083333333333336,0.1111111111111111,60,0.023622047244094488,155,0.0610236220472441
ottawa_ward_19_orleans_south_navan_00000_1_8_percent,1825,105,0.057534246575342465,31.1,32,25,0.0136986301369863,1260,39500,1105,42700,18.2,30400,35700,11.4,275,0.1506849315068493,90,0.049315068493150684,0,0,0,0,0,0,0,0,0.8849315068493151,1615,990,0.7071428571428572,110,0.1111111111111111,65,0.06103286384976526,1000,0.9389671361502347,880,0.8262910798122066,290,0.32954545454545453,105,0.11931818181818182,0.08695652173913043,415,0.2273972602739726,230,0.12602739726027398
ottawa_ward_11_beacon_hill_cyrville_00000_2_5_percent,2435,80,0.03285420944558522,27.7,25.4,60,0.024640657084188913,1450,33480,1100,28700,39.4,24400,24200,28.2,640,0.26283367556468173,140,0.057494866529774126,0,0,0,0,0,0,0,0,0.9057377049180327,2210,1060,0.6347305389221557,230,0.2169811320754717,200,0.17391304347826086,950,0.8260869565217391,800,0.6956521739130435,220,0.26506024096385544,110,0.13253012048192772,0.1016949152542373,585,0.2402464065708419,440,0.1806981519507187
ottawa_ward_10_gloucester_southgate_00000_2_9_percent,3440,70,0.020348837209302327,28.9,28.4,105,0.030523255813953487,2295,31680,1755,26880,39.8,24360,25080,28.6,925,0.2692867540029112,240,0.06986899563318777,0,0,0,0,0,0,0,0,0.9113372093023255,3135,1555,0.5957854406130269,215,0.1382636655948553,345,0.18548387096774194,1520,0.8172043010752689,1240,0.6666666666666666,290,0.21641791044776118,210,0.15671641791044777,0.09178743961352658,325,0.09461426491994178,680,0.19767441860465115
ottawa_ward_8_college_00000_3_0_percent,2035,50,0.02457002457002457,30.4,30,125,0.06142506142506143,1545,39040,1325,43560,18.3,31200,39000,10,425,0.20884520884520885,70,0.0343980343980344,0,0,0,0,0,0,0,0,0.8700980392156863,1775,1245,0.7455089820359282,190,0.15261044176706828,85,0.06227106227106227,1280,0.9377289377289377,1150,0.8424908424908425,450,0.4225352112676056,90,0.08450704225352113,0.09836065573770492,120,0.05896805896805897,255,0.12530712530712532
ottawa_ward_5_west_carleton_march_00000_3_1_percent,240,20,0.08333333333333333,35.8,34.4,10,0.041666666666666664,190,88000,165,121000,5.7,39200,64000,4.6,0,0,20,0.08333333333333333,0,0,0,0,0,0,0,0,0.46938775510204084,115,130,0.6190476190476191,15,0.11538461538461539,0,0,145,0.9666666666666667,130,0.8666666666666667,40,0.34782608695652173,15,0.13043478260869565,0.14285714285714285,0,0,40,0.16666666666666666
ottawa_ward_2_orleans_west_innes_00000_1_7_percent,1190,35,0.029411764705882353,30.8,31.2,25,0.02100840336134454,835,34400,730,33900,22.7,28850,31950,14.3,245,0.20588235294117646,20,0.01680672268907563,0,0,0,0,0,0,0,0,0.8481012658227848,1005,700,0.7486631016042781,130,0.18571428571428572,75,0.10344827586206896,650,0.896551724137931,560,0.7724137931034483,180,0.3103448275862069,40,0.06896551724137931,0.08860759493670886,350,0.29411764705882354,170,0.14285714285714285
ottawa_ward_22_riverside_south_findlay_creek_00000_1_1_percent,1645,180,0.1094224924012158,33.9,32.4,55,0.03343465045592705,1215,36300,1040,41100,17.1,30650,38100,8.6,320,0.1945288753799392,210,0.1276595744680851,0,0,0,0,0,0,0,0,0.8844984802431611,1455,870,0.651685393258427,120,0.13793103448275862,45,0.045454545454545456,945,0.9545454545454546,860,0.8686868686868687,375,0.5,75,0.1,0.0684931506849315,55,0.03343465045592705,165,0.10030395136778116
ottawa_ward_21_rideau_jock_00000_1_7_percent,200,10,0.05,32.4,34.8,0,0,120,44000,100,52000,15.2,37000,44000,11.2,30,0.15,10,0.05,0,0,0,0,0,0,0,0,0.35,70,100,0.7407407407407407,10,0.1,10,0.09090909090909091,105,0.9545454545454546,90,0.8181818181818182,35,0.3888888888888889,15,0.16666666666666666,0,0,0,15,0.075
ottawa_ward_12_rideau_vanier_00000_7_6_percent,2520,50,0.01984126984126984,30,32,445,0.1765873015873016,1835,34760,1610,33720,23.5,28160,32400,13.5,770,0.3055555555555556,90,0.03571428571428571,0,0,0,0,0,0,0,0,0.7976190476190477,2010,1565,0.770935960591133,290,0.1853035143769968,165,0.09763313609467456,1530,0.9053254437869822,1425,0.8431952662721893,530,0.41568627450980394,135,0.10588235294117647,0.08783783783783784,760,0.30158730158730157,285,0.1130952380952381
ottawa_ward_20_osgoode_00000_1_8_percent,240,20,0.08333333333333333,35.2,31.2,0,0,195,44400,160,56400,15.6,47200,72000,3.6,0,0,15,0.061224489795918366,0,0,0,0,0,0,0,0,0.6326530612244898,155,130,0.5909090909090909,20,0.15384615384615385,10,0.06451612903225806,140,0.9032258064516129,120,0.7741935483870968,35,0.3181818181818182,15,0.13636363636363635,0,0,0,50,0.20833333333333334
ottawa_ward_24_barrhaven_east_00000_1_7_percent,2690,145,0.05390334572490706,31.1,32,45,0.016728624535315983,1925,35040,1595,36960,23.2,26360,30960,16,410,0.1524163568773234,205,0.0762081784386617,0,0,0,0,0,0,0,0,0.8942486085343229,2410,1390,0.6572104018912529,215,0.15467625899280577,115,0.07165109034267912,1490,0.9283489096573209,1335,0.8317757009345794,445,0.37872340425531914,185,0.1574468085106383,0.0625,85,0.031598513011152414,370,0.137546468401487
ottawa_ward_3_barrhaven_west_00000_2_1_percent,2585,225,0.08704061895551257,34,33.6,90,0.03481624758220503,1860,44760,1625,55150,11.9,38680,53600,6.1,330,0.1274131274131274,255,0.09845559845559845,0,0,0,0,0,0,0,0,0.8974854932301741,2320,1430,0.6958637469586375,225,0.15734265734265734,95,0.0581039755351682,1535,0.9388379204892966,1430,0.8746177370030581,610,0.5062240663900415,95,0.07883817427385892,0.08620689655172414,75,0.02895752895752896,190,0.0735009671179884
