name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,number_of_immigrants,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,number_of_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,number_of_refugees,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24
ottawa_ons2022_crestview_tanglewood_3035_00000_1_4_percent,390,10,0.02564102564102564,30,30.6,15,0.038461538461538464,270,35600,225,33200,30.4,27800,32800,14.8,100,0.2564102564102564,285,0.7307692307692307,0,0,65,0.16666666666666666,0,0,25,0.0641025641025641,0,0,0,0,0,0,0,0,385,1,1,385,0.4230769230769231,0.42857142857142855,165,0.8701298701298701,335,220,0.7213114754098361,35,0.1590909090909091,30,0.11538461538461539,230,0.8846153846153846,195,0.75,85,0.4594594594594595,30,0.16216216216216217,90,0.9,10,0.1,0,0,0,0,0,0,0,30,0.07692307692307693,35,0.08974358974358974
ottawa_ons2022_crystal_bay_lakeview_park_3036_00000_2_0_percent,45,10,0.2222222222222222,42,36.8,0,0,35,48000,35,56000,5,40000,48000,5,0,0,30,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,1,45,0,0,0,0.4444444444444444,20,30,0.75,0,0,0,0,25,1,25,1,25,1,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,0
ottawa_ons2022_cumberland_3037_00000_1_2_percent,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,0,NA,NA,0,NA,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA
ottawa_ons2022_deep_river_3705_00000_2_4_percent,60,0,0,30.4,34,0,0,35,32000,25,40000,14,17000,24000,3.2,0,0,30,0.5454545454545454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1,1,55,0.4166666666666667,0.45454545454545453,25,0.8181818181818182,45,15,0.375,0,0,0,0,30,1,25,0.8333333333333334,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ottawa_ons2022_drummond_north_elmsley_3403_00000_2_7_percent,35,0,0,42,NA,0,0,35,40000,25,48000,16,38000,40000,12,0,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,1,30,0,0,0,0.8333333333333334,25,25,0.7142857142857143,0,0,0,0,20,0.6666666666666666,15,0.5,10,0.4,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ottawa_ons2022_dunrobin_3038_00000_2_2_percent,125,0,0,31.8,29.4,0,0,95,36500,85,42000,17,31000,52000,6.8,35,0.28,90,0.72,0,0,0,0,0,0,10,0.08,0,0,0,0,0,0,0,0,125,1,1,125,0,0,0,0.56,70,45,0.45,10,0.2222222222222222,0,0,70,1,65,0.9285714285714286,15,0.375,10,0.25,25,1,0,0,0,0,0,0,0,0,0,0,0,35,0.28
ottawa_ons2022_east_hawkesbury_3605_00000_2_2_percent,15,0,0,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,10,1,1,10,0,0,0,1,10,0,0,0,NA,0,0,10,1,10,1,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,0
ottawa_ons2022_edwards_carlsbad_springs_3039_00000_5_6_percent,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,0,NA,NA,0,NA,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA
ottawa_ons2022_elmvale_canterbury_3040_00000_2_0_percent,355,10,0.028169014084507043,30.9,31.4,0,0,245,30600,215,25000,33.5,20600,21000,23.6,75,0.2112676056338028,265,0.7464788732394366,0,0,65,0.18309859154929578,0,0,30,0.08450704225352113,0,0,0,0,0,0,0,0,355,1,1,355,0.43661971830985913,0.43661971830985913,155,0.9014084507042254,320,190,0.6551724137931034,45,0.23684210526315788,30,0.14285714285714285,180,0.8571428571428571,155,0.7380952380952381,35,0.2413793103448276,10,0.06896551724137931,55,0.4782608695652174,30,0.2608695652173913,20,0.17391304347826086,0,0,0,0,0,0,0,75,0.2112676056338028
ottawa_ons2022_emerald_woods_sawmill_creek_3041_00000_3_6_percent,810,10,0.012345679012345678,26.8,25.8,20,0.024691358024691357,495,29100,325,22400,52.4,19900,18600,43.6,300,0.37037037037037035,500,0.6172839506172839,0,0,310,0.38271604938271603,15,0.018518518518518517,95,0.11728395061728394,0,0,0,0,0,0,0,0,810,1,1,810,0.7283950617283951,0.7283950617283951,590,0.9197530864197531,745,285,0.5089285714285714,60,0.21052631578947367,140,0.35,265,0.6625,210,0.525,35,0.15555555555555556,60,0.26666666666666666,140,0.7368421052631579,20,0.10526315789473684,15,0.07894736842105263,0,0,15,0.07894736842105263,0,25,0.030864197530864196,145,0.17901234567901234
