name,total_population,percent_of_pop_that_are_seniors_65,number_of_seniors_65,average_age_of_the_population,median_age_of_the_population,number_of_children_living_in_one_parent_families,percent_of_children_living_in_one_parent_families,number_of_pop_living_alone,percent_of_pop_living_alone,average_after_tax_income_in_2020_among_recipients,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,number_of_pop_living_alone_i_e_1_person_household,average_household_size,number_of_owner_households,percent_of_owner_households,percent_of_renter_households,percent_of_households_living_in_core_housing_need,number_of_households_living_in_core_housing_need,percent_of_owner_households_in_core_housing_need,median_monthly_shelter_costs_for_owned_dwellings,average_monthly_shelter_costs_for_owned_dwellings,number_of_tenant_households,percent_of_tenant_households_living_in_subsidized_housing,percent_of_renter_households_in_core_housing_need,median_monthly_shelter_costs_for_rented_dwellings,average_monthly_shelter_costs_for_rented_dwellings,average_size_of_census_families,percent_of_census_families_that_are_one_parent_families,number_of_one_parent_families,percent_of_all_census_families_that_are_one_parent_families,average_number_of_children_in_census_families_with_children,average_after_tax_income_of_all_economic_families,average_after_tax_income_of_couple_with_children_economic_families,average_after_tax_income_of_one_parent_economic_families,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_pop_with_knowledge_of_neither_english_nor_french,number_of_people_with_knowledge_of_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_immigrants,number_of_immigrants,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,number_of_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,number_of_refugees,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,percent_in_the_labour_force_participation_rate,number_of_pop_in_labour_force,unemployment_rate,number_of_pop_unemployed,number_of_people_age_25_64_w_no_high_school_diploma_or_equivalent,percent_of_pop_age_25_64_with_no_high_school_diploma_or_equivalent,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,percent_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,percent_of_workers_who_commute_for_60_minutes_and_over,number_of_youth_age_15_24,percent_of_of_pop_that_are_youth_age_15_24,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home
ons2022_bridlewood_emerald_meadows_3014_00000_1_2_percent,25705,0.12312779614860922,3165,38.3,39.2,1445,0.15663956639566395,1360,0.05290799455358879,55800,66200,10.2,53300,65300,7,1175,0.04571984435797665,350,0.05622489959839357,660,0.04045357033404842,165,0.052132701421800945,1360,2.9,7825,0.8762597984322509,0.12318029115341546,0.050339366515837106,445,3.5,1680,1650,1105,11.3,16.3,1940,1768,3.1,0.1213527851458886,915,0.1213527851458886,1.8,133200,141000,86000,135,0.005251896518187123,0.014005057381832327,360,0.020428015564202335,525,0.0122568093385214,315,0.007976653696498054,205,0,0,0.26361867704280156,6775,0.03852140077821012,990,0.039291966543474034,0.1732418524871355,1010,0.295136186770428,7585,0.7163601161665053,14800,0.08952702702702703,1325,520,0.036827195467422094,13605,0.9635269121813032,11655,0.8254249291784702,6560,0.4868274582560297,870,0.06456400742115027,6040,0.8747284576393918,355,0.05141202027516292,230,0.0333091962346126,30,0.004344677769732078,250,0.036205648081100654,0.044170890658942794,3375,0.1312974129546781,1185,0.046099980548531413
ons2022_britannia_3015_00000_4_2_percent,8445,0.2291296625222025,1935,44.1,42.4,915,0.452970297029703,2085,0.2468916518650089,42800,45480,21.7,39640,44760,16.5,1445,0.1712085308056872,325,0.2559055118110236,855,0.16332378223495703,265,0.13695090439276486,2080,1.9,1420,0.3238312428734322,0.6761687571265679,0.23529411764705882,1000,11.2,1120,1456,2960,18.6,29.3,1250,1227,2.7,0.24519230769230768,510,0.24519230769230768,1.8,90100,98000,65600,140,0.016587677725118485,0.015402843601895734,130,0.027251184834123223,230,0.008293838862559242,70,0.01481042654028436,125,0.0017772511848341231,15,0.3074644549763033,2595,0.07049763033175356,595,0.09591474245115453,0.39416058394160586,810,0.3347156398104265,2825,0.5679513184584178,4200,0.1380952380952381,580,520,0.11529933481152993,3995,0.885809312638581,3090,0.6851441241685144,1435,0.3969571230982019,375,0.1037344398340249,1400,0.6422018348623854,510,0.23394495412844038,175,0.08027522935779817,25,0.011467889908256881,65,0.02981651376146789,0.052752293577981654,940,0.11130846654825341,650,0.07701421800947868
ons2022_brookside_briarbrook_morgans_grant_3016_00000_1_0_percent,15480,0.09043927648578812,1400,35.9,37.2,1040,0.17035217035217035,660,0.04263565891472868,54200,65600,9.8,50920,63850,6.3,820,0.05298869143780291,320,0.07450523864959255,405,0.04141104294478527,100,0.07142857142857142,660,3.1,4065,0.8203834510595358,0.17860746720484358,0.060699588477366256,295,3.5,1740,1698,890,7.3,19.2,2020,1868,3.3,0.13821138211382114,595,0.13821138211382114,1.9,132000,137000,86000,90,0.005815831987075929,0.018739903069466882,290,0.020348837209302327,315,0.011950904392764857,185,0.007428940568475452,115,0,0,0.36757105943152457,5690,0.06492248062015504,1005,0.055232558139534885,0.16147308781869688,855,0.4958010335917313,7675,0.7168473728106756,8595,0.0924956369982548,795,180,0.021415823914336704,8225,0.9785841760856633,7035,0.8370017846519928,3900,0.5003207184092366,555,0.07119948685054522,3260,0.8402061855670103,215,0.055412371134020616,225,0.05798969072164949,40,0.010309278350515464,140,0.03608247422680412,0.06701030927835051,2180,0.14082687338501293,830,0.053634894991922456
ons2022_brudenell_lyndoch_and_raglan_3704_00000_5_1_percent,1550,0.3161290322580645,490,51.3,57.6,45,0.1232876712328767,190,0.12258064516129032,31600,28750,34.1,31120,30050,28.7,310,0.19935691318327975,0,0,145,0.1746987951807229,125,0.25510204081632654,190,2.3,630,0.9130434782608695,0.08695652173913043,0.15267175572519084,100,16.1,484,724,60,33.3,0,596,640,2.7,0.08333333333333333,40,0.08333333333333333,1.8,72400,91000,64000,0,0,0,0,0.05144694533762058,80,0.012861736334405145,20,0.03536977491961415,55,0,0,0.05787781350482315,90,0,0,0.00967741935483871,0.3333333333333333,15,0.00964630225080386,15,0.4574468085106383,645,0.1937984496124031,125,120,0.16,630,0.84,355,0.47333333333333333,75,0.14563106796116504,85,0.1650485436893204,385,0.875,0,0,45,0.10227272727272728,0,0,10,0.022727272727272728,0.18181818181818182,165,0.1064516129032258,0,0
ons2022_cardinal_creek_3017_00000_1_7_percent,12910,0.11657629744384199,1505,38,39.2,930,0.1962025316455696,745,0.05770720371804802,56300,64900,10.2,54000,64700,7.1,285,0.022075910147172733,95,0.030015797788309637,140,0.016979987871437233,50,0.03333333333333333,745,2.9,3990,0.8876529477196885,0.11234705228031146,0.04269662921348315,190,3,1820,1840,505,0,14.4,1920,2030,3.1,0.15127175368139223,565,0.15127175368139223,1.9,135400,146000,91600,360,0.027885360185902403,0.005034856700232378,65,0.030209140201394268,390,0.010457010069713401,135,0.016653756777691712,215,7.74593338497289e-4,10,0.19829589465530598,2560,0.018590240123934933,240,0.03601859024012394,0.20898876404494382,465,0.2831138652207591,3655,0.7186293436293436,7445,0.08059100067159167,600,305,0.04314002828854314,6765,0.9568599717114569,5590,0.7906647807637907,3100,0.4528853177501826,470,0.06866325785244703,3175,0.8546433378196501,305,0.08209959623149395,110,0.029609690444145357,20,0.005383580080753701,105,0.02826379542395693,0.06864064602960969,1795,0.13903950426026337,4045,0.31332300542215336
ons2022_carleton_heights_courtland_park_3018_00000_3_6_percent,8190,0.17094017094017094,1400,40.1,35.6,715,0.3743455497382199,1195,0.14590964590964592,46920,53050,15.6,41040,51400,10,1080,0.13194868662186926,250,0.2183406113537118,740,0.13108945969884853,95,0.06785714285714285,1190,2.3,1800,0.49586776859504134,0.5041322314049587,0.1544011544011544,535,8.5,1180,1618,1830,10.4,22.3,1240,1288,2.8,0.21025641025641026,410,0.21025641025641026,1.7,114100,138000,81200,40,0.004884004884004884,0.027472527472527472,225,0.02564102564102564,210,0.0115995115995116,95,0.009157509157509158,75,0,0,0.29853479853479853,2445,0.03907203907203907,320,0.057387057387057384,0.25405405405405407,470,0.36752136752136755,3010,0.6507607192254495,4705,0.13496280552603612,635,370,0.08980582524271845,3755,0.9114077669902912,3080,0.7475728155339806,1605,0.39434889434889436,370,0.09090909090909091,1790,0.7412008281573499,405,0.16770186335403728,115,0.047619047619047616,45,0.018633540372670808,65,0.026915113871635612,0.043478260869565216,1705,0.2081807081807082,420,0.05128205128205128
ons2022_carleton_place_3402_00000_2_3_percent,12005,0.1965847563515202,2360,41.5,41.2,970,0.27793696275071633,1430,0.11911703456892961,45600,48760,18.1,43560,48600,13.8,875,0.0728862973760933,190,0.07450980392156863,455,0.06408450704225352,235,0.09978768577494693,1425,2.3,3570,0.695906432748538,0.3031189083820663,0.06454816285998013,325,2,1460,1476,1555,10.3,17.1,1410,1428,2.8,0.18131101813110181,650,0.18131101813110181,1.7,100700,120000,68000,0,0,8.329862557267805e-4,10,0.04748021657642649,570,0.0212411495210329,255,0.02040816326530612,245,0.0029154518950437317,35,0.07580174927113703,910,0.010412328196584756,125,0.007080383173677634,0.14912280701754385,85,0.060807996668054975,730,0.6430753564154786,6315,0.0768012668250198,485,500,0.07880220646178093,5845,0.9211977935382191,4030,0.6351457840819543,1650,0.2827763496143959,710,0.12167952013710369,3665,0.8788968824940048,30,0.007194244604316547,320,0.07673860911270983,40,0.009592326139088728,115,0.027577937649880094,0.03836930455635491,1115,0.09287796751353602,165,0.013744273219491879
ons2022_carleton_university_3019_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ons2022_carlington_3020_00000_4_4_percent,15650,0.11565495207667732,1810,37.8,36.8,1670,0.36069114470842334,2815,0.17987220447284344,43680,49440,19,40640,49000,12.6,2905,0.1855637176620888,830,0.2618296529968454,1725,0.16159250585480095,350,0.1928374655647383,2820,2.2,2865,0.4029535864978903,0.5970464135021097,0.2001450326323423,1380,5.7,1470,1450,4245,27,29.9,1100,1100,2.9,0.24904701397712833,980,0.24904701397712833,1.9,98600,108000,67000,325,0.02076014053018205,0.028744809964867453,450,0.03928457361865219,615,0.021079527307569467,330,0.010539763653784734,165,0.0047908016608112424,75,0.3145959757266049,4925,0.06419674225487065,1005,0.11246006389776358,0.4055299539170507,1760,0.43724049824337274,6845,0.6590645535369154,8525,0.12903225806451613,1100,1055,0.11555312157721796,8075,0.884446878422782,6420,0.7031763417305587,2930,0.3948787061994609,680,0.09164420485175202,3115,0.6984304932735426,835,0.18721973094170405,245,0.05493273542600897,105,0.023542600896860985,160,0.03587443946188341,0.04820627802690583,1985,0.1268370607028754,1140,0.07282018524433088
ons2022_carp_3021_00000_1_8_percent,6335,0.18153117600631413,1150,41.8,45.2,255,0.12028301886792453,360,0.056827150749802685,68600,85600,7.7,61950,78300,6.3,280,0.04419889502762431,50,0.034482758620689655,150,0.040106951871657755,80,0.06986899563318777,360,2.8,2105,0.9314159292035398,0.06858407079646017,0.04805491990846682,105,2.7,1600,1876,155,16.1,34.5,1110,1360,3,0.08311688311688312,160,0.08311688311688312,1.9,169400,174000,102000,0,0,0.008681925808997633,55,0.030781373322809787,195,0.011838989739542225,75,0.018153117600631413,115,0,0,0.1452249408050513,920,0.009471191791633781,60,0.009471191791633781,0.08633093525179857,60,0.12075769534333071,765,0.6692160611854685,3500,0.07428571428571429,260,85,0.026521060842433698,3120,0.9734789391575663,2645,0.8252730109204368,1535,0.4737654320987654,350,0.10802469135802469,1550,0.9144542772861357,50,0.029498525073746312,35,0.02064896755162242,0,0,50,0.029498525073746312,0.05309734513274336,880,0.13891081294396213,175,0.027624309392265192
ons2022_carson_grove_carson_meadows_3022_00000_2_5_percent,10320,0.20445736434108527,2110,43,42.8,1140,0.3844856661045531,1575,0.15261627906976744,46440,50880,18.2,43400,49880,13.6,1190,0.11531007751937984,295,0.17201166180758018,660,0.1016949152542373,230,0.10874704491725769,1570,2.2,2320,0.503800217155266,0.496199782844734,0.13489409141583056,605,6.5,1160,1428,2290,22.9,21,1390,1402,2.8,0.23404255319148937,660,0.23404255319148937,1.8,105300,123000,71600,520,0.050387596899224806,0.015019379844961241,155,0.037306201550387594,385,0.025193798449612403,260,0.009689922480620155,100,0.0014534883720930232,15,0.2911821705426357,3005,0.04312015503875969,445,0.08042635658914729,0.32170542635658916,830,0.39195736434108525,4045,0.5850111856823266,5230,0.1022944550669216,535,460,0.08356039963669391,5040,0.9155313351498637,3895,0.7075386012715713,1980,0.42127659574468085,315,0.06702127659574468,1800,0.6654343807763401,525,0.19408502772643252,250,0.09242144177449169,45,0.0166358595194085,90,0.033271719038817,0.053604436229205174,1320,0.12790697674418605,2945,0.2853682170542636
ons2022_casselman_3602_00000_2_7_percent,3785,0.1690885072655218,640,40.9,42,270,0.242152466367713,405,0.10700132100396301,49280,54000,14.8,47560,54200,11.1,225,0.059445178335535004,50,0.05952380952380952,120,0.05228758169934641,50,0.07751937984496124,405,2.4,1150,0.7278481012658228,0.2721518987341772,0.054313099041533544,85,0,1400,1432,430,8.1,16.5,1010,1108,2.8,0.14977973568281938,170,0.14977973568281938,1.8,111400,139000,76000,415,0.1096433289299868,0.003963011889035667,15,0.03830911492734478,145,0.026420079260237782,100,0.011889035667107,45,0,0,0.05812417437252312,220,0.009247027741083224,35,0.007926023778071334,0.16216216216216217,30,0.08982826948480846,340,0.6764705882352942,2070,0.050724637681159424,105,190,0.09382716049382717,1835,0.9061728395061729,1365,0.674074074074074,495,0.2512690355329949,220,0.1116751269035533,1335,0.9081632653061225,20,0.013605442176870748,80,0.05442176870748299,15,0.01020408163265306,20,0.013605442176870748,0.061224489795918366,390,0.10303830911492734,2550,0.6737120211360634
ons2022_centrepointe_briargreen_3023_00000_1_9_percent,9100,0.1879120879120879,1710,42.4,43.2,670,0.2533081285444234,810,0.08901098901098901,56450,66900,11.2,53900,66100,7.6,630,0.06919275123558484,115,0.07419354838709677,420,0.07191780821917808,95,0.05555555555555555,810,2.5,2520,0.7019498607242339,0.2994428969359331,0.08620689655172414,300,4.6,1020,1462,1070,13.6,18.5,1600,1564,2.9,0.1640926640926641,425,0.1640926640926641,1.7,138600,153000,72000,25,0.0027472527472527475,0.015934065934065933,145,0.018121911037891267,165,0.008786381109280615,80,0.007138934651290499,65,0,0,0.28390993959362987,2585,0.028555738605161998,260,0.022527472527472527,0.09761904761904762,205,0.34925864909390447,3180,0.6409929980903882,5035,0.11717974180734857,590,185,0.038262668045501554,4650,0.9617373319544984,4050,0.8376421923474664,1945,0.437570303712036,350,0.07874015748031496,1805,0.736734693877551,365,0.1489795918367347,125,0.05102040816326531,25,0.01020408163265306,130,0.053061224489795916,0.05102040816326531,1310,0.14395604395604394,250,0.027472527472527472
ons2022_centretown_3024_00000_5_7_percent,31355,0.12948493063307287,4060,39.9,34.8,915,0.30247933884297523,12285,0.3918035401052464,57750,72400,9.2,49880,62750,6.2,4940,0.15752551020408162,440,0.19954648526077098,3680,0.14667198086887206,825,0.20320197044334976,12285,1.5,5025,0.247110892549791,0.752889107450209,0.15737874097007223,3050,5.1,1800,1898,15310,12.5,19.4,1350,1360,2.4,0.11171032357473036,725,0.11171032357473036,1.5,130600,117000,69800,210,0.006697496412055494,0.011800350821240632,370,0.02806122448979592,880,0.01403061224489796,440,0.011001275510204082,345,0.001913265306122449,60,0.22991071428571427,7210,0.04161352040816327,1305,0.038909264870036674,0.2026578073089701,1220,0.27120535714285715,8505,0.7499576199355823,22120,0.1003616636528029,2220,975,0.04559270516717325,20415,0.9546411035772738,17890,0.8365676876315175,11480,0.5768844221105528,750,0.03768844221105527,3170,0.3800959232613909,1280,0.15347721822541965,3160,0.37889688249400477,410,0.049160671462829736,325,0.03896882494004796,0.03717026378896882,4050,0.1291660022324988,2635,0.08403763355126774
ons2022_champlain_3603_00000_2_8_percent,8550,0.2695906432748538,2305,47.5,52.4,560,0.27053140096618356,940,0.10994152046783626,43040,45560,20.5,41760,47480,15.3,765,0.08952603861907549,120,0.08759124087591241,310,0.063655030800821355,335,0.14565217391304347,940,2.3,2970,0.792,0.208,0.025885558583106268,95,1.2,910,1127,770,11,8.6,800,854,2.6,0.12880143112701253,360,0.12880143112701253,1.7,98400,118000,76000,940,0.10994152046783626,0,0,0.029256875365710942,250,0.013458162668227034,115,0.014628437682855471,125,0,0,0.05968402574605032,510,0.0052662375658279695,45,0.0023391812865497076,0.06153846153846154,20,0.028671737858396724,245,0.567003367003367,4210,0.07957244655581948,335,435,0.09931506849315068,3945,0.9006849315068494,2700,0.6164383561643836,690,0.17806451612903226,425,0.10967741935483871,3045,0.9560439560439561,15,0.004709576138147566,75,0.023547880690737835,10,0.0031397174254317113,35,0.01098901098901099,0.10832025117739404,745,0.0871345029239766,5005,0.5853801169590643
ons2022_chapel_hill_north_3025_00000_1_4_percent,11755,0.18885580603998298,2220,41.7,43.2,915,0.23193916349809887,770,0.0655040408336878,57000,66700,11.7,53350,64600,8.9,610,0.051892811569544874,190,0.07739307535641547,345,0.04876325088339223,60,0.02702702702702703,765,2.7,3515,0.8025114155251142,0.19748858447488585,0.05098493626882966,220,2,1160,1436,865,9.2,17.3,1840,1744,3,0.1584852734922861,565,0.1584852734922861,1.9,135000,144000,93200,285,0.024245002126754574,0.009357720119098255,110,0.028498511271799233,335,0.011909825606125054,140,0.015737983836665248,185,0,0,0.22501063377286262,2645,0.038706933219906425,455,0.04423649510846448,0.24880382775119617,520,0.2913653764355593,3425,0.6073808303434136,5925,0.09535864978902954,565,290,0.048013245033112585,5750,0.9519867549668874,4770,0.7897350993377483,2340,0.43656716417910446,385,0.07182835820895522,2460,0.8241206030150754,265,0.08877721943048576,155,0.051926298157453935,25,0.008375209380234505,85,0.02847571189279732,0.04522613065326633,1495,0.1271799234368354,3015,0.2564866014461931
ons2022_chapel_hill_south_3026_00000_1_3_percent,14245,0.10740610740610741,1530,37.3,37.2,930,0.18040737148399613,720,0.05054405054405054,56400,66800,10,53600,65900,6.3,505,0.03545103545103545,115,0.0344311377245509,250,0.026652452025586353,140,0.0915032679738562,715,2.9,4200,0.8641975308641975,0.1368312757201646,0.042708333333333334,205,2.9,1940,1886,660,2.3,12.4,2000,1880,3.1,0.13027744270205066,540,0.13027744270205066,1.9,136400,145000,101200,460,0.03229203229203229,0.011232011232011231,160,0.02492102492102492,355,0.008775008775008775,125,0.015444015444015444,220,0,0,0.28711828711828713,4090,0.03790803790803791,540,0.060723060723060725,0.23505434782608695,865,0.4096174096174096,5835,0.7285028371890004,8345,0.07789095266626722,650,275,0.034310667498440424,7740,0.9656893325015595,6445,0.8041172800998129,3470,0.45094217024041583,710,0.09226770630279402,3725,0.8879618593563766,255,0.060786650774731825,90,0.021454112038140644,10,0.0023837902264600714,120,0.028605482717520857,0.04410011918951132,1910,0.13408213408213407,3955,0.27764127764127766
ons2022_chapman_mills_3027_00000_1_4_percent,12205,0.08889799262597296,1085,35.4,34.8,715,0.14818652849740932,510,0.04178615321589513,47560,54650,13.6,44680,55000,7.8,790,0.06475409836065574,240,0.07418856259659969,405,0.051330798479087454,150,0.1388888888888889,505,3.2,2720,0.7195767195767195,0.2791005291005291,0.09336941813261164,345,5.2,1760,1768,1060,0,19.9,1940,1908,3.3,0.13740458015267176,450,0.13740458015267176,2,119600,129000,88400,75,0.0061450225317492835,0.04137648504711184,505,0.010245901639344262,125,0.004098360655737705,50,0.004918032786885246,60,0.0012295081967213116,15,0.43688524590163935,5330,0.07827868852459016,955,0.07210159770585825,0.17547357926221335,880,0.6274590163934426,7655,0.7075718015665796,6775,0.10922509225092251,740,370,0.05559729526671676,6285,0.9444027047332832,5335,0.8016528925619835,2510,0.415907207953604,575,0.09527754763877382,3005,0.8585714285714285,335,0.09571428571428571,75,0.02142857142857143,10,0.002857142857142857,70,0.02,0.05142857142857143,1835,0.15034821794346578,660,0.05407619827939369
ons2022_city_view_3028_00000_4_8_percent,6325,0.1549407114624506,980,38.2,31.8,390,0.26621160409556316,565,0.08932806324110672,43520,48360,15.9,39480,46320,10.9,770,0.12183544303797468,175,0.18041237113402062,510,0.11657142857142858,90,0.09183673469387756,565,2.7,1190,0.5010526315789474,0.5031578947368421,0.13053097345132744,295,6.9,950,1520,1190,2.9,20,1620,1640,2.8,0.18493150684931506,270,0.18493150684931506,1.7,112900,138000,75000,0,0,0.008695652173913044,55,0.0379746835443038,240,0.021360759493670885,135,0.012658227848101266,80,0.0031645569620253164,20,0.20094936708860758,1270,0.04746835443037975,300,0.017391304347826087,0.11764705882352941,110,0.3670886075949367,2320,0.6651542649727767,3665,0.09686221009549795,355,250,0.078125,2945,0.9203125,2305,0.7203125,1025,0.30966767371601206,480,0.14501510574018128,1480,0.6491228070175439,645,0.28289473684210525,85,0.03728070175438596,30,0.013157894736842105,40,0.017543859649122806,0.08552631578947369,1330,0.21027667984189724,305,0.048221343873517786
ons2022_civic_hospital_3029_00000_2_7_percent,5575,0.16053811659192826,895,40.8,40.4,215,0.15579710144927536,820,0.14708520179372198,74400,96900,6.6,67400,88400,4.8,490,0.08789237668161436,80,0.0784313725490196,395,0.10792349726775956,15,0.016666666666666666,820,2.2,1655,0.6541501976284585,0.3458498023715415,0.08176100628930817,195,3.4,1720,1992,875,3.4,19,1520,1648,2.8,0.09120521172638436,140,0.09120521172638436,1.8,174000,186000,78000,10,0.0017921146953405018,0.0017921146953405018,10,0.014349775784753363,80,0.006278026905829596,35,0.004484304932735426,25,0,0,0.16053811659192826,895,0.017937219730941704,100,0.016143497757847534,0.13533834586466165,90,0.2062780269058296,1150,0.6715634837355718,3200,0.0859375,275,55,0.017741935483870968,3040,0.9806451612903225,2745,0.885483870967742,1665,0.5692307692307692,105,0.035897435897435895,755,0.611336032388664,125,0.10121457489878542,225,0.18218623481781376,70,0.05668016194331984,70,0.05668016194331984,0.032388663967611336,765,0.13721973094170403,290,0.05197132616487455
ons2022_clarence_rockland_3604_00000_1_7_percent,25955,0.17318435754189945,4495,41.2,42.4,1490,0.19163987138263666,2080,0.08013870159892121,48320,52800,15.4,46520,53350,11.3,1360,0.052398381814679255,275,0.049194991055456175,710,0.04473850031505986,375,0.08351893095768374,2085,2.6,8245,0.8167409608717187,0.1827637444279346,0.09418837675350701,940,4.5,1560,1538,1850,8.4,31.7,1140,1177,2.9,0.12195121951219512,975,0.12195121951219512,1.8,112000,129000,80400,1620,0.06242774566473988,0.0015414258188824663,40,0.052398381814679255,1360,0.025621267578501253,665,0.024658062030437296,640,0,0,0.06125987285686765,1590,0.007513003274898863,195,0.0077056443845116545,0.15444015444015444,200,0.07262569832402235,1885,0.65333019534008,13880,0.06520172910662825,905,1245,0.08783068783068783,12930,0.9121693121693122,9015,0.635978835978836,3640,0.28053949903660885,2005,0.15452793834296724,8615,0.9243562231759657,135,0.014484978540772532,295,0.03165236051502146,20,0.002145922746781116,250,0.02682403433476395,0.07778969957081545,2580,0.09940281256020035,13925,0.5366088631984586
ons2022_colonnade_business_park_3030_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ons2022_constance_bay_3031_00000_5_1_percent,2200,0.17954545454545454,395,44.8,48.8,170,0.3063063063063063,295,0.1340909090909091,49880,58200,13.8,49120,58350,9.6,185,0.08409090909090909,30,0.08333333333333333,120,0.08304498269896193,35,0.08974358974358974,290,2.2,875,0.8883248730964467,0.1065989847715736,0.09947643979057591,95,7.6,1260,1348,110,0,33.3,970,1120,2.7,0.16541353383458646,110,0.16541353383458646,1.6,112000,127000,73000,10,0.004545454545454545,0,0,0.07045454545454545,155,0.020454545454545454,45,0.04772727272727273,105,0,0,0.07727272727272727,170,0.006818181818181818,15,0.011363636363636364,0.23809523809523808,25,0.022727272727272728,50,0.6640419947506562,1265,0.1383399209486166,175,150,0.11627906976744186,1140,0.8837209302325582,810,0.627906976744186,365,0.3348623853211009,215,0.19724770642201836,690,0.9583333333333334,0,0,15,0.020833333333333332,0,0,20,0.027777777777777776,0.09027777777777778,220,0.1,40,0.01818181818181818
ons2022_convent_glen_orleans_woods_3032_00000_1_5_percent,14400,0.2423611111111111,3490,44.2,46,1095,0.2558411214953271,1370,0.09513888888888888,51900,56850,14.7,50160,57300,11,595,0.04131944444444444,135,0.048736462093862815,295,0.03621853898096992,170,0.04878048780487805,1370,2.5,4915,0.8373083475298126,0.16269165247018738,0.08793103448275862,510,4,1240,1400,960,6.8,33.2,1510,1504,2.8,0.17114093959731544,765,0.17114093959731544,1.7,118400,139000,88400,330,0.022916666666666665,0.0045138888888888885,65,0.029166666666666667,420,0.0125,180,0.014583333333333334,210,0.001736111111111111,25,0.16701388888888888,2405,0.02326388888888889,335,0.019444444444444445,0.16766467065868262,280,0.18819444444444444,2710,0.5864476386036961,7140,0.10364145658263306,740,400,0.05574912891986063,6780,0.9449477351916377,5440,0.7581881533101046,2675,0.41796875,580,0.090625,2935,0.7911051212938005,445,0.11994609164420485,170,0.04582210242587601,30,0.008086253369272238,120,0.03234501347708895,0.05525606469002695,1510,0.10486111111111111,3245,0.22534722222222223
