name,total_population,percent_of_pop_that_are_seniors_65,number_of_seniors_65,average_age_of_the_population,median_age_of_the_population,number_of_children_living_in_one_parent_families,percent_of_children_living_in_one_parent_families,number_of_pop_living_alone,percent_of_pop_living_alone,average_after_tax_income_in_2020_among_recipients,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,number_of_pop_living_alone_i_e_1_person_household,average_household_size,number_of_owner_households,percent_of_owner_households,percent_of_renter_households,percent_of_households_living_in_core_housing_need,number_of_households_living_in_core_housing_need,percent_of_owner_households_in_core_housing_need,median_monthly_shelter_costs_for_owned_dwellings,average_monthly_shelter_costs_for_owned_dwellings,number_of_tenant_households,percent_of_tenant_households_living_in_subsidized_housing,percent_of_renter_households_in_core_housing_need,median_monthly_shelter_costs_for_rented_dwellings,average_monthly_shelter_costs_for_rented_dwellings,average_size_of_census_families,percent_of_census_families_that_are_one_parent_families,number_of_one_parent_families,percent_of_all_census_families_that_are_one_parent_families,average_number_of_children_in_census_families_with_children,average_after_tax_income_of_all_economic_families,average_after_tax_income_of_couple_with_children_economic_families,average_after_tax_income_of_one_parent_economic_families,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_pop_with_knowledge_of_neither_english_nor_french,number_of_people_with_knowledge_of_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_immigrants,number_of_immigrants,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,number_of_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,number_of_refugees,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,percent_in_the_labour_force_participation_rate,number_of_pop_in_labour_force,unemployment_rate,number_of_pop_unemployed,number_of_people_age_25_64_w_no_high_school_diploma_or_equivalent,percent_of_pop_age_25_64_with_no_high_school_diploma_or_equivalent,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,percent_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,percent_of_workers_who_commute_for_60_minutes_and_over,number_of_youth_age_15_24,percent_of_of_pop_that_are_youth_age_15_24,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home
ons2022_beckwith_3401_00000_1_8_percent,9265,0.15974096060442525,1480,41.5,44,290,0.1039426523297491,550,0.05936319481921209,53150,60500,11.9,50360,60050,9.1,290,0.03130059363194819,50,0.025,160,0.02768166089965398,80,0.05405405405405406,555,2.7,3325,0.9637681159420289,0.03768115942028986,0.020802377414561663,70,1.7,1680,1678,135,0,0,930,1140,2.9,0.06529209621993128,190,0.06529209621993128,1.8,126600,143000,81000,25,0.0026997840172786176,0.0016198704103671706,15,0.04101457096600108,380,0.021046950890447922,195,0.01672962763086886,155,0,0,0.07393416082029142,685,0.0021586616297895305,20,0.0064759848893685915,0.14814814814814814,60,0.04317323259579061,400,0.6799477465708688,5205,0.06724303554274735,350,360,0.06889952153110047,4865,0.9311004784688995,3805,0.7282296650717703,1495,0.3079299691040165,745,0.15345005149330587,3195,0.9537313432835821,0,0,100,0.029850746268656716,0,0,50,0.014925373134328358,0.04626865671641791,950,0.1025364274150027,245,0.026457883369330453
ons2022_beechwood_cemetery_3006_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ons2022_bells_corners_east_3007_00000_1_1_percent,5005,0.21878121878121878,1095,45.1,47.6,340,0.2595419847328244,600,0.11988011988011989,47200,51250,16.8,44200,49600,12.4,290,0.058,55,0.06748466257668712,180,0.05806451612903226,55,0.05045871559633028,600,2.4,1795,0.8427230046948356,0.15258215962441316,0.07819905213270142,165,4.5,800,1225,330,0,25,1550,1540,2.7,0.15593220338983052,230,0.15593220338983052,1.7,109500,124000,86000,0,0,0.005994005994005994,30,0.037,185,0.017,85,0.018,90,0,0,0.178,890,0.028,140,0.02197802197802198,0.17054263565891473,110,0.174,870,0.6136890951276102,2645,0.10586011342155009,280,215,0.07875457875457875,2525,0.924908424908425,2000,0.7326007326007326,915,0.386892177589852,240,0.1014799154334038,1190,0.8263888888888888,135,0.09375,90,0.0625,0,0,25,0.017361111111111112,0.03819444444444445,490,0.0979020979020979,100,0.01998001998001998
ons2022_bells_corners_west_3008_00000_2_6_percent,4155,0.16726835138387486,695,41.2,39.6,465,0.3705179282868526,590,0.14199759326113118,43040,45840,18.5,39000,44120,13.6,425,0.1022864019253911,125,0.176056338028169,200,0.07272727272727272,110,0.15942028985507245,595,2.3,1295,0.7095890410958904,0.29041095890410956,0.1361111111111111,245,7.5,1410,1336,530,34.9,28.6,1300,1240,2.8,0.29914529914529914,350,0.29914529914529914,1.6,95600,114000,67600,10,0.0024067388688327317,0.009626955475330927,40,0.032490974729241874,135,0.01444043321299639,60,0.013237063778580024,55,0.0024067388688327317,10,0.24067388688327315,1000,0.0457280385078219,190,0.05535499398315283,0.26744186046511625,230,0.27918170878459686,1160,0.68,2380,0.10084033613445378,240,260,0.10947368421052632,2115,0.8905263157894737,1525,0.6421052631578947,720,0.3372365339578454,195,0.09133489461358314,1090,0.7703180212014135,160,0.11307420494699646,100,0.0706713780918728,10,0.007067137809187279,50,0.0353356890459364,0.06713780918727916,435,0.10469314079422383,130,0.031287605294825514
ons2022_billings_bridge_heron_park_3009_00000_6_4_percent,5875,0.17617021276595746,1035,40.1,34.4,530,0.44537815126050423,1280,0.2178723404255319,39280,42760,21.3,35560,40840,14.6,1355,0.23083475298126066,205,0.26282051282051283,750,0.18450184501845018,400,0.3883495145631068,1275,2,960,0.32323232323232326,0.6784511784511784,0.18815331010452963,540,7.3,1180,1404,2010,28.4,24.3,1120,1129,2.7,0.2490566037735849,330,0.2490566037735849,1.7,89700,108000,67500,85,0.014480408858603067,0.02385008517887564,140,0.039182282793867124,230,0.015332197614991482,90,0.014480408858603067,85,0.008517887563884156,50,0.2776831345826235,1630,0.06132879045996593,360,0.07404255319148936,0.3346153846153846,435,0.3833049403747871,2250,0.6248794599807136,3240,0.12808641975308643,415,275,0.08771929824561403,2860,0.9122807017543859,2355,0.7511961722488039,1200,0.425531914893617,285,0.10106382978723404,1070,0.6604938271604939,340,0.20987654320987653,130,0.08024691358024691,10,0.006172839506172839,65,0.040123456790123455,0.037037037037037035,1020,0.17361702127659576,405,0.06899488926746167
ons2022_blackburn_hamlet_3010_00000_2_3_percent,8040,0.208955223880597,1680,42.3,42.8,710,0.27307692307692305,710,0.08830845771144279,51300,55900,15.3,48760,56650,11.1,550,0.06840796019900497,225,0.13353115727002968,265,0.056745182012847964,55,0.03273809523809524,705,2.5,2410,0.7602523659305994,0.23974763406940064,0.10063897763578275,315,3.8,1290,1426,760,11.2,29.7,1310,1304,2.9,0.18867924528301888,450,0.18867924528301888,1.8,114800,131000,70000,225,0.028002489110143122,0.0043559427504667085,35,0.030472636815920398,245,0.017412935323383085,140,0.009950248756218905,80,0,0,0.16666666666666666,1340,0.02736318407960199,220,0.036069651741293535,0.29743589743589743,290,0.1958955223880597,1575,0.6293759512937596,4135,0.09310761789600967,385,325,0.08024691358024691,3720,0.9185185185185185,2950,0.7283950617283951,1605,0.428,290,0.07733333333333334,1675,0.7827102803738317,275,0.12850467289719625,120,0.056074766355140186,15,0.007009345794392523,55,0.02570093457943925,0.037383177570093455,840,0.1044776119402985,1255,0.15619166148102054
ons2022_blossom_park_timbermill_3011_00000_2_0_percent,9290,0.12809472551130247,1190,38.8,38.8,885,0.25615050651230103,620,0.06673842841765339,48960,54300,16,45560,53500,10.7,730,0.07857911733046287,305,0.14219114219114218,370,0.06213266162888329,50,0.04219409282700422,625,2.9,2460,0.7616099071207431,0.23993808049535603,0.10393700787401575,330,6,1520,1614,775,14.2,25,1560,1616,3.2,0.20392156862745098,520,0.20392156862745098,2,119300,122000,86400,105,0.011308562197092083,0.01992460958535272,185,0.015069967707212056,140,0.006458557588805167,60,0.008073196986006458,75,0,0,0.2997847147470398,2785,0.06350914962325081,590,0.08934337997847147,0.3593073593073593,830,0.42895586652314316,3985,0.6524028966425279,4955,0.12008072653884964,595,505,0.09901960784313725,4600,0.9019607843137255,3470,0.6803921568627451,1490,0.3421354764638347,485,0.1113662456946039,2400,0.8421052631578947,265,0.09298245614035087,75,0.02631578947368421,15,0.005263157894736842,100,0.03508771929824561,0.04736842105263158,1300,0.13993541442411195,875,0.0942380183091007
ons2022_bonnechere_valley_3703_00000_4_5_percent,3850,0.3,1155,48.1,54.4,200,0.21164021164021163,555,0.14415584415584415,38160,38240,26.9,37760,40400,22,545,0.14155844155844155,80,0.125,245,0.1192214111922141,210,0.1810344827586207,555,2.2,1460,0.8390804597701149,0.16091954022988506,0.07207207207207207,120,4.7,810,959,285,12.3,19.3,900,900,2.7,0.12236286919831224,145,0.12236286919831224,1.9,84400,105000,53000,0,0,0,0,0.07792207792207792,300,0.04285714285714286,165,0.033766233766233764,130,0,0,0.046753246753246755,180,0.0025974025974025974,10,0,0,0,0.011688311688311689,45,0.4909365558912387,1625,0.08923076923076922,145,225,0.12396694214876033,1590,0.8760330578512396,1020,0.5619834710743802,240,0.16216216216216217,290,0.19594594594594594,1185,0.948,0,0,50,0.04,0,0,10,0.008,0.148,335,0.08701298701298701,45,0.011673151750972763
ons2022_borden_farm_fisher_glen_3012_00000_3_2_percent,8195,0.2953020134228188,2420,47.6,49.2,455,0.23096446700507614,1350,0.16473459426479561,48920,53050,16.2,46680,53150,13,725,0.08841463414634146,80,0.07174887892376682,340,0.07296137339055794,305,0.12577319587628866,1345,2.2,2550,0.6728232189973615,0.32717678100263853,0.11491108071135431,420,6.6,1150,1428,1240,20.6,22.2,1330,1644,2.7,0.15434782608695652,355,0.15434782608695652,1.7,114100,145000,82400,20,0.0024390243902439024,0.01707317073170732,140,0.026829268292682926,220,0.016463414634146342,135,0.007926829268292683,65,0.001829268292682927,15,0.25182926829268293,2065,0.025,205,0.021354484441732765,0.14705882352941177,175,0.2420731707317073,1985,0.5456417295813315,3975,0.10566037735849057,420,180,0.045112781954887216,3805,0.9536340852130326,3070,0.7694235588972431,1570,0.4422535211267606,330,0.09295774647887324,1585,0.8005050505050505,180,0.09090909090909091,95,0.047979797979797977,40,0.020202020202020204,85,0.04292929292929293,0.03535353535353535,875,0.10677242220866381,330,0.04024390243902439
ons2022_braemar_park_belair_heights_copeland_park_3013_00000_4_5_percent,8975,0.20278551532033426,1820,42.4,39.6,540,0.25653206650831356,1270,0.1415041782729805,47200,51550,15.8,44920,51850,11.3,655,0.07298050139275766,85,0.060714285714285714,430,0.07465277777777778,140,0.07713498622589532,1270,2.3,2405,0.6135204081632653,0.3852040816326531,0.13517060367454067,515,6.7,900,1366,1515,2.3,24.8,1470,1504,2.7,0.1589958158995816,380,0.1589958158995816,1.6,108500,137000,76000,35,0.0038975501113585748,0.008351893095768375,75,0.025069637883008356,225,0.0072423398328690805,65,0.013370473537604457,120,0,0,0.20891364902506965,1875,0.041225626740947076,370,0.03231197771587744,0.2140221402214022,290,0.23788300835654597,2135,0.6332691072575466,4930,0.11663286004056796,575,365,0.07556935817805382,4465,0.9244306418219461,3620,0.7494824016563147,1705,0.39150401836969,445,0.10218140068886337,1990,0.7537878787878788,385,0.14583333333333334,140,0.05303030303030303,70,0.026515151515151516,50,0.01893939393939394,0.03977272727272727,1140,0.12701949860724235,465,0.05178173719376392
