name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,number_of_immigrants,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,number_of_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,number_of_refugees,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24
ottawa_oeycfc_17_clementine_riverside_park_00000_3_5_percent,255,60,0.23529411764705882,43.6,39.6,65,0.2549019607843137,205,38800,195,41600,12.6,36000,41200,11.8,40,0.1568627450980392,145,0.5686274509803921,60,0.23529411764705882,105,0.4117647058823529,0,0,35,0.14,0,0,0,0,0,0,0,0,140,0.56,0.1,25,0,0,0,1,250,135,0.627906976744186,15,0.1111111111111111,0,0,125,1,110,0.88,50,0.4166666666666667,0,0,50,0.7142857142857143,15,0.21428571428571427,0,0,0,0,0,0,0,0,0,35,0.13725490196078433
ottawa_oeycfc_18_constance_bay_dunrobin_00000_3_0_percent,350,35,0.1,38.7,43.6,0,0,270,59200,255,75000,7,58800,83000,3,90,0.2571428571428571,225,0.6428571428571429,35,0.1,0,0,0,0,25,0.07142857142857142,0,0,0,0,0,0,0,0,230,0.6571428571428571,0.24285714285714285,85,0,0,0,1,350,175,0.5833333333333334,10,0.05714285714285714,0,0,185,1,180,0.972972972972973,100,0.6060606060606061,0,0,60,1,0,0,0,0,0,0,0,0,0,15,0.04285714285714286,75,0.21428571428571427
ottawa_oeycfc_20_cumberland_navan_vars_00000_1_9_percent,125,15,0.12,40.8,40.4,0,0,105,54000,100,57000,14,50000,57000,5.8,15,0.12,95,0.76,0,0,0,0,0,0,10,0.08,0,0,0,0,0,0,0,0,60,0.48,0.08,10,0,0,0,1,125,75,0.6818181818181818,0,0,10,0.11764705882352941,75,0.8823529411764706,65,0.7647058823529411,30,0.4,0,0,50,1,0,0,0,0,0,0,0,0,0,0,0,10,0.08
ottawa_oeycfc_24_glencairn_00000_2_4_percent,730,110,0.1506849315068493,36.6,35.6,40,0.0547945205479452,535,45200,480,50400,14.4,37200,45800,9.1,200,0.273972602739726,430,0.589041095890411,110,0.1506849315068493,55,0.07534246575342465,0,0,100,0.136986301369863,0,0,0,0,0,0,0,0,420,0.5714285714285714,0.12244897959183673,90,0.0273972602739726,0.05263157894736842,20,1,735,360,0.6486486486486487,55,0.1527777777777778,20,0.05263157894736842,365,0.9605263157894737,330,0.868421052631579,165,0.5409836065573771,15,0.04918032786885246,130,0.9629629629629629,0,0,0,0,0,0,0,0,0.07407407407407407,0,0,60,0.0821917808219178
ottawa_oeycfc_25_goulbourn_munster_richmond_00000_1_3_percent,100,0,0,37.2,38,0,0,70,64000,70,74000,1.8,48000,66000,1.7,0,0,75,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0.5,0,0,0,0,0,1,100,55,0.6875,0,0,0,0,60,1,60,1,30,0.5454545454545454,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ottawa_oeycfc_6_blackburn_hamlet_mer_bleue_00000_2_4_percent,75,20,0.26666666666666666,41,42.4,0,0,50,48000,50,46000,19,42000,42000,12,0,0,35,0.4666666666666667,20,0.26666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0.6,0,0,0,0,0,1,75,45,0.8181818181818182,0,0,0,0,35,1,30,0.8571428571428571,25,0.625,0,0,10,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0
ottawa_oeycfc_35_new_edinburgh_rockcliffe_park_00000_3_9_percent,175,0,0,30.6,29.4,15,0.08571428571428572,120,84000,115,134000,2.6,80000,118000,1.4,55,0.3142857142857143,115,0.6571428571428571,0,0,50,0.2857142857142857,0,0,10,0.058823529411764705,0,0,0,0,0,0,0,0,70,0.4117647058823529,0,0,0,0,0,1,170,80,0.6153846153846154,10,0.125,0,0,95,1,85,0.8947368421052632,40,0.5714285714285714,10,0.14285714285714285,30,1,0,0,0,0,0,0,0,0,0,0,0,30,0.17142857142857143
ottawa_oeycfc_36_old_barrhaven_00000_1_7_percent,2010,410,0.20398009950248755,43.5,44.8,60,0.029850746268656716,1635,45280,1465,52900,12.7,43920,54050,8,370,0.18407960199004975,1235,0.6144278606965174,410,0.20398009950248755,200,0.09950248756218906,0,0,240,0.11940298507462686,0,0,0,0,0,0,0,0,1285,0.6393034825870647,0.07462686567164178,150,0.017412935323383085,0.030303030303030304,35,1,2010,1015,0.5918367346938775,140,0.13793103448275862,60,0.05687203791469194,995,0.943127962085308,900,0.8530805687203792,455,0.5170454545454546,25,0.028409090909090908,340,0.8192771084337349,35,0.08433734939759036,15,0.03614457831325301,0,0,20,0.04819277108433735,0.07228915662650602,20,0.009950248756218905,250,0.12437810945273632
ottawa_oeycfc_44_portobello_south_00000_1_9_percent,840,110,0.13095238095238096,38.6,38.8,55,0.06547619047619048,660,46400,620,51600,11.7,43500,50200,7.5,190,0.2261904761904762,550,0.6547619047619048,110,0.13095238095238096,55,0.06547619047619048,0,0,115,0.13609467455621302,0,0,0,0,0,0,0,0,480,0.5680473372781065,0.07100591715976332,60,0.011904761904761904,0.021739130434782608,10,1,845,445,0.6496350364963503,55,0.12359550561797752,40,0.0851063829787234,430,0.9148936170212766,355,0.7553191489361702,195,0.5,10,0.02564102564102564,160,0.8421052631578947,0,0,10,0.05263157894736842,0,0,15,0.07894736842105263,0,0,0,110,0.13095238095238096
ottawa_oeycfc_45_queenswood_heights_00000_1_0_percent,190,60,0.3157894736842105,48,50.4,25,0.13157894736842105,170,53600,165,58800,10.8,51600,57600,7.8,30,0.15789473684210525,100,0.5263157894736842,60,0.3157894736842105,0,0,0,0,10,0.05263157894736842,0,0,0,0,0,0,0,0,115,0.5897435897435898,0.05128205128205128,10,0,0,0,1,195,100,0.5882352941176471,10,0.1,0,0,90,1,85,0.9444444444444444,35,0.3888888888888889,0,0,45,0.9,0,0,10,0.2,0,0,0,0,0,10,0.05263157894736842,20,0.10526315789473684
