name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,number_of_immigrants,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,number_of_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,number_of_refugees,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24
ottawa_oeycfc_31_lower_town_00000_7_6_percent,585,15,0.02564102564102564,30.5,28.6,140,0.23931623931623933,475,43600,445,50600,10.9,37000,45400,5.8,85,0.1452991452991453,490,0.8376068376068376,0,0,155,0.26495726495726496,0,0,0,0,0,0,0,0,0,0,0,0,305,0.5213675213675214,0.1452991452991453,85,0.09401709401709402,0.1896551724137931,55,1,585,430,0.8514851485148515,60,0.13953488372093023,35,0.08860759493670886,355,0.8987341772151899,315,0.7974683544303798,160,0.43243243243243246,20,0.05405405405405406,70,0.3333333333333333,35,0.16666666666666666,85,0.40476190476190477,0,0,15,0.07142857142857142,0,0,0,100,0.17094017094017094
ottawa_oeycfc_33_nepean_central_00000_2_2_percent,1520,195,0.12828947368421054,36.5,28.8,70,0.046052631578947366,1295,43640,1220,49300,12.5,40900,49900,6.7,215,0.14144736842105263,1110,0.7302631578947368,195,0.12828947368421054,75,0.049342105263157895,0,0,0,0,0,0,0,0,0,0,0,0,705,0.46381578947368424,0.0756578947368421,115,0.019736842105263157,0.05504587155963303,30,1,1520,1070,0.7925925925925926,125,0.11682242990654206,15,0.01910828025477707,770,0.9808917197452229,655,0.8343949044585988,345,0.3670212765957447,90,0.09574468085106383,285,0.4789915966386555,255,0.42857142857142855,20,0.03361344537815126,0,0,30,0.05042016806722689,0.15126050420168066,20,0.013157894736842105,375,0.24671052631578946
ottawa_oeycfc_34_nepean_east_00000_3_2_percent,2585,290,0.11218568665377177,33.3,26.6,80,0.030947775628626693,2180,36120,2000,36440,18,27400,30760,11.4,320,0.12379110251450677,1975,0.7640232108317214,295,0.11411992263056092,235,0.09090909090909091,0,0,60,0.02321083172147002,0,0,0,0,0,0,0,0,1095,0.42359767891682787,0.14119922630560927,365,0.04061895551257253,0.11666666666666667,105,1,2585,1765,0.7640692640692641,145,0.0821529745042493,45,0.03571428571428571,1220,0.9682539682539683,1110,0.8809523809523809,410,0.25308641975308643,260,0.16049382716049382,595,0.49583333333333335,550,0.4583333333333333,30,0.025,10,0.008333333333333333,10,0.008333333333333333,0.11666666666666667,15,0.005802707930367505,760,0.2940038684719536
ottawa_oeycfc_2_bayshore_crystal_bay_00000_3_6_percent,1805,75,0.04155124653739612,29.2,28.2,90,0.04986149584487535,1335,41840,1210,47200,12.6,31450,39600,7.9,380,0.21052631578947367,1345,0.7451523545706371,75,0.04155124653739612,215,0.11911357340720222,0,0,35,0.019390581717451522,0,0,0,0,0,0,0,0,970,0.5373961218836565,0.33240997229916897,600,0.055401662049861494,0.10526315789473684,100,1,1805,1165,0.7952218430034129,110,0.0944206008583691,15,0.013953488372093023,1055,0.9813953488372092,1005,0.9348837209302325,440,0.41904761904761906,110,0.10476190476190476,345,0.5655737704918032,185,0.30327868852459017,55,0.09016393442622951,0,0,35,0.05737704918032787,0.10655737704918032,0,0,315,0.1745152354570637
ottawa_oeycfc_26_half_moon_bay_stonebridge_00000_1_5_percent,4125,395,0.09575757575757576,33.3,33.2,60,0.014545454545454545,2825,50720,2515,61050,11.6,48600,61650,6.4,1250,0.30303030303030304,2480,0.6012121212121212,395,0.09575757575757576,130,0.03151515151515152,0,0,125,0.030303030303030304,0,0,0,0,0,0,0,0,2570,0.6237864077669902,0.13470873786407767,555,0.04,0.06790123456790123,165,1,4120,2185,0.7140522875816994,175,0.08009153318077804,60,0.028037383177570093,2080,0.9719626168224299,1880,0.8785046728971962,1035,0.5149253731343284,125,0.06218905472636816,795,0.8153846153846154,125,0.1282051282051282,20,0.020512820512820513,15,0.015384615384615385,15,0.015384615384615385,0.11282051282051282,10,0.0024242424242424242,525,0.12727272727272726
ottawa_oeycfc_37_orleans_south_00000_1_4_percent,1775,300,0.16901408450704225,39.5,38,25,0.014084507042253521,1400,45960,1260,49600,18.1,42440,51100,10.3,380,0.2140845070422535,1100,0.6197183098591549,300,0.16901408450704225,80,0.04507042253521127,0,0,35,0.01971830985915493,0,0,0,0,0,0,0,0,1090,0.6123595505617978,0.05898876404494382,105,0.08732394366197183,0.18562874251497005,155,1,1780,1015,0.6952054794520548,75,0.07389162561576355,80,0.08465608465608465,860,0.91005291005291,750,0.7936507936507936,365,0.3882978723404255,110,0.11702127659574468,500,0.8771929824561403,35,0.06140350877192982,20,0.03508771929824561,0,0,10,0.017543859649122806,0.06140350877192982,40,0.022535211267605635,215,0.12112676056338029
ottawa_oeycfc_32_metcalfe_osgoode_greely_00000_1_4_percent,415,35,0.08433734939759036,36.4,38.8,0,0,300,65000,285,85000,5.6,77000,104000,3.2,120,0.2891566265060241,260,0.6265060240963856,35,0.08433734939759036,30,0.07228915662650602,0,0,0,0,0,0,0,0,0,0,0,0,190,0.4634146341463415,0.07317073170731707,30,0.060240963855421686,0.15151515151515152,25,1,410,235,0.746031746031746,15,0.06382978723404255,0,0,215,1,190,0.8837209302325582,125,0.5555555555555556,0,0,85,0.85,0,0,0,0,0,0,0,0,0,0,0,65,0.1566265060240964
ottawa_oeycfc_39_ottawa_north_east_00000_3_7_percent,595,75,0.12605042016806722,37.5,34,85,0.14285714285714285,480,41000,405,47000,18.6,36000,46600,10.7,95,0.15966386554621848,425,0.7142857142857143,75,0.12605042016806722,130,0.2184873949579832,0,0,20,0.03361344537815126,0,0,0,0,0,0,0,0,355,0.5966386554621849,0.10084033613445378,60,0.07563025210084033,0.13846153846153847,45,1,595,340,0.6732673267326733,45,0.1323529411764706,30,0.08333333333333333,325,0.9027777777777778,260,0.7222222222222222,120,0.4067796610169492,25,0.0847457627118644,105,0.6363636363636364,20,0.12121212121212122,30,0.18181818181818182,0,0,0,0,0.06060606060606061,20,0.03361344537815126,75,0.12605042016806722
ottawa_oeycfc_40_ottawa_south_00000_3_2_percent,315,20,0.06349206349206349,37,37.6,10,0.031746031746031744,250,112000,245,157000,2.7,126000,174000,1.9,70,0.2222222222222222,220,0.6984126984126984,20,0.06349206349206349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0.4838709677419355,0,0,0,0,0,1,310,200,0.7692307692307693,40,0.2,0,0,150,1,140,0.9333333333333333,90,0.5625,15,0.09375,50,0.7142857142857143,0,0,0,0,15,0.21428571428571427,0,0,0,0,0,90,0.2857142857142857
ottawa_oeycfc_41_ottawa_west_00000_3_4_percent,830,65,0.0783132530120482,33.4,32.4,130,0.1566265060240964,625,76000,580,102800,4.9,68000,89200,3.4,185,0.22289156626506024,580,0.6987951807228916,65,0.0783132530120482,85,0.10240963855421686,0,0,10,0.012121212121212121,0,0,0,0,0,0,0,0,425,0.5151515151515151,0.10303030303030303,85,0.030120481927710843,0.06944444444444445,25,1,825,545,0.8257575757575758,65,0.11926605504587157,10,0.019230769230769232,515,0.9903846153846154,460,0.8846153846153846,300,0.625,20,0.041666666666666664,95,0.5277777777777778,30,0.16666666666666666,25,0.1388888888888889,20,0.1111111111111111,10,0.05555555555555555,0,10,0.012121212121212121,80,0.0963855421686747
