name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,ONS_ID
ottawa_new_edinburgh_3077,790,95,0.12025316455696204,38.6,40,140,0.17721518987341772,645,55600,585,68800,8.8,52200,66400,4.8,95,0.12025316455696204,25,0.03144654088050314,0,0,0,0,0,0,0,0,1,795,450,0.6870229007633588,25,0.05555555555555555,10,0.02105263157894736,465,0.9789473684210528,425,0.8947368421052632,235,0.5465116279069767,15,0.03488372093023256,0,165,0.20754716981132076,85,0.10759493670886076,3077
ottawa_north_gower_kars_3078,205,30,0.14634146341463414,37.2,37.6,20,0.0975609756097561,150,54000,125,64000,13.6,55000,66000,8.8,20,0.0975609756097561,0,0,0,0,0,0,0,0,0,0,1,205,130,0.7878787878787878,10,0.07692307692307693,0,0,115,1,90,0.782608695652174,30,0.2608695652173913,10,0.08695652173913043,0,0,0,15,0.07317073170731707,3078
ottawa_old_barrhaven_east_3079,10695,935,0.08742402992052362,35,33.2,235,0.02197288452547919,7765,43200,6880,48640,15.9,38680,46160,9.3,910,0.08508648901355774,485,0.04534829359513791,0,0,0,0,0,0,0,0,1,10695,5935,0.7082338902147971,800,0.13479359730412804,425,0.07637017070979335,5145,0.9245283018867924,4435,0.7969451931716083,1945,0.37877312560856863,515,0.1002921129503408,0.07154213036565978,535,0.05002337540906966,1875,0.1753155680224404,3079
ottawa_old_barrhaven_west_3080,6715,670,0.09977661950856292,34.2,33.2,200,0.02978406552494415,4625,45080,4130,50200,15.6,42440,49440,9.9,580,0.08637379002233805,255,0.0379746835443038,0,0,0,0,0,0,0,0,1,6715,3385,0.6756487025948104,430,0.12703101920236337,215,0.06417910447761194,3130,0.9343283582089552,2615,0.7805970149253731,1135,0.3840947546531303,255,0.08629441624365482,0.07713498622589532,315,0.04690990320178704,995,0.14817572598659717,3080
ottawa_old_hunt_club_3081,6960,835,0.11997126436781608,35.2,32,350,0.05028735632183908,5110,37680,4365,38360,24.2,34280,39000,15.2,1150,0.16522988505747127,220,0.03160919540229885,0,0,0,0,0,0,0,0,1,6960,3545,0.6468978102189781,550,0.15514809590973205,350,0.1021897810218978,3080,0.8992700729927007,2465,0.7197080291970803,835,0.27879799666110183,425,0.1419031719532554,0.06511627906976744,565,0.08117816091954023,1220,0.1752873563218391,3081
ottawa_old_ottawa_east_3082,2460,95,0.03861788617886179,31,26.6,375,0.1524390243902439,2055,36280,1875,40760,12.5,33920,44800,5.3,810,0.32926829268292684,30,0.01219512195121951,0,0,0,0,0,0,0,0,1,2465,1625,0.720620842572062,215,0.13230769230769232,25,0.01818181818181818,1355,0.9854545454545456,1225,0.8909090909090909,630,0.44680851063829785,80,0.05673758865248227,0.05806451612903226,235,0.09552845528455284,785,0.31910569105691056,3082
ottawa_old_ottawa_south_3083,1000,90,0.09,33.6,25.6,105,0.105,745,64600,665,86400,8,55000,74200,4.5,115,0.115,20,0.02010050251256281,0,0,0,0,0,0,0,0,1,995,540,0.6708074534161491,115,0.21296296296296297,10,0.02352941176470588,420,0.9882352941176472,375,0.8823529411764706,225,0.5294117647058824,25,0.0588235294117647,0.05,45,0.04522613065326633,290,0.29,3083
ottawa_orleans_industrial_3084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3084
ottawa_orleans_village_chateauneuf_3085,2720,355,0.13051470588235295,37.1,36,90,0.03308823529411765,2055,41480,1875,42200,19.8,38520,42640,12.3,190,0.06985294117647059,15,0.0055045871559633,0,0,0,0,0,0,0,0,1,2720,1515,0.7112676056338029,195,0.12871287128712872,105,0.07777777777777778,1245,0.9222222222222224,1040,0.7703703703703704,405,0.3068181818181818,145,0.10984848484848483,0.07142857142857142,580,0.21284403669724772,425,0.15625,3085
ottawa_osgoode_vernon_3086,285,45,0.15789473684210523,40,40.8,0,0,215,40400,180,44000,24.4,37200,43600,13.8,0,0,25,0.08771929824561403,0,0,0,0,0,0,0,0,1,285,150,0.6382978723404256,10,0.06666666666666667,55,0.3235294117647059,120,0.7058823529411765,80,0.4705882352941176,70,0.5,20,0.14285714285714285,0.15384615384615383,0,0,20,0.07017543859649122,3086
ottawa_overbrook_3087,9230,705,0.07638136511375948,32.3,29.6,820,0.08884073672806067,6345,34360,4970,33440,31.7,30160,34280,20.9,2285,0.24756229685807152,425,0.04607046070460705,0,0,0,0,0,0,0,0,1,9225,4205,0.6089790007241129,770,0.183115338882283,775,0.16829533116178066,3835,0.8327904451682954,3000,0.6514657980456026,885,0.2576419213973799,440,0.12809315866084425,0.09861932938856016,2025,0.2195121951219512,1590,0.1722643553629469,3087
ottawa_parkwood_hills_3088,3795,150,0.03952569169960474,27.9,25.6,180,0.04743083003952569,2415,31120,1900,27160,36.6,25020,26640,25.7,1020,0.26877470355731226,245,0.06455862977602109,0,0,0,0,0,0,0,0,1,3795,1685,0.6346516007532956,325,0.19287833827893175,360,0.1978021978021978,1465,0.804945054945055,1115,0.6126373626373627,260,0.19117647058823528,215,0.15808823529411764,0.10599078341013823,300,0.07905138339920949,680,0.17918313570487485,3088
ottawa_pineview_3089,2480,300,0.12096774193548387,36.8,33.2,145,0.05846774193548387,1935,37320,1680,36600,24.4,33800,36920,15.6,270,0.10887096774193548,55,0.02217741935483871,0,0,0,0,0,0,0,0,1,2480,1370,0.6682926829268293,185,0.13503649635036497,160,0.1306122448979592,1060,0.8653061224489796,815,0.6653061224489796,310,0.2627118644067797,150,0.1271186440677966,0.04597701149425287,365,0.14717741935483872,525,0.2116935483870968,3089
ottawa_playfair_park_guildwood_estates_3090,1530,255,0.16666666666666666,38.7,36.8,130,0.08496732026143791,1150,46500,975,53900,17.6,39600,48900,13.3,200,0.13071895424836602,55,0.03583061889250814,0,0,0,0,0,0,0,0,1,1535,745,0.6131687242798354,70,0.09395973154362416,105,0.13125,705,0.88125,590,0.7375,250,0.373134328358209,75,0.11194029850746268,0.08235294117647059,150,0.0977198697068404,155,0.10130718954248366,3090
ottawa_portobello_south_3091,13515,965,0.07140214576396596,32.8,31.6,455,0.03366629670736219,9510,45320,8600,49400,15.7,41760,48440,9.5,875,0.06474287828338883,365,0.02701702442635085,0,0,0,0,0,0,0,0,1,13510,7380,0.7256637168141593,860,0.11653116531165313,455,0.06527977044476327,6515,0.9347202295552368,5505,0.7898134863701578,2445,0.375,555,0.08512269938650306,0.09181141439205956,3200,0.23686158401184307,2240,0.1657417684054754,3091
ottawa_qualicum_redwood_3092,1205,95,0.07883817427385892,33.1,30,55,0.04564315352697095,880,42400,755,47600,19.2,39600,48800,11.5,220,0.1825726141078838,45,0.03734439834024896,0,0,0,0,0,0,0,0,1,1205,610,0.648936170212766,135,0.2213114754098361,70,0.109375,570,0.890625,455,0.7109375,195,0.40625,30,0.0625,0,95,0.07883817427385892,200,0.16597510373443983,3092
ottawa_queensway_terrace_north_3093,660,35,0.05303030303030303,31.8,32,50,0.07575757575757576,465,23300,430,59200,12.4,35000,60000,8,80,0.12121212121212122,10,0.01515151515151515,0,0,0,0,0,0,0,0,1,660,370,0.7254901960784313,35,0.0945945945945946,40,0.1038961038961039,345,0.8961038961038961,285,0.7402597402597403,130,0.38235294117647056,30,0.08823529411764706,0,25,0.03787878787878788,85,0.12878787878787878,3093
ottawa_queenswood_chatelaine_3094,645,85,0.13178294573643412,38.8,37.6,50,0.07751937984496124,495,38600,410,42600,20.4,36200,42600,13.9,80,0.12403100775193798,25,0.03846153846153846,0,0,0,0,0,0,0,0,1,650,370,0.7115384615384616,45,0.12162162162162164,40,0.11428571428571428,310,0.8857142857142857,240,0.6857142857142857,130,0.4,45,0.13846153846153847,0.07894736842105263,125,0.19230769230769232,90,0.13953488372093023,3094
ottawa_queenswood_heights_3095,1750,230,0.13142857142857142,37.6,38,105,0.06,1335,45480,1185,51000,15.2,42800,50600,10.4,160,0.09142857142857144,25,0.01428571428571428,0,0,0,0,0,0,0,0,1,1755,950,0.6713780918727915,80,0.08421052631578947,45,0.05,855,0.95,690,0.7666666666666667,305,0.3485714285714286,80,0.09142857142857144,0.07017543859649122,335,0.19142857142857145,280,0.16,3095
ottawa_rideaucrest_davidson_heights_3097,6095,565,0.09269893355209188,36.8,35.6,145,0.02378999179655455,4640,44160,4095,51350,14.5,42120,51650,8,465,0.07629204265791632,270,0.04429860541427399,0,0,0,0,0,0,0,0,1,6095,3380,0.678714859437751,375,0.11094674556213018,290,0.08978328173374613,2935,0.9086687306501549,2520,0.7801857585139319,1190,0.3960066555740432,260,0.08652246256239601,0.06388888888888888,250,0.04101722723543889,1185,0.1944216570959803,3097
ottawa_riverside_park_mooneys_bay_3098,1505,85,0.05647840531561462,31.5,29.6,125,0.08305647840531562,1100,34800,920,34600,25.7,29150,32500,17.2,340,0.22591362126245848,80,0.05333333333333334,0,0,0,0,0,0,0,0,1,1505,815,0.7056277056277056,135,0.1656441717791411,95,0.1144578313253012,740,0.891566265060241,610,0.7349397590361446,215,0.3161764705882353,100,0.14705882352941177,0.0851063829787234,170,0.11333333333333331,235,0.15614617940199335,3098
ottawa_riverside_park_south_revelstoke_3099,420,70,0.16666666666666666,41.8,42.8,20,0.04761904761904761,340,111200,310,159000,4.4,70000,94000,6.4,0,0,0,0,0,0,0,0,0,0,0,0,1,420,245,0.6901408450704225,35,0.14285714285714285,10,0.04444444444444444,215,0.9555555555555556,195,0.8666666666666667,95,0.4418604651162791,20,0.09302325581395347,0,25,0.05952380952380952,60,0.14285714285714285,3099
ottawa_riverside_south_leitrim_3100,7065,570,0.08067940552016985,33.5,33.2,220,0.03113941967445152,4990,49240,4485,57800,12.5,45800,55950,6.7,600,0.08492569002123142,370,0.05237084217975937,0,0,0,0,0,0,0,0,1,7065,4030,0.7575187969924813,380,0.09429280397022333,140,0.03522012578616352,3840,0.9660377358490566,3390,0.8528301886792453,1755,0.4808219178082192,260,0.07123287671232877,0.05614973262032086,340,0.0481245576786978,785,0.1111111111111111,3100
ottawa_riverview_3101,5700,485,0.08508771929824561,32.9,28,765,0.13421052631578947,4410,34920,3755,37200,20.6,29240,34000,13,1550,0.2719298245614035,230,0.04038630377524144,0,0,0,0,0,0,0,0,1,5695,3295,0.6779835390946503,515,0.15629742033383914,215,0.07037643207855974,2835,0.9279869067103108,2470,0.8085106382978723,930,0.3339317773788151,270,0.09694793536804308,0.04632152588555858,640,0.11237928007023704,1325,0.2324561403508772,3101
ottawa_rockcliffe_park_3102,295,40,0.13559322033898305,35,26.6,0,0,200,91000,195,148000,2.8,117000,172000,1.7,45,0.15254237288135594,0,0,0,0,0,0,0,0,0,0,1,290,110,0.5238095238095238,0,0,0,0,115,1,100,0.8695652173913043,40,0.3636363636363637,10,0.09090909090909093,0,0,0,60,0.2033898305084746,3102
ottawa_rothwell_heights_beacon_hill_north_3103,2625,265,0.10095238095238096,36.4,38,130,0.04952380952380952,1980,47880,1785,55500,14.2,45440,57250,7.6,205,0.07809523809523809,45,0.01711026615969581,0,0,0,0,0,0,0,0,1,2630,1425,0.6627906976744186,210,0.14736842105263157,45,0.03409090909090909,1270,0.9621212121212122,1120,0.8484848484848485,470,0.3868312757201646,95,0.07818930041152264,0.0410958904109589,330,0.12547528517110265,565,0.21523809523809523,3103
