name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24
ottawa_ons2022_pikwakanagan_golden_lake_39_3717_03030_38_6_percent,60,10,0.16666666666666666,48,48.8,0,0,55,29000,35,22000,56,28000,30000,38,10,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,30,0.5,0,0,15,0.3333333333333333,30,0.6666666666666666,15,0.3333333333333333,10,0.4,0,0,0.4,0,0,0,0
ottawa_ons2022_pineview_3089_00000_3_1_percent,3505,610,0.17403708987161198,41.5,39.6,350,0.09985734664764621,2850,48280,2560,53200,15.9,45320,52750,11.5,170,0.04850213980028531,20,0.005714285714285714,0,0,0,0,0,0,0,0,0,0,1845,0.6286201022146508,140,0.07588075880758807,210,0.10294117647058823,1830,0.8970588235294118,1310,0.6421568627450981,610,0.3588235294117647,215,0.1264705882352941,0.0273972602739726,695,0.19857142857142857,285,0.08131241084165478
ottawa_ons2022_playfair_park_guildwood_estates_3090_00000_2_3_percent,4490,1305,0.2906458797327394,47.7,51.6,660,0.14699331848552338,3735,62950,3560,75000,10.5,61700,74400,8.5,215,0.04788418708240535,0,0,0,0,0,0,0,0,0,0,0,0,2245,0.5793548387096774,150,0.066815144766147,70,0.03389830508474576,1995,0.9661016949152542,1695,0.8208232445520581,1040,0.4964200477326969,110,0.05250596658711217,0.02857142857142857,635,0.1415830546265329,500,0.111358574610245
ottawa_ons2022_portobello_south_3091_00000_1_9_percent,15615,1675,0.10726865193723983,37,38,1130,0.07236631444124239,11885,59800,11295,70300,9.1,56900,68400,6.5,475,0.030419468459814282,95,0.006081946222791294,0.0016005121638924455,25,0,0,0,0,0,0,0,0,9040,0.7337662337662337,540,0.059734513274336286,410,0.04573340769659788,8555,0.9542665923034022,6940,0.7741215839375348,3930,0.4623529411764706,575,0.06764705882352941,0.0625,4940,0.31626120358514725,1685,0.10790906179955172
ottawa_ons2022_qualicum_redwood_3092_00000_1_9_percent,3045,580,0.19047619047619047,44,44.8,320,0.10509031198686371,2575,56900,2395,68900,11.2,54350,68100,8.5,215,0.07060755336617405,0,0,0,0,0,0,0,0,0,0,0,0,1675,0.634469696969697,160,0.0955223880597015,100,0.05917159763313609,1585,0.9378698224852071,1305,0.772189349112426,655,0.4337748344370861,90,0.059602649006622516,0.03508771929824561,150,0.04926108374384237,375,0.12315270935960591
ottawa_ons2022_queensway_terrace_north_3093_00000_3_0_percent,2505,515,0.2055888223552894,44,43.2,285,0.11377245508982035,2150,50840,1990,59300,12.6,48880,58950,9.4,115,0.04590818363273453,20,0.008,0,0,0,0,0,0,0,0,0,0,1400,0.639269406392694,85,0.060714285714285714,95,0.0673758865248227,1315,0.9326241134751773,1115,0.7907801418439716,660,0.5019011406844106,120,0.09125475285171103,0.030534351145038167,105,0.042,265,0.10578842315369262
ottawa_ons2022_queenswood_chatelaine_3094_00000_3_9_percent,3505,915,0.26105563480741795,46.1,48.8,455,0.12981455064194009,2970,50000,2820,52200,16.1,47400,51950,12.4,105,0.029957203994293864,15,0.004273504273504274,0,0,0,0,0,0,0,0,0,0,1760,0.5761047463175123,160,0.09090909090909091,140,0.07547169811320754,1720,0.9272237196765498,1350,0.7277628032345014,580,0.36363636363636365,160,0.10031347962382445,0.04411764705882353,850,0.24216524216524216,285,0.08131241084165478
ottawa_ons2022_queenswood_heights_3095_00000_1_5_percent,7970,2130,0.2672521957340025,46.9,50.8,745,0.09347553324968633,6810,49160,6320,53400,15.4,47680,53650,12.1,295,0.0370138017565872,15,0.0018808777429467085,0,0,0,0,0,0,0,0,0,0,3935,0.5657800143781452,320,0.08132147395171538,280,0.0673076923076923,3875,0.9314903846153846,2915,0.7007211538461539,1390,0.38450899031811897,435,0.12033195020746888,0.06306306306306306,2145,0.2689655172413793,675,0.08469259723964868
ottawa_ons2022_renfrew_3718_00000_1_7_percent,7205,2225,0.30881332408049966,48.6,53.6,1505,0.208882720333102,6215,37600,5105,36640,29.7,36320,38200,23.8,1215,0.16863289382373353,0,0,0.0013869625520110957,10,0,0,0,0,0,0,0,0,3040,0.4794952681388013,310,0.10197368421052631,575,0.16475644699140402,2910,0.833810888252149,1680,0.4813753581661891,340,0.12431444241316271,390,0.1425959780621572,0.09832635983263599,65,0.009015256588072122,635,0.08813324080499653
ottawa_ons2022_rideaucrest_davidson_heights_3097_00000_1_4_percent,7945,830,0.10446821900566394,39.2,42.4,530,0.06670862177470108,6360,58200,6075,69900,8.3,56550,70200,5.3,220,0.027690371302706105,25,0.0031466331025802393,0,0,0,0,0,0,0,0,0,0,5005,0.7414814814814815,440,0.08791208791208792,140,0.03139013452914798,4325,0.9697309417040358,3640,0.8161434977578476,2110,0.4617067833698031,295,0.06455142231947483,0.038696537678207736,425,0.05349276274386407,1450,0.18250471994965387
ottawa_ons2022_riverside_park_mooneys_bay_3098_00000_2_5_percent,2890,890,0.3079584775086505,49.7,52.4,555,0.19204152249134948,2555,52100,2350,58050,14.7,49920,57350,11.7,280,0.09688581314878893,20,0.006920415224913495,0,0,0,0,0,0,0,0,0,0,1465,0.5602294455066922,170,0.11604095563139932,95,0.06188925081433225,1440,0.9381107491856677,1140,0.742671009771987,595,0.4576923076923077,95,0.07307692307692308,0.04285714285714286,185,0.06401384083044982,190,0.0657439446366782
ottawa_ons2022_riverside_park_south_revelstoke_3099_00000_2_1_percent,2455,705,0.28716904276985744,46.7,50.8,225,0.09164969450101833,2050,61750,1965,71100,10.7,57350,68000,9.3,80,0.032586558044806514,15,0.006109979633401222,0,0,0,0,0,0,0,0,0,0,1185,0.5683453237410072,70,0.05907172995780591,15,0.01327433628318584,1115,0.9867256637168141,940,0.831858407079646,585,0.527027027027027,95,0.08558558558558559,0.019230769230769232,220,0.08961303462321792,245,0.09979633401221996
