name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,number_of_immigrants,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,number_of_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,number_of_refugees,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,ONS_ID
ottawa_orleans_industrial_3084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3084
ottawa_orleans_village_chateauneuf_3085,435,95,0.21839080459770116,43.9,44.8,10,0.02298850574712643,390,41400,345,43200,19,37200,42400,12.7,50,0.11494252873563218,290,0.6666666666666666,95,0.21839080459770116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0.6744186046511628,0.06976744186046512,30,0.02298850574712643,0.05405405405405406,10,1,430,275,0.6875,15,0.05454545454545454,25,0.10638297872340426,210,0.8936170212765957,190,0.8085106382978723,100,0.38461538461538464,20,0.07692307692307693,140,0.9032258064516128,15,0.0967741935483871,0,0,0,0,0,0,0.06451612903225806,10,0.02325581395348837,65,0.14942528735632185,3085
ottawa_osgoode_vernon_3086,60,10,0.16666666666666666,37,42.8,0,0,40,72000,35,90000,9,68000,90000,8,0,0,25,0.4166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.5,0,0,0.16666666666666666,0.3333333333333333,10,1,60,25,0.5555555555555556,0,0,0,0,25,1,20,0.8,15,0.75,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,0,3086
ottawa_overbrook_3087,680,65,0.09558823529411764,33.1,29.6,55,0.08088235294117647,470,38200,385,39200,26,33800,40000,15,185,0.27205882352941174,425,0.625,65,0.09558823529411764,165,0.2426470588235294,0,0,30,0.04444444444444444,0,0,0,0,0,0,0,0,360,0.5333333333333333,0.07407407407407407,50,0.08823529411764706,0.18181818181818185,60,1,675,330,0.6407766990291263,65,0.19696969696969696,75,0.20270270270270271,295,0.7972972972972973,260,0.7027027027027027,110,0.4230769230769231,40,0.15384615384615383,110,0.7586206896551724,30,0.20689655172413793,0,0,0,0,0,0,0,0,0,85,0.125,3087
ottawa_parkwood_hills_3088,610,10,0.01639344262295082,28.8,27,20,0.03278688524590164,450,32600,385,31800,24,22900,25200,16,150,0.2459016393442623,445,0.7295081967213115,0,0,135,0.2213114754098361,0,0,30,0.04918032786885246,0,0,0,0,0,0,0,0,335,0.5491803278688525,0.2213114754098361,135,0.09016393442622953,0.16923076923076924,55,1,610,375,0.7731958762886598,70,0.18666666666666668,25,0.07246376811594203,325,0.9420289855072465,290,0.8405797101449275,80,0.26666666666666666,40,0.13333333333333333,115,0.5111111111111111,85,0.37777777777777777,10,0.04444444444444444,0,0,10,0.04444444444444444,0.13333333333333333,10,0.01639344262295082,125,0.20491803278688525,3088
ottawa_pineview_3089,320,40,0.125,36,30.6,15,0.046875,260,40800,225,43600,19.2,38800,42000,13.6,60,0.1875,220,0.6875,40,0.125,50,0.15625,0,0,10,0.03125,0,0,0,0,0,0,0,0,175,0.546875,0.078125,25,0.0625,0.12903225806451613,20,1,320,200,0.7407407407407407,20,0.1,10,0.0625,155,0.96875,115,0.71875,40,0.2222222222222222,20,0.1111111111111111,90,0.6428571428571429,45,0.32142857142857145,0,0,0,0,0,0,0.07142857142857142,10,0.03125,75,0.234375,3089
ottawa_playfair_park_guildwood_estates_3090,250,45,0.18,37,39.6,20,0.08,160,62000,160,69000,10,53200,64000,10,80,0.3137254901960784,125,0.4901960784313726,45,0.17647058823529413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0.5686274509803921,0.1176470588235294,30,0,0,0,1,255,100,0.5714285714285714,15,0.15,10,0.08333333333333333,110,0.9166666666666666,95,0.7916666666666666,55,0.6111111111111112,0,0,30,0.75,0,0,0,0,0,0,0,0,0,0,0,10,0.04,3090
ottawa_portobello_south_3091,2765,250,0.09041591320072331,35.1,34.8,60,0.0216998191681736,2105,43640,1870,49680,14.5,39800,47320,9.5,675,0.244122965641953,1840,0.6654611211573237,250,0.09041591320072331,140,0.05063291139240506,0,0,85,0.03068592057761732,0,0,0,0,0,0,0,0,1750,0.631768953068592,0.09927797833935018,275,0.07956600361663653,0.13622291021671826,220,1,2770,1575,0.7126696832579186,170,0.10793650793650794,110,0.0707395498392283,1445,0.9292604501607716,1185,0.7620578778135049,615,0.44086021505376344,100,0.07168458781362007,615,0.7884615384615384,85,0.10897435897435898,25,0.03205128205128205,0,0,55,0.07051282051282051,0.08333333333333333,65,0.02346570397111913,405,0.14647377938517178,3091
ottawa_qualicum_redwood_3092,210,15,0.07142857142857142,32.6,28.6,10,0.04761904761904761,175,37600,150,42000,14,32000,41000,10.4,35,0.16666666666666666,160,0.7619047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0.5365853658536586,0.2926829268292683,60,0,0,0,1,205,130,0.7222222222222222,30,0.2307692307692308,0,0,110,1,100,0.9090909090909092,55,0.55,0,0,30,0.75,10,0.25,0,0,0,0,0,0,0,0,0,55,0.2619047619047619,3092
ottawa_queensway_terrace_north_3093,90,0,0,33.2,31.4,10,0.1111111111111111,65,50000,50,62000,9.5,48000,64000,7.6,0,0,70,0.7777777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0.4444444444444444,0.2777777777777778,25,0,0,0,1,90,60,0.8,0,0,0,0,55,0.9166666666666666,50,0.8333333333333334,15,0.2727272727272727,0,0,20,0.5,10,0.25,0,0,0,0,10,0.25,0,0,0,0,0,3093
ottawa_queenswood_chatelaine_3094,25,0,0,48,NA,0,0,25,24000,25,16000,40,20000,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.8,0.4,10,0,0,0,1,25,20,0.8,0,0,0,0,15,1,15,1,10,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3094
ottawa_queenswood_heights_3095,225,45,0.2,40.8,41.2,15,0.06666666666666667,180,47200,150,53000,16.4,44000,52000,14.4,50,0.2222222222222222,125,0.5555555555555556,45,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0.6,0.04444444444444444,10,0.06666666666666667,0.14285714285714285,15,1,225,105,0.6,0,0,0,0,105,0.9130434782608696,80,0.6956521739130435,50,0.4545454545454546,0,0,50,0.9090909090909092,0,0,0,0,0,0,0,0,0,0,0,20,0.08888888888888889,3095
ottawa_rideaucrest_davidson_heights_3097,1130,115,0.10176991150442478,36.8,35.6,0,0,840,47800,735,59200,12.3,46900,58000,6.8,295,0.2610619469026549,720,0.6371681415929203,115,0.10176991150442478,0,0,0,0,30,0.02654867256637168,0,0,0,0,0,0,0,0,665,0.588495575221239,0.07079646017699115,80,0.02654867256637168,0.04958677685950413,30,1,1130,630,0.7078651685393258,60,0.09523809523809525,60,0.1,545,0.9083333333333332,480,0.8,225,0.3947368421052632,45,0.07894736842105263,275,0.7857142857142857,55,0.15714285714285714,10,0.02857142857142857,0,0,15,0.04285714285714286,0.04285714285714286,0,0,175,0.15486725663716813,3097
ottawa_riverside_park_mooneys_bay_3098,125,0,0,33.6,29,10,0.08,105,32000,95,31600,16.5,31600,32500,10,0,0,105,0.84,0,0,25,0.2,0,0,0,0,0,0,0,0,0,0,0,0,45,0.375,0.08333333333333333,10,0,0,0,1,120,100,0.9090909090909092,10,0.1,0,0,75,1,75,1,40,0.4444444444444444,0,0,30,0.6666666666666666,20,0.4444444444444444,0,0,0,0,0,0,0,0,0,25,0.2,3098
ottawa_riverside_park_south_revelstoke_3099,75,10,0.13333333333333333,30,35.2,0,0,50,96000,45,136000,5,92000,116000,3.6,30,0.375,40,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0.4375,0,0,0,0,0,1,80,35,0.7,0,0,0,0,40,1,40,1,25,0.7142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.1875,0,0,3099
ottawa_riverside_south_leitrim_3100,1415,165,0.1166077738515901,34.5,33.6,35,0.02473498233215547,1020,52700,930,63300,11.3,48100,59300,7.3,415,0.29328621908127206,835,0.5901060070671378,165,0.1166077738515901,50,0.0353356890459364,0,0,55,0.03873239436619718,0,0,0,0,0,0,0,0,810,0.5704225352112676,0.08450704225352113,120,0.03886925795053003,0.0763888888888889,55,1,1420,820,0.7454545454545455,30,0.03658536585365853,15,0.02,735,0.98,625,0.8333333333333334,390,0.4936708860759494,50,0.06329113924050633,345,0.8734177215189873,30,0.0759493670886076,0,0,0,0,15,0.0379746835443038,0.0759493670886076,0,0,185,0.13074204946996468,3100
ottawa_riverview_3101,1160,65,0.05603448275862069,30.9,26.8,115,0.09913793103448276,965,36000,900,38600,12.9,27300,32600,7.2,90,0.07758620689655173,1000,0.8620689655172413,65,0.05603448275862069,230,0.19827586206896552,0,0,25,0.02164502164502164,0,0,0,0,0,0,0,0,475,0.41125541125541126,0.22077922077922077,255,0.02155172413793103,0.05747126436781609,25,1,1155,885,0.8194444444444444,90,0.1016949152542373,25,0.03571428571428571,675,0.9642857142857144,650,0.9285714285714286,285,0.3584905660377358,85,0.1069182389937107,185,0.3627450980392157,245,0.4803921568627451,60,0.1176470588235294,10,0.0196078431372549,10,0.0196078431372549,0.04901960784313725,10,0.00865800865800865,315,0.27155172413793105,3101
ottawa_rockcliffe_park_3102,100,20,0.2,38.8,41.6,0,0,70,96000,70,148000,2.8,136000,175000,1.8,30,0.3,50,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0.42857142857142855,0,0,0,0,0,1,105,40,0.5714285714285714,0,0,0,0,30,1,30,1,20,0.4444444444444444,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,20,0.2,3102
ottawa_rothwell_heights_beacon_hill_north_3103,540,85,0.1574074074074074,37.7,38.4,15,0.02777777777777777,410,54000,355,69200,11.7,50800,67600,7.7,140,0.25688073394495414,325,0.5963302752293578,85,0.1559633027522936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0.5504587155963303,0.02752293577981651,15,0.03703703703703703,0.09090909090909093,20,1,545,295,0.6704545454545454,35,0.11864406779661016,0,0,230,0.9583333333333334,200,0.8333333333333334,100,0.4,20,0.08,115,0.7931034482758621,0,0,15,0.10344827586206896,0,0,10,0.06896551724137931,0.06896551724137931,0,0,115,0.21296296296296297,3103
