name,total_population,percent_of_pop_that_are_seniors_65,number_of_seniors_65,average_age_of_the_population,median_age_of_the_population,number_of_children_living_in_one_parent_families,percent_of_children_living_in_one_parent_families,number_of_pop_living_alone,percent_of_pop_living_alone,average_after_tax_income_in_2020_among_recipients,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,number_of_pop_living_alone_i_e_1_person_household,average_household_size,number_of_owner_households,percent_of_owner_households,percent_of_renter_households,percent_of_households_living_in_core_housing_need,number_of_households_living_in_core_housing_need,percent_of_owner_households_in_core_housing_need,median_monthly_shelter_costs_for_owned_dwellings,average_monthly_shelter_costs_for_owned_dwellings,number_of_tenant_households,percent_of_tenant_households_living_in_subsidized_housing,percent_of_renter_households_in_core_housing_need,median_monthly_shelter_costs_for_rented_dwellings,average_monthly_shelter_costs_for_rented_dwellings,average_size_of_census_families,percent_of_census_families_that_are_one_parent_families,number_of_one_parent_families,percent_of_all_census_families_that_are_one_parent_families,average_number_of_children_in_census_families_with_children,average_after_tax_income_of_all_economic_families,average_after_tax_income_of_couple_with_children_economic_families,average_after_tax_income_of_one_parent_economic_families,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_pop_with_knowledge_of_neither_english_nor_french,number_of_people_with_knowledge_of_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_immigrants,number_of_immigrants,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,number_of_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,number_of_refugees,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,percent_in_the_labour_force_participation_rate,number_of_pop_in_labour_force,unemployment_rate,number_of_pop_unemployed,number_of_people_age_25_64_w_no_high_school_diploma_or_equivalent,percent_of_pop_age_25_64_with_no_high_school_diploma_or_equivalent,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,percent_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,percent_of_workers_who_commute_for_60_minutes_and_over,number_of_youth_age_15_24,percent_of_of_pop_that_are_youth_age_15_24,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,ONS_ID
blossom_park_timbermill_3011,9290,0.1280947255113025,1190,38.8,38.8,885,0.25615050651230103,620,0.06673842841765339,48960,54300,16,45560,53500,10.7,730,0.07857911733046287,305,0.14219114219114218,370,0.06213266162888329,50,0.04219409282700422,625,2.9,2460,0.7616099071207431,0.23993808049535603,0.10393700787401576,330,6,1520,1614,775,14.2,25,1560,1616,3.2,0.20392156862745095,520,0.20392156862745095,2,119300,122000,86400,105,0.01130856219709208,0.01992460958535272,185,0.01506996770721205,140,0.00645855758880516,60,0.00807319698600645,75,0,0,0.2997847147470398,2785,0.06350914962325081,590,0.08934337997847147,0.3593073593073593,830,0.4289558665231432,3985,0.6524028966425279,4955,0.12008072653884964,595,505,0.09901960784313724,4600,0.9019607843137256,3470,0.6803921568627451,1490,0.3421354764638347,485,0.1113662456946039,2400,0.8421052631578947,265,0.09298245614035087,75,0.02631578947368421,15,0.00526315789473684,100,0.03508771929824561,0.04736842105263158,1300,0.13993541442411195,875,0.0942380183091007,3011
borden_farm_fisher_glen_3012,8195,0.2953020134228188,2420,47.6,49.2,455,0.23096446700507617,1350,0.1647345942647956,48920,53050,16.2,46680,53150,13,725,0.08841463414634146,80,0.07174887892376682,340,0.07296137339055794,305,0.12577319587628866,1345,2.2,2550,0.6728232189973615,0.32717678100263853,0.11491108071135432,420,6.6,1150,1428,1240,20.6,22.2,1330,1644,2.7,0.15434782608695652,355,0.15434782608695652,1.7,114100,145000,82400,20,0.0024390243902439,0.01707317073170732,140,0.02682926829268292,220,0.01646341463414634,135,0.00792682926829268,65,0.00182926829268292,15,0.25182926829268293,2065,0.025,205,0.02135448444173276,0.14705882352941177,175,0.2420731707317073,1985,0.5456417295813315,3975,0.10566037735849056,420,180,0.04511278195488721,3805,0.9536340852130326,3070,0.7694235588972431,1570,0.4422535211267606,330,0.09295774647887324,1585,0.8005050505050505,180,0.09090909090909093,95,0.04797979797979797,40,0.0202020202020202,85,0.04292929292929293,0.03535353535353535,875,0.1067724222086638,330,0.04024390243902439,3012
braemar_park_belair_heights_copeland_park_3013,8975,0.20278551532033423,1820,42.4,39.6,540,0.25653206650831356,1270,0.1415041782729805,47200,51550,15.8,44920,51850,11.3,655,0.07298050139275766,85,0.06071428571428571,430,0.07465277777777778,140,0.07713498622589532,1270,2.3,2405,0.6135204081632653,0.3852040816326531,0.13517060367454067,515,6.7,900,1366,1515,2.3,24.8,1470,1504,2.7,0.1589958158995816,380,0.1589958158995816,1.6,108500,137000,76000,35,0.00389755011135857,0.00835189309576837,75,0.02506963788300835,225,0.00724233983286908,65,0.01337047353760445,120,0,0,0.20891364902506965,1875,0.04122562674094707,370,0.03231197771587744,0.2140221402214022,290,0.23788300835654597,2135,0.6332691072575466,4930,0.11663286004056796,575,365,0.07556935817805382,4465,0.924430641821946,3620,0.7494824016563147,1705,0.39150401836969,445,0.10218140068886336,1990,0.7537878787878788,385,0.14583333333333334,140,0.05303030303030303,70,0.02651515151515151,50,0.01893939393939394,0.03977272727272727,1140,0.12701949860724235,465,0.05178173719376392,3013
bridlewood_emerald_meadows_3014,25705,0.12312779614860922,3165,38.3,39.2,1445,0.15663956639566395,1360,0.05290799455358879,55800,66200,10.2,53300,65300,7,1175,0.04571984435797665,350,0.05622489959839357,660,0.04045357033404842,165,0.05213270142180094,1360,2.9,7825,0.8762597984322509,0.12318029115341546,0.0503393665158371,445,3.5,1680,1650,1105,11.3,16.3,1940,1768,3.1,0.1213527851458886,915,0.1213527851458886,1.8,133200,141000,86000,135,0.00525189651818712,0.01400505738183232,360,0.02042801556420233,525,0.0122568093385214,315,0.00797665369649805,205,0,0,0.26361867704280156,6775,0.03852140077821012,990,0.03929196654347403,0.1732418524871355,1010,0.295136186770428,7585,0.7163601161665053,14800,0.08952702702702703,1325,520,0.03682719546742209,13605,0.9635269121813032,11655,0.8254249291784702,6560,0.4868274582560297,870,0.06456400742115027,6040,0.8747284576393918,355,0.05141202027516292,230,0.0333091962346126,30,0.00434467776973207,250,0.03620564808110065,0.04417089065894279,3375,0.1312974129546781,1185,0.046099980548531407,3014
britannia_3015,8445,0.2291296625222025,1935,44.1,42.4,915,0.452970297029703,2085,0.2468916518650089,42800,45480,21.7,39640,44760,16.5,1445,0.1712085308056872,325,0.2559055118110236,855,0.16332378223495703,265,0.13695090439276486,2080,1.9,1420,0.3238312428734322,0.6761687571265679,0.2352941176470588,1000,11.2,1120,1456,2960,18.6,29.3,1250,1227,2.7,0.24519230769230768,510,0.24519230769230768,1.8,90100,98000,65600,140,0.01658767772511848,0.01540284360189573,130,0.02725118483412322,230,0.00829383886255924,70,0.01481042654028436,125,0.00177725118483412,15,0.3074644549763033,2595,0.07049763033175356,595,0.09591474245115451,0.39416058394160586,810,0.3347156398104265,2825,0.5679513184584178,4200,0.1380952380952381,580,520,0.11529933481152992,3995,0.885809312638581,3090,0.6851441241685144,1435,0.3969571230982019,375,0.1037344398340249,1400,0.6422018348623854,510,0.2339449541284404,175,0.08027522935779817,25,0.01146788990825688,65,0.02981651376146789,0.05275229357798165,940,0.1113084665482534,650,0.07701421800947868,3015
brookside_briarbrook_morgans_grant_3016,15480,0.09043927648578812,1400,35.9,37.2,1040,0.17035217035217037,660,0.04263565891472868,54200,65600,9.8,50920,63850,6.3,820,0.05298869143780291,320,0.07450523864959255,405,0.04141104294478527,100,0.07142857142857142,660,3.1,4065,0.8203834510595358,0.17860746720484358,0.06069958847736625,295,3.5,1740,1698,890,7.3,19.2,2020,1868,3.3,0.13821138211382114,595,0.13821138211382114,1.9,132000,137000,86000,90,0.00581583198707592,0.01873990306946688,290,0.02034883720930232,315,0.01195090439276485,185,0.00742894056847545,115,0,0,0.36757105943152457,5690,0.06492248062015504,1005,0.05523255813953488,0.16147308781869688,855,0.4958010335917313,7675,0.7168473728106756,8595,0.0924956369982548,795,180,0.0214158239143367,8225,0.9785841760856632,7035,0.8370017846519928,3900,0.5003207184092366,555,0.07119948685054522,3260,0.8402061855670103,215,0.05541237113402061,225,0.05798969072164949,40,0.01030927835051546,140,0.03608247422680412,0.06701030927835051,2180,0.14082687338501293,830,0.05363489499192245,3016
cardinal_creek_3017,12910,0.116576297443842,1505,38,39.2,930,0.1962025316455696,745,0.05770720371804802,56300,64900,10.2,54000,64700,7.1,285,0.02207591014717273,95,0.03001579778830963,140,0.01697998787143723,50,0.03333333333333333,745,2.9,3990,0.8876529477196885,0.11234705228031146,0.04269662921348315,190,3,1820,1840,505,0,14.4,1920,2030,3.1,0.15127175368139223,565,0.15127175368139223,1.9,135400,146000,91600,360,0.0278853601859024,0.00503485670023237,65,0.03020914020139426,390,0.0104570100697134,135,0.01665375677769171,215,7.74593338497289e-4,10,0.198295894655306,2560,0.01859024012393493,240,0.03601859024012394,0.20898876404494385,465,0.2831138652207591,3655,0.7186293436293436,7445,0.08059100067159167,600,305,0.04314002828854314,6765,0.9568599717114568,5590,0.7906647807637907,3100,0.4528853177501826,470,0.06866325785244703,3175,0.8546433378196501,305,0.08209959623149395,110,0.02960969044414535,20,0.0053835800807537,105,0.02826379542395693,0.06864064602960969,1795,0.13903950426026335,4045,0.31332300542215336,3017
carleton_heights_courtland_park_3018,8190,0.17094017094017094,1400,40.1,35.6,715,0.3743455497382199,1195,0.14590964590964592,46920,53050,15.6,41040,51400,10,1080,0.13194868662186926,250,0.2183406113537118,740,0.13108945969884853,95,0.06785714285714285,1190,2.3,1800,0.49586776859504134,0.5041322314049587,0.1544011544011544,535,8.5,1180,1618,1830,10.4,22.3,1240,1288,2.8,0.21025641025641023,410,0.21025641025641023,1.7,114100,138000,81200,40,0.00488400488400488,0.02747252747252747,225,0.02564102564102564,210,0.0115995115995116,95,0.00915750915750915,75,0,0,0.29853479853479853,2445,0.03907203907203907,320,0.05738705738705738,0.25405405405405407,470,0.3675213675213675,3010,0.6507607192254495,4705,0.13496280552603612,635,370,0.08980582524271845,3755,0.9114077669902912,3080,0.7475728155339806,1605,0.3943488943488944,370,0.09090909090909093,1790,0.7412008281573499,405,0.16770186335403728,115,0.04761904761904761,45,0.0186335403726708,65,0.02691511387163561,0.04347826086956521,1705,0.2081807081807082,420,0.05128205128205128,3018
carleton_university_3019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3019
carlington_3020,15650,0.11565495207667732,1810,37.8,36.8,1670,0.36069114470842334,2815,0.17987220447284344,43680,49440,19,40640,49000,12.6,2905,0.1855637176620888,830,0.2618296529968454,1725,0.16159250585480095,350,0.1928374655647383,2820,2.2,2865,0.4029535864978903,0.5970464135021097,0.2001450326323423,1380,5.7,1470,1450,4245,27,29.9,1100,1100,2.9,0.2490470139771283,980,0.2490470139771283,1.9,98600,108000,67000,325,0.02076014053018205,0.02874480996486745,450,0.03928457361865219,615,0.02107952730756946,330,0.01053976365378473,165,0.00479080166081124,75,0.3145959757266049,4925,0.06419674225487065,1005,0.11246006389776358,0.4055299539170507,1760,0.43724049824337274,6845,0.6590645535369154,8525,0.12903225806451613,1100,1055,0.11555312157721796,8075,0.884446878422782,6420,0.7031763417305587,2930,0.3948787061994609,680,0.09164420485175202,3115,0.6984304932735426,835,0.18721973094170405,245,0.05493273542600897,105,0.02354260089686098,160,0.03587443946188341,0.04820627802690583,1985,0.1268370607028754,1140,0.07282018524433088,3020
