name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,number_of_immigrants,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,number_of_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,number_of_refugees,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24
ottawa_ons2022_beaverbrook_3005_00000_2_3_percent,215,0,0,27.8,23,0,0,125,39000,120,37000,23,37500,42000,16,80,0.37209302325581395,135,0.627906976744186,0,0,65,0.3023255813953488,10,0.047619047619047616,0,0,0,0,0,0,0,0,0,0,145,0.6904761904761905,0.35714285714285715,75,0.06976744186046512,0.10714285714285714,15,1,210,105,0.7241379310344828,20,0.19047619047619047,0,0,95,0.9047619047619048,70,0.6666666666666666,45,0.5294117647058824,0,0,45,1,0,0,0,0,0,0,0,0,0,20,0.09523809523809523,45,0.20930232558139536
ottawa_ons2022_beckwith_3401_00000_1_8_percent,20,0,0,22,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,20,10,1,0,0,0,0,15,1,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ottawa_ons2022_beechwood_cemetery_3006_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_bells_corners_east_3007_00000_1_1_percent,40,0,0,39,40.4,0,0,40,28000,35,28000,24,32000,34000,6,0,0,35,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,1,0,0,0,0,0,1,40,30,0.75,15,0.5,0,0,20,0.8,15,0.6,0,0,0,0,10,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
ottawa_ons2022_bells_corners_west_3008_00000_2_6_percent,205,10,0.04878048780487805,25.3,23,15,0.07317073170731707,115,41000,80,47000,28,36500,50000,16.5,90,0.43902439024390244,105,0.5121951219512195,0,0,85,0.4146341463414634,0,0,10,0.05,0,0,0,0,0,0,0,0,115,0.575,0.225,45,0.24390243902439024,0.43478260869565216,50,1,200,70,0.6086956521739131,15,0.21428571428571427,30,0.3157894736842105,60,0.631578947368421,40,0.42105263157894735,15,0.2727272727272727,20,0.36363636363636365,40,0.8888888888888888,0,0,0,0,0,0,0,0,0,0,0,10,0.04878048780487805
ottawa_ons2022_billings_bridge_heron_park_3009_00000_6_4_percent,460,65,0.14130434782608695,38.2,31.4,55,0.11956521739130435,365,31600,250,34400,34,27100,32800,20.8,85,0.18478260869565216,305,0.6630434782608695,65,0.14130434782608695,135,0.29347826086956524,0,0,60,0.13186813186813187,0,0,0,0,0,0,0,0,255,0.5604395604395604,0.16483516483516483,75,0.16304347826086957,0.3409090909090909,75,1,455,230,0.6052631578947368,45,0.1956521739130435,45,0.17647058823529413,210,0.8235294117647058,175,0.6862745098039216,75,0.40540540540540543,20,0.10810810810810811,95,0.9047619047619048,10,0.09523809523809523,0,0,0,0,0,0,0,0,0,65,0.14130434782608695
ottawa_ons2022_blackburn_hamlet_3010_00000_2_3_percent,210,20,0.09523809523809523,33.2,26.4,10,0.047619047619047616,130,37000,100,36000,33,32000,39500,23,65,0.30952380952380953,130,0.6190476190476191,15,0.07142857142857142,65,0.30952380952380953,15,0.07142857142857142,0,0,0,0,0,0,0,0,0,0,165,0.7857142857142857,0.3333333333333333,70,0.16666666666666666,0.22580645161290322,35,1,210,90,0.6,15,0.16666666666666666,20,0.21052631578947367,75,0.7894736842105263,60,0.631578947368421,20,0.26666666666666666,10,0.13333333333333333,40,0.8,0,0,0,0,0,0,0,0,0.2,40,0.19047619047619047,40,0.19047619047619047
ottawa_ons2022_blossom_park_timbermill_3011_00000_2_0_percent,1635,105,0.06422018348623854,31.6,27.6,45,0.027522935779816515,1085,38900,845,41900,29.8,32100,39700,19.9,530,0.3241590214067278,1000,0.6116207951070336,105,0.06422018348623854,305,0.18654434250764526,45,0.027522935779816515,95,0.0581039755351682,0,0,0,0,0,0,0,0,1005,0.6146788990825688,0.22324159021406728,365,0.28134556574923547,0.4972972972972973,460,1,1635,700,0.5761316872427984,130,0.18571428571428572,145,0.18471337579617833,640,0.8152866242038217,475,0.6050955414012739,180,0.3157894736842105,100,0.17543859649122806,320,0.8421052631578947,25,0.06578947368421052,0,0,0,0,15,0.039473684210526314,0.039473684210526314,120,0.07339449541284404,325,0.19877675840978593
ottawa_ons2022_bonnechere_valley_3703_00000_4_5_percent,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,0,NA,NA,0,NA,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA
ottawa_ons2022_borden_farm_fisher_glen_3012_00000_3_2_percent,260,35,0.1346153846153846,41,41.2,20,0.07692307692307693,205,40000,175,42800,22,36000,40800,15.6,45,0.17307692307692307,180,0.6923076923076923,35,0.1346153846153846,75,0.28846153846153844,0,0,10,0.038461538461538464,0,0,0,0,0,0,0,0,180,0.6923076923076923,0.057692307692307696,15,0.07692307692307693,0.125,20,1,260,100,0.45454545454545453,10,0.1,15,0.10344827586206896,135,0.9310344827586207,80,0.5517241379310345,30,0.3333333333333333,30,0.3333333333333333,40,0.7272727272727273,10,0.18181818181818182,0,0,0,0,0,0,0,10,0.038461538461538464,45,0.17307692307692307
