name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,number_of_immigrants,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,number_of_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,number_of_refugees,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24
ottawa_ons2022_orleans_village_chateauneuf_3085_00000_1_6_percent,2720,355,0.13051470588235295,37.1,36,90,0.03308823529411765,2055,41480,1875,42200,19.8,38520,42640,12.3,690,0.2536764705882353,1675,0.6158088235294118,355,0.13051470588235295,190,0.06985294117647059,95,0.03486238532110092,15,0.005504587155963303,0,0,0,0,0,0,0,0,1535,0.5643382352941176,0.058823529411764705,160,0.07352941176470588,0.16326530612244897,200,1,2720,1515,0.7112676056338029,195,0.12871287128712872,105,0.07777777777777778,1245,0.9222222222222223,1040,0.7703703703703704,405,0.3068181818181818,145,0.10984848484848485,745,0.8186813186813187,100,0.10989010989010989,25,0.027472527472527472,20,0.02197802197802198,25,0.027472527472527472,0.07142857142857142,580,0.21284403669724772,425,0.15625
ottawa_ons2022_osgoode_vernon_3086_00000_1_6_percent,285,45,0.15789473684210525,40,40.8,0,0,215,40400,180,44000,24.4,37200,43600,13.8,55,0.19298245614035087,185,0.6491228070175439,50,0.17543859649122806,0,0,0,0,25,0.08771929824561403,0,0,0,0,0,0,0,0,140,0.49122807017543857,0.03508771929824561,10,0.10526315789473684,0.2608695652173913,30,1,285,150,0.6382978723404256,10,0.06666666666666667,55,0.3235294117647059,120,0.7058823529411765,80,0.47058823529411764,70,0.5,20,0.14285714285714285,65,1,0,0,0,0,0,0,0,0,0.15384615384615385,0,0,20,0.07017543859649122
ottawa_ons2022_overbrook_3087_00000_5_0_percent,9230,705,0.07638136511375948,32.3,29.6,820,0.08884073672806067,6345,34360,4970,33440,31.7,30160,34280,20.9,2775,0.30065005417118096,5745,0.6224268689057422,705,0.07638136511375948,2285,0.24756229685807152,805,0.08726287262872628,425,0.04607046070460705,0,0,0,0,0,0,0,0,5430,0.5886178861788618,0.18102981029810297,1670,0.2540628385698808,0.45622568093385213,2345,1,9225,4205,0.6089790007241129,770,0.18311533888228299,775,0.16829533116178066,3835,0.8327904451682954,3000,0.6514657980456026,885,0.2576419213973799,440,0.12809315866084425,1645,0.6489151873767258,690,0.27218934911242604,130,0.05128205128205128,30,0.011834319526627219,45,0.01775147928994083,0.09861932938856016,2025,0.21951219512195122,1590,0.1722643553629469
ottawa_ons2022_parkwood_hills_3088_00000_5_9_percent,3795,150,0.039525691699604744,27.9,25.6,180,0.04743083003952569,2415,31120,1900,27160,36.6,25020,26640,25.7,1305,0.3438735177865613,2335,0.6152832674571805,150,0.039525691699604744,1020,0.26877470355731226,130,0.034255599472990776,245,0.06455862977602109,0,0,0,0,0,0,0,0,2475,0.6521739130434783,0.3359683794466403,1275,0.35968379446640314,0.5628865979381443,1365,1,3795,1685,0.6346516007532956,325,0.19287833827893175,360,0.1978021978021978,1465,0.804945054945055,1115,0.6126373626373627,260,0.19117647058823528,215,0.15808823529411764,635,0.5852534562211982,355,0.3271889400921659,55,0.05069124423963134,15,0.013824884792626729,25,0.02304147465437788,0.10599078341013825,300,0.07905138339920949,680,0.17918313570487485
ottawa_ons2022_pembroke_3715_00000_3_1_percent,490,60,0.12244897959183673,39.1,37.2,70,0.14285714285714285,430,41800,380,47000,15.8,38400,45800,9.6,60,0.12244897959183673,365,0.7448979591836735,60,0.12244897959183673,45,0.09183673469387756,0,0,0,0,0,0,0,0,0,0,0,0,245,0.5051546391752577,0.05154639175257732,25,0.05102040816326531,0.11627906976744186,25,1,485,280,0.6511627906976745,35,0.125,35,0.12280701754385964,250,0.8771929824561403,195,0.6842105263157895,45,0.18,15,0.06,130,0.6842105263157895,0,0,50,0.2631578947368421,10,0.05263157894736842,0,0,0,25,0.05154639175257732,85,0.17346938775510204
ottawa_ons2022_perth_3407_00000_2_5_percent,155,15,0.0967741935483871,32,25.2,10,0.06451612903225806,100,48000,90,51000,14.8,37000,40000,14.8,60,0.3870967741935484,80,0.5161290322580645,15,0.0967741935483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0.4838709677419355,0.0967741935483871,15,0,0,0,1,155,60,0.5714285714285714,0,0,10,0.15384615384615385,50,0.7692307692307693,35,0.5384615384615384,0,0,0,0,40,0.6666666666666666,0,0,15,0.25,10,0.16666666666666666,0,0,0,0,0,25,0.16129032258064516
ottawa_ons2022_petawawa_3716_00000_2_3_percent,1075,40,0.037209302325581395,28.7,29.6,75,0.06976744186046512,715,50600,660,56900,10.6,47500,55100,6.5,345,0.3209302325581395,690,0.641860465116279,40,0.037209302325581395,30,0.027906976744186046,40,0.037037037037037035,20,0.018518518518518517,0,0,0,0,0,0,0,0,480,0.4444444444444444,0.09259259259259259,100,0.037209302325581395,0.08602150537634409,40,1,1080,615,0.8092105263157895,35,0.056910569105691054,20,0.03333333333333333,580,0.9666666666666667,455,0.7583333333333333,85,0.14655172413793102,65,0.11206896551724138,450,0.9183673469387755,0,0,25,0.05102040816326531,0,0,15,0.030612244897959183,0,90,0.08333333333333333,120,0.11162790697674418
ottawa_ons2022_pikwakanagan_golden_lake_39_3717_03030_38_6_percent,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,0,NA,NA,0,NA,NA,0,NA,0,0,NA,0,NA,0,NA,10,Inf,10,Inf,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA
ottawa_ons2022_pineview_3089_00000_3_1_percent,2480,300,0.12096774193548387,36.8,33.2,145,0.05846774193548387,1935,37320,1680,36600,24.4,33800,36920,15.6,570,0.22983870967741934,1605,0.6471774193548387,300,0.12096774193548387,270,0.10887096774193548,115,0.046370967741935484,55,0.02217741935483871,0,0,0,0,0,0,0,0,1560,0.6290322580645161,0.0846774193548387,210,0.2056451612903226,0.36823104693140796,510,1,2480,1370,0.6682926829268293,185,0.13503649635036497,160,0.1306122448979592,1060,0.8653061224489796,815,0.6653061224489796,310,0.2627118644067797,150,0.1271186440677966,660,0.7586206896551724,165,0.1896551724137931,35,0.040229885057471264,0,0,10,0.011494252873563218,0.04597701149425287,365,0.14717741935483872,525,0.21169354838709678
ottawa_ons2022_playfair_park_guildwood_estates_3090_00000_2_3_percent,1530,255,0.16666666666666666,38.7,36.8,130,0.08496732026143791,1150,46500,975,53900,17.6,39600,48900,13.3,350,0.22875816993464052,925,0.6045751633986928,255,0.16666666666666666,200,0.13071895424836602,30,0.019543973941368076,55,0.035830618892508145,0,0,0,0,0,0,0,0,920,0.5993485342019544,0.10749185667752444,165,0.1437908496732026,0.3013698630136986,220,1,1535,745,0.6131687242798354,70,0.09395973154362416,105,0.13125,705,0.88125,590,0.7375,250,0.373134328358209,75,0.11194029850746269,310,0.7294117647058823,65,0.15294117647058825,20,0.047058823529411764,0,0,20,0.047058823529411764,0.08235294117647059,150,0.09771986970684039,155,0.10130718954248366
