VAR_ID,name,value
VAR2,3001,0.254237288
VAR2,3002,0.195498392
VAR2,3003,0.133988074
VAR2,3004,0.187662338
VAR2,3005,0.220501475
VAR2,3006,NA
VAR2,3007,0.218781219
VAR2,3008,0.167268351
VAR2,3009,0.176170213
VAR2,3010,0.208955224
VAR2,3011,0.128094726
VAR2,3012,0.295302013
VAR2,3013,0.202785515
VAR2,3014,0.123127796
VAR2,3015,0.229129663
VAR2,3016,0.090439276
VAR2,3017,0.116576297
VAR2,3018,0.170940171
VAR2,3019,NA
VAR2,3020,0.115654952
VAR2,3021,0.181531176
VAR2,3022,0.204457364
VAR2,3023,0.187912088
VAR2,3024,0.129484931
VAR2,3025,0.188855806
VAR2,3026,0.107406107
VAR2,3027,0.088897993
VAR2,3028,0.154940711
VAR2,3029,0.160538117
VAR2,3030,NA
VAR2,3031,0.179545455
VAR2,3032,0.242361111
VAR2,3033,0.137254902
VAR2,3034,0.183967705
VAR2,3035,0.18489426
VAR2,3036,0.250945776
VAR2,3037,0.212258797
VAR2,3038,0.177237185
VAR2,3039,0.218644068
VAR2,3040,0.2
VAR2,3041,0.173796791
VAR2,3042,NA
VAR2,3043,0.156683306
VAR2,3044,0.068469101
VAR2,3045,0.192922374
VAR2,3046,0.21706399
VAR2,3047,0.198038476
VAR2,3048,0.147106764
VAR2,3049,0.152751423
VAR2,3050,0.132075472
VAR2,3051,0.166666667
VAR2,3052,0.120550162
VAR2,3053,0.141414141
VAR2,3054,0.135994087
VAR2,3055,0.137529138
VAR2,3056,0.146212566
VAR2,3057,NA
VAR2,3058,0.15026362
VAR2,3059,0.181318681
VAR2,3060,0.190562145
VAR2,3061,0.178715761
VAR2,3062,0.151119403
VAR2,3063,0.20740064
VAR2,3065,0.0975
VAR2,3066,0.20754717
VAR2,3067,0.17577548
VAR2,3068,0.171213547
VAR2,3069,0.254601227
VAR2,3070,0.220722892
VAR2,3071,0.181818182
VAR2,3072,0.3
VAR2,3073,0.145423439
VAR2,3075,0.195902689
VAR2,3074,0.184923439
VAR2,3076,0.180602007
VAR2,3077,0.265846736
VAR2,3078,0.188188188
VAR2,3079,0.102833158
VAR2,3080,0.140084765
VAR2,3081,0.198116074
VAR2,3082,0.144299287
VAR2,3083,0.15474339
VAR2,3084,NA
VAR2,3085,0.204454343
VAR2,3086,0.171122995
VAR2,3087,0.156016397
VAR2,3088,0.08361204
VAR2,3089,0.150563607
VAR2,3090,0.25838103
VAR2,3091,0.089662094
VAR2,3092,0.155606407
VAR2,3093,0.171561051
VAR2,3094,0.238875878
VAR2,3095,0.239520958
VAR2,3097,0.098566935
VAR2,3098,0.217821782
VAR2,3099,0.267918089
VAR2,3100,0.094463395
VAR2,3101,0.191355599
VAR2,3102,0.234042553
VAR2,3103,0.233254157
VAR2,3104,0.120612397
VAR2,3105,0.240740741
VAR2,3106,0.169433705
VAR2,3107,0.065558195
VAR2,3108,0.097560976
VAR2,3109,0.086956522
VAR2,3110,0.228033473
VAR2,3111,0.162779397
VAR2,3112,0.228652082
VAR2,3113,0.163120567
VAR2,3114,0.137254902
VAR2,3115,0.158083832
VAR2,3116,0.209177346
VAR2,3117,0.287829708
VAR9,3001,0.084745763
VAR9,3002,0.084244373
VAR9,3003,0.12592073
VAR9,3004,0.133116883
VAR9,3005,0.104719764
VAR9,3006,NA
VAR9,3007,0.11988012
VAR9,3008,0.141997593
VAR9,3009,0.21787234
VAR9,3010,0.088308458
VAR9,3011,0.066738428
VAR9,3012,0.164734594
VAR9,3013,0.141504178
VAR9,3014,0.052907995
VAR9,3015,0.246891652
VAR9,3016,0.042635659
VAR9,3017,0.057707204
VAR9,3018,0.145909646
VAR9,3019,NA
VAR9,3020,0.179872204
VAR9,3021,0.056827151
VAR9,3022,0.152616279
VAR9,3023,0.089010989
VAR9,3024,0.39180354
VAR9,3025,0.065504041
VAR9,3026,0.050544051
VAR9,3027,0.041786153
VAR9,3028,0.089328063
VAR9,3029,0.147085202
VAR9,3030,NA
VAR9,3031,0.134090909
VAR9,3032,0.095138889
VAR9,3033,0.02875817
VAR9,3034,0.072087659
VAR9,3035,0.091238671
VAR9,3036,0.089533417
VAR9,3037,0.05107832
VAR9,3038,0.046915725
VAR9,3039,0.084745763
VAR9,3040,0.132721713
VAR9,3041,0.106060606
VAR9,3042,NA
VAR9,3043,0.055740433
VAR9,3044,0.043188202
VAR9,3045,0.097031963
VAR9,3046,0.072772898
VAR9,3047,0.187099208
VAR9,3048,0.077832111
VAR9,3049,0.039848197
VAR9,3050,0.075471698
