name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,number_of_immigrants,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,number_of_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,number_of_refugees,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24
province_of_ontario_00000_3_8_percent,2510275,2510275,1,74.7,73.5,582760,0.23214986405871868,2493145,41360,2055730,37840,36.1,40840,39760,31.7,0,0,0,0,2510275,1,305115,0.12154644411468862,10015,0.003989594786238985,167415,0.06669176346861705,0.016830791784183438,42250,0.00923203786031837,23175,0.0065510620329206305,16445,1.015822936086811e-4,255,1089715,0.4341009767834664,0.010913125229058114,27395,0.030530519564589537,0.15991486786783654,76640,0.20627778574501648,517815,391045,0.15577744315375178,52455,0.1341405720569244,0,NA,0,NA,0,NA,100325,0.2963023125313801,34605,0.10220325467379426,197740,0.8343283896964199,14335,0.06048395603468281,14205,0.059935444399907174,1020,0.004303706672855003,9705,0.040948503196135105,0.08151726756819476,64535,0.025708287521710727,0,0
ottawa_census_division_3506_00000_3_1_percent,160435,160435,1,74.5,73,40090,0.2498831302396609,159415,48560,138140,48080,28.7,47240,48880,25.5,0,0,0,0,160435,1,15630,0.09742263221865553,2360,0.014710007168011968,7415,0.046218094555427434,0.014865833515130739,2385,0.007978308972481068,1280,0.005921401190513292,950,2.1815688596627918e-4,35,56250,0.3506092810172344,0.012247950883535388,1965,0.035092093371147194,0.21414986686953214,5630,0.18022875307757036,28915,24630,0.15352011718141303,2880,0.11693057247259439,0,NA,0,NA,0,NA,8425,0.3873563218390805,1765,0.08114942528735632,10065,0.7619227857683573,1240,0.09386828160484481,1060,0.08024224072672217,75,0.005677517032551098,775,0.05866767600302801,0.04844814534443603,18280,0.11394022501324524,0,0
ottawa_ons2022_admaston_bromley_3701_00000_3_2_percent,610,610,1,73,72.5,85,0.13934426229508196,605,38400,515,29400,42.4,36800,29700,38.8,0,0,0,0,610,1,35,0.05737704918032787,0,0,0,0,0.04132231404958678,25,0,0,0.03305785123966942,20,0,0,65,0.10743801652892562,0,0,0,NA,0,0.01652892561983471,10,110,0.18181818181818182,15,0.13636363636363635,0,NA,0,NA,0,NA,30,0.3157894736842105,10,0.10526315789473684,60,0.8571428571428571,0,0,10,0.14285714285714285,0,0,0,0,0,0,0,0,0
ottawa_ons2022_airport_3001_00000_6_7_percent,75,75,1,74,72.5,0,0,75,52000,65,48000,28,48000,50000,26,0,0,0,0,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0.6,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,0,0,0
ottawa_ons2022_akwesasne_part_59_3801_09999_0_0_percent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ottawa_ons2022_alfred_and_plantagenet_3601_00000_3_2_percent,1875,1875,1,73.6,72.5,445,0.23733333333333334,1870,35240,1505,26400,46.2,33880,28720,40.3,0,0,0,0,1870,1,270,0.1443850267379679,390,0.208,0,0,0.02666666666666667,50,0.016,30,0.008,15,0,0,125,0.06666666666666667,0,0,0.013333333333333334,0.5,25,0.008,15,250,0.13368983957219252,50,0.2,0,NA,0,NA,0,NA,60,0.2926829268292683,30,0.14634146341463414,125,0.8620689655172413,10,0.06896551724137931,10,0.06896551724137931,0,0,0,0,0.10344827586206896,1420,0.7573333333333333,0,0
ottawa_ons2022_alta_vista_3002_00000_2_8_percent,1520,1520,1,74.8,74,295,0.19407894736842105,1515,64600,1415,71700,19,61050,66300,17.9,0,0,0,0,1515,1,80,0.052805280528052806,0,0,35,0.0231023102310231,0.013201320132013201,20,0,0,0.009900990099009901,15,0,0,485,0.3201320132013201,0,0,0,0,0,0.10231023102310231,155,295,0.19471947194719472,15,0.05084745762711865,0,NA,0,NA,0,NA,135,0.48214285714285715,20,0.07142857142857142,95,0.6785714285714286,0,0,35,0.25,0,0,15,0.10714285714285714,0.10714285714285714,135,0.0891089108910891,0,0
ottawa_ons2022_arnprior_3702_00000_2_5_percent,2425,2425,1,74.9,73.5,715,0.2948453608247423,2425,38240,2070,28680,42.9,38160,30560,38.5,0,0,0,0,2425,1,385,0.15876288659793814,0,0,10,0.004123711340206186,0.020618556701030927,50,0.008247422680412371,20,0.010309278350515464,25,0,0,300,0.12371134020618557,0.004123711340206186,10,0.004123711340206186,0.2,10,0.018556701030927835,45,290,0.11958762886597939,35,0.1206896551724138,0,NA,0,NA,0,NA,75,0.28846153846153844,35,0.1346153846153846,170,0.918918918918919,0,0,0,0,0,0,0,0,0.08108108108108109,20,0.008247422680412371,0,0
ottawa_ons2022_bayshore_3003_00000_5_4_percent,1910,1910,1,74.8,74,655,0.34293193717277487,1900,35440,1340,30360,45.6,34640,32120,39.7,0,0,0,0,1910,1,335,0.17539267015706805,40,0.020942408376963352,150,0.078534031413612565,0.01832460732984293,35,0.013089005235602094,25,0,0,0,0,945,0.49476439790575916,0.01832460732984293,35,0.12303664921465969,0.38524590163934425,235,0.3481675392670157,665,235,0.12303664921465969,30,0.1276595744680851,0,NA,0,NA,0,NA,45,0.225,25,0.125,105,0.6774193548387096,35,0.22580645161290322,10,0.06451612903225806,0,0,0,0,0.12903225806451613,110,0.05759162303664921,0,0
ottawa_ons2022_beacon_hill_south_cardinal_heights_3004_00000_3_4_percent,1445,1445,1,75.1,73.5,460,0.31833910034602075,1435,41800,1200,37400,34.8,40360,37100,31.5,0,0,0,0,1445,1,160,0.11072664359861592,50,0.03460207612456748,50,0.03460207612456748,0.02422145328719723,35,0.010380622837370242,15,0.01384083044982699,20,0,0,505,0.3494809688581315,0.020761245674740483,30,0.05190311418685121,0.2542372881355932,75,0.23529411764705882,340,215,0.14878892733564014,30,0.13953488372093023,0,NA,0,NA,0,NA,25,0.1388888888888889,15,0.08333333333333333,85,0.6071428571428571,40,0.2857142857142857,10,0.07142857142857142,0,0,10,0.07142857142857142,0.07142857142857142,370,0.2560553633217993,0,0
