name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,number_of_immigrants,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,number_of_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,number_of_refugees,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,ONS_ID
ottawa_richmond_3074,25,0,0,38,49.2,0,0,15,70000,15,80000,NA,100000,120000,NA,0,0,15,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.6,0,0,0,0,0,1,25,15,1,0,0,0,0,15,1,15,1,10,0.6666666666666666,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3074
ottawa_navan_sarsfield_3076,35,0,0,27,18.2,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,10,0.2857142857142857,0,0,0,0,0,1,35,20,1,0,0,10,1,0,0,0,0,0,0,10,0.6666666666666666,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3076
ottawa_new_edinburgh_3077,45,10,0.2222222222222222,43,38,15,0.3333333333333333,50,74000,50,80000,11,70000,84000,5.2,0,0,35,0.7777777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.6,0,0,0.2222222222222222,0.5,10,1,50,30,0.6666666666666666,0,0,0,0,20,1,15,0.75,15,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.3333333333333333,3077
ottawa_north_gower_kars_3078,10,10,1,NA,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,0,NA,NA,0,0,NA,0,NA,0,0,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,0,3078
ottawa_old_barrhaven_east_3079,1910,70,0.03664921465968586,29.6,26.8,10,0.00523560209424083,1210,35900,960,37000,27,30550,36800,16.4,685,0.3586387434554974,1150,0.6020942408376964,70,0.03664921465968586,370,0.193717277486911,10,0.00523560209424083,95,0.04973821989528795,0,0,0,0,0,0,0,0,1270,0.6649214659685864,0.24607329842931935,470,0.225130890052356,0.3453815261044177,430,1,1910,900,0.6741573033707865,180,0.2,100,0.1092896174863388,810,0.8852459016393442,655,0.7158469945355191,295,0.4125874125874126,110,0.15384615384615383,365,0.8795180722891566,25,0.06024096385542168,10,0.02409638554216867,0,0,10,0.02409638554216867,0.04819277108433735,75,0.03926701570680628,355,0.18586387434554977,3079
ottawa_old_barrhaven_west_3080,1005,50,0.04975124378109453,29.5,27.4,20,0.01990049751243781,580,45600,500,52200,17.4,40800,51200,11.8,395,0.3930348258706467,560,0.5572139303482587,50,0.04975124378109453,200,0.19900497512437812,25,0.02487562189054726,30,0.02985074626865671,0,0,0,0,0,0,0,0,495,0.4925373134328358,0.11442786069651742,115,0.09950248756218906,0.21052631578947367,100,1,1005,445,0.664179104477612,55,0.12359550561797752,40,0.08247422680412371,450,0.9278350515463918,375,0.7731958762886598,115,0.2948717948717949,60,0.15384615384615383,245,0.9074074074074074,25,0.0925925925925926,0,0,0,0,0,0,0.03703703703703703,45,0.04477611940298507,140,0.13930348258706468,3080
ottawa_old_hunt_club_3081,1650,125,0.07575757575757576,31.9,28.8,55,0.03333333333333333,1100,34600,810,35700,33,30600,36600,21.7,535,0.3242424242424242,990,0.6,125,0.07575757575757576,390,0.23636363636363636,15,0.00909090909090909,75,0.04545454545454545,0,0,0,0,0,0,0,0,985,0.5969696969696969,0.13333333333333333,220,0.20606060606060608,0.3675675675675676,340,1,1650,640,0.5203252032520326,135,0.2109375,170,0.2073170731707317,650,0.7926829268292683,500,0.6097560975609756,165,0.32673267326732675,100,0.19801980198019803,285,0.8260869565217391,50,0.14492753623188406,0,0,0,0,0,0,0.02898550724637681,75,0.04545454545454545,290,0.17575757575757575,3081
ottawa_old_ottawa_east_3082,185,10,0.05405405405405406,31.3,31.2,25,0.13513513513513514,140,53000,125,61000,12.4,45000,61000,3.6,0,0,150,0.8108108108108109,0,0,60,0.32432432432432434,0,0,0,0,0,0,0,0,0,0,0,0,80,0.43243243243243246,0.16216216216216217,30,0.21621621621621623,0.5714285714285714,40,1,185,140,0.875,25,0.17857142857142858,0,0,115,0.9583333333333334,100,0.8333333333333334,65,0.5652173913043478,0,0,25,0.5555555555555556,15,0.3333333333333333,0,0,0,0,0,0,0,20,0.10810810810810811,30,0.16216216216216217,3082
ottawa_old_ottawa_south_3083,80,20,0.25,36.8,30.8,10,0.125,60,25000,40,19500,52,25000,30000,28,25,0.3125,35,0.4375,20,0.25,35,0.4375,0,0,0,0,0,0,0,0,0,0,0,0,55,0.6875,0.25,20,0.3125,0.5,25,1,80,25,0.38461538461538464,15,0.6,0,0,25,0.8333333333333334,25,0.8333333333333334,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,10,0.125,3083
ottawa_orleans_industrial_3084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3084
ottawa_orleans_village_chateauneuf_3085,500,40,0.08,35.9,34.8,15,0.03,375,44600,340,48800,16.8,40800,48400,10.6,125,0.25,330,0.66,40,0.08,0,0,15,0.0303030303030303,10,0.0202020202020202,0,0,0,0,0,0,0,0,300,0.6060606060606061,0.0707070707070707,35,0.04,0.07272727272727272,20,1,495,305,0.782051282051282,55,0.18032786885245905,25,0.09803921568627452,230,0.9019607843137256,175,0.6862745098039216,85,0.3333333333333333,55,0.21568627450980393,145,0.8529411764705882,15,0.08823529411764706,0,0,0,0,0,0,0.17647058823529413,90,0.18181818181818185,95,0.19,3085
ottawa_osgoode_vernon_3086,40,0,0,37,29.4,0,0,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,0,10,0.2857142857142857,0,0,0,0,0,0,0,0,30,0.75,0,0,0.5,0.6666666666666666,20,1,40,15,0.375,0,0,25,0.8333333333333334,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3086
ottawa_overbrook_3087,1795,220,0.12256267409470752,36.4,32.8,215,0.11977715877437324,1335,31760,875,33600,38,28520,34800,27.9,460,0.2562674094707521,1120,0.6239554317548747,215,0.11977715877437324,605,0.3370473537604457,30,0.01671309192200557,145,0.0807799442896936,0,0,0,0,0,0,0,0,1175,0.6545961002785515,0.17270194986072424,310,0.2395543175487465,0.4095238095238095,430,1,1795,685,0.47735191637630664,105,0.15328467153284672,235,0.2596685082872928,670,0.7403314917127072,505,0.5580110497237569,185,0.3217391304347826,100,0.17391304347826086,320,0.8311688311688312,45,0.11688311688311688,10,0.02597402597402597,0,0,0,0,0,165,0.09192200557103064,310,0.17270194986072424,3087
ottawa_parkwood_hills_3088,1045,20,0.01913875598086124,25.1,22.6,35,0.03349282296650718,595,29200,375,26200,46.8,23900,23600,40.8,440,0.42105263157894735,585,0.5598086124401914,20,0.01913875598086124,400,0.3827751196172249,10,0.00956937799043062,130,0.12440191387559808,0,0,0,0,0,0,0,0,775,0.7416267942583732,0.5263157894736842,550,0.5358851674641149,0.7272727272727273,560,1,1045,290,0.4496124031007752,60,0.20689655172413793,120,0.26666666666666666,330,0.7333333333333333,250,0.5555555555555556,40,0.17391304347826086,25,0.10869565217391304,115,0.6052631578947368,55,0.2894736842105263,10,0.05263157894736842,0,0,0,0,0.13157894736842105,30,0.02870813397129186,175,0.1674641148325359,3088
ottawa_pineview_3089,655,90,0.13740458015267176,38.8,37.6,20,0.03053435114503816,555,35800,480,34800,25.6,32800,37000,15.8,120,0.183206106870229,440,0.6717557251908397,90,0.13740458015267176,85,0.1297709923664122,20,0.03076923076923077,30,0.04615384615384615,0,0,0,0,0,0,0,0,465,0.7153846153846154,0.1153846153846154,75,0.26717557251908397,0.4268292682926829,175,1,650,385,0.6754385964912281,55,0.14285714285714285,80,0.25396825396825395,235,0.746031746031746,180,0.5714285714285714,110,0.3384615384615385,55,0.16923076923076924,210,0.9545454545454546,10,0.04545454545454545,0,0,0,0,0,0,0,35,0.05384615384615385,165,0.25190839694656486,3089
ottawa_playfair_park_guildwood_estates_3090,525,115,0.21904761904761905,41.6,38,20,0.0380952380952381,405,36800,290,42400,29,31400,39600,20.4,115,0.21904761904761905,300,0.5714285714285714,115,0.21904761904761905,150,0.2857142857142857,0,0,45,0.08571428571428572,0,0,0,0,0,0,0,0,355,0.6826923076923077,0.17307692307692307,90,0.17142857142857143,0.32142857142857145,90,1,520,220,0.5238095238095238,25,0.11363636363636365,60,0.21818181818181817,210,0.7636363636363637,175,0.6363636363636364,85,0.4473684210526316,25,0.13157894736842105,85,0.8095238095238095,10,0.09523809523809525,0,0,0,0,10,0.09523809523809525,0,15,0.02857142857142857,30,0.05714285714285714,3090
ottawa_portobello_south_3091,2170,160,0.07373271889400922,32.7,31.8,80,0.03686635944700461,1510,45600,1300,50680,18.2,40680,48500,12.3,680,0.31336405529953915,1330,0.6129032258064516,160,0.07373271889400922,225,0.10368663594470046,145,0.06666666666666667,50,0.02298850574712643,0,0,0,0,0,0,0,0,1400,0.6451612903225806,0.1152073732718894,250,0.10138248847926268,0.16417910447761194,220,1,2170,1110,0.6981132075471698,105,0.0945945945945946,95,0.08558558558558559,1015,0.9144144144144144,930,0.8378378378378378,410,0.4079601990049751,140,0.13930348258706468,535,0.9224137931034484,25,0.04310344827586207,0,0,0,0,10,0.01724137931034482,0.07758620689655173,495,0.2275862068965517,320,0.14746543778801843,3091
ottawa_qualicum_redwood_3092,110,0,0,22.8,16,10,0.09090909090909093,45,39000,35,30000,45,35000,36000,24,60,0.5454545454545454,45,0.4090909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0.5714285714285714,0.3333333333333333,35,0.3181818181818182,0.5833333333333334,35,1,105,25,0.4166666666666667,0,0,0,0,45,1,30,0.6666666666666666,15,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.09090909090909093,10,0.09090909090909093,3092
