name,total_population,percent_of_pop_that_are_seniors_65,number_of_seniors_65,average_age_of_the_population,median_age_of_the_population,number_of_children_living_in_one_parent_families,percent_of_children_living_in_one_parent_families,number_of_pop_living_alone,percent_of_pop_living_alone,average_after_tax_income_in_2020_among_recipients,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,number_of_pop_living_alone_i_e_1_person_household,average_household_size,number_of_owner_households,percent_of_owner_households,percent_of_renter_households,percent_of_households_living_in_core_housing_need,number_of_households_living_in_core_housing_need,percent_of_owner_households_in_core_housing_need,median_monthly_shelter_costs_for_owned_dwellings,average_monthly_shelter_costs_for_owned_dwellings,number_of_tenant_households,percent_of_tenant_households_living_in_subsidized_housing,percent_of_renter_households_in_core_housing_need,median_monthly_shelter_costs_for_rented_dwellings,average_monthly_shelter_costs_for_rented_dwellings,average_size_of_census_families,percent_of_census_families_that_are_one_parent_families,number_of_one_parent_families,percent_of_all_census_families_that_are_one_parent_families,average_number_of_children_in_census_families_with_children,average_after_tax_income_of_all_economic_families,average_after_tax_income_of_couple_with_children_economic_families,average_after_tax_income_of_one_parent_economic_families,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_pop_with_knowledge_of_neither_english_nor_french,number_of_people_with_knowledge_of_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_immigrants,number_of_immigrants,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,number_of_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,number_of_refugees,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,percent_in_the_labour_force_participation_rate,number_of_pop_in_labour_force,unemployment_rate,number_of_pop_unemployed,number_of_people_age_25_64_w_no_high_school_diploma_or_equivalent,percent_of_pop_age_25_64_with_no_high_school_diploma_or_equivalent,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,percent_of_pop_age_25_64_with_postsecondary_degree_diploma_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,percent_of_workers_who_commute_for_60_minutes_and_over,number_of_youth_age_15_24,percent_of_of_pop_that_are_youth_age_15_24,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,ONS_ID
airport_3001,295,0.254237288,75,50.6,54.8,25,0.3125,25,0.084745763,51600,65000,14.6,70500,105000,6.6,35,0.120689655,0,0,25,0.138888889,0,0,25,2.4,110,0.916666667,0.083333333,0.181818182,20,0,1010,1880,0,NA,NA,NA,NA,2.5,0.19047619,20,0.19047619,1.5,134000,NA,50000,0,0,0,0,0.068965517,20,0,0,0,0,0,0,0.344827586,100,0,0,0,0,0,0.189655172,55,0.517857143,145,0.068965517,10,25,0.15625,140,0.875,115,0.71875,40,40,10,10,75,0.789473684,0,0,10,0.105263158,0,0,0,0,0,40,0.13559322,0,0,3001
alta_vista_3002,7775,0.195498392,1520,42.4,43.6,325,0.144124169,655,0.084244373,64000,83800,8.6,63550,80700,6.2,390,0.050160772,60,0.038585209,245,0.05212766,85,0.056105611,655,2.5,2405,0.785947712,0.210784314,0.046979866,140,2.5,1370,1866,645,5.4,13.4,1470,1580,2.9,0.100656455,230,0.100656455,1.8,158000,172000,91000,65,0.008365508,0.007078507,55,0.009646302,75,0.003215434,25,0.006430868,50,0,0,0.206430868,1605,0.026366559,205,0.018649518,0.133027523,145,0.218649518,1700,0.652841782,4250,0.085882353,365,135,0.033877039,3850,0.966122961,3365,0.844416562,2060,2060,330,330,1365,0.756232687,120,0.066481994,180,0.099722992,55,0.030470914,85,0.047091413,0.019390582,1010,0.129903537,785,0.101029601,3002
bayshore_3003,14255,0.133988074,1910,37,33.2,1890,0.408648649,1795,0.12592073,37600,39040,24.8,33840,38440,17.3,2515,0.176429323,855,0.281713344,1325,0.142396561,340,0.178010471,1795,2.5,1395,0.243668122,0.756331878,0.240790656,1340,11.8,1000,1302,4330,14,28.1,1350,1328,3,0.273239437,970,0.273239437,2,81600,89000,63400,230,0.01613469,0.0298141,425,0.027709576,395,0.016836198,240,0.008067345,115,0.001403016,20,0.414591371,5910,0.134689583,1920,0.140652403,0.367552704,2005,0.605050859,8625,0.627249357,7320,0.162568306,1190,975,0.126131953,6755,0.873868047,5195,0.672056921,1915,1915,755,755,2890,0.687277051,965,0.229488704,205,0.048751486,35,0.008323424,100,0.023781213,0.077288942,2025,0.142055419,940,0.065941775,3003
beacon_hill_south_cardinal_heights_3004,7700,0.187662338,1445,41.3,40,720,0.319290466,1025,0.133116883,43720,46120,19.8,40720,46040,14.1,865,0.112337662,270,0.182432432,435,0.091004184,155,0.107266436,1020,2.4,2195,0.680620155,0.317829457,0.161137441,510,8.5,1260,1372,1025,7.3,32.7,1300,1364,2.9,0.225247525,455,0.225247525,1.8,98700,108000,72800,290,0.037662338,0.017532468,135,0.035064935,270,0.016883117,130,0.016233766,125,0,0,0.324675325,2500,0.099350649,765,0.096753247,0.334831461,745,0.417532468,3215,0.605283605,3895,0.114249037,445,455,0.111519608,3625,0.888480392,2755,0.675245098,1235,1235,385,385,1480,0.677345538,465,0.212814645,150,0.068649886,20,0.009153318,75,0.034324943,0.075514874,915,0.118831169,1775,0.230519481,3004
beaverbrook_3005,6780,0.220501475,1495,43.3,44,615,0.288056206,710,0.104719764,52100,58350,13.8,49160,57400,10.4,575,0.084870849,155,0.10877193,315,0.081606218,110,0.073578595,710,2.5,2035,0.73465704,0.26534296,0.110497238,300,6.9,1290,1456,730,12.3,23.2,1600,1516,2.9,0.209476309,420,0.209476309,1.7,116200,135000,76000,25,0.003687316,0.012536873,85,0.029520295,200,0.013284133,90,0.012546125,85,0,0,0.265682657,1800,0.065682657,445,0.036135693,0.173144876,245,0.260516605,1765,0.601941748,3410,0.104105572,355,150,0.044510386,3220,0.955489614,2640,0.783382789,1475,1475,270,270,1235,0.78913738,160,0.102236422,80,0.051118211,40,0.025559105,55,0.03514377,0.054313099,805,0.118731563,190,0.028023599,3005
beechwood_cemetery_3006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3006
bells_corners_east_3007,5005,0.218781219,1095,45.1,47.6,340,0.259541985,600,0.11988012,47200,51250,16.8,44200,49600,12.4,290,0.058,55,0.067484663,180,0.058064516,55,0.050458716,600,2.4,1795,0.842723005,0.15258216,0.078199052,165,4.5,800,1225,330,0,25,1550,1540,2.7,0.155932203,230,0.155932203,1.7,109500,124000,86000,0,0,0.005994006,30,0.037,185,0.017,85,0.018,90,0,0,0.178,890,0.028,140,0.021978022,0.170542636,110,0.174,870,0.613689095,2645,0.105860113,280,215,0.078754579,2525,0.924908425,2000,0.732600733,915,915,240,240,1190,0.826388889,135,0.09375,90,0.0625,0,0,25,0.017361111,0.038194444,490,0.097902098,100,0.01998002,3007
bells_corners_west_3008,4155,0.167268351,695,41.2,39.6,465,0.370517928,590,0.141997593,43040,45840,18.5,39000,44120,13.6,425,0.102286402,125,0.176056338,200,0.072727273,110,0.15942029,595,2.3,1295,0.709589041,0.290410959,0.136111111,245,7.5,1410,1336,530,34.9,28.6,1300,1240,2.8,0.299145299,350,0.299145299,1.6,95600,114000,67600,10,0.002406739,0.009626955,40,0.032490975,135,0.014440433,60,0.013237064,55,0.002406739,10,0.240673887,1000,0.045728039,190,0.055354994,0.26744186,230,0.279181709,1160,0.68,2380,0.100840336,240,260,0.109473684,2115,0.890526316,1525,0.642105263,720,720,195,195,1090,0.770318021,160,0.113074205,100,0.070671378,10,0.007067138,50,0.035335689,0.067137809,435,0.104693141,130,0.031287605,3008
billings_bridge_heron_park_3009,5875,0.176170213,1035,40.1,34.4,530,0.445378151,1280,0.21787234,39280,42760,21.3,35560,40840,14.6,1355,0.230834753,205,0.262820513,750,0.184501845,400,0.388349515,1275,2,960,0.323232323,0.678451178,0.18815331,540,7.3,1180,1404,2010,28.4,24.3,1120,1129,2.7,0.249056604,330,0.249056604,1.7,89700,108000,67500,85,0.014480409,0.023850085,140,0.039182283,230,0.015332198,90,0.014480409,85,0.008517888,50,0.277683135,1630,0.06132879,360,0.074042553,0.334615385,435,0.38330494,2250,0.62487946,3240,0.12808642,415,275,0.087719298,2860,0.912280702,2355,0.751196172,1200,1200,285,285,1070,0.660493827,340,0.209876543,130,0.080246914,10,0.00617284,65,0.040123457,0.037037037,1020,0.173617021,405,0.068994889,3009
blackburn_hamlet_3010,8040,0.208955224,1680,42.3,42.8,710,0.273076923,710,0.088308458,51300,55900,15.3,48760,56650,11.1,550,0.06840796,225,0.133531157,265,0.056745182,55,0.032738095,705,2.5,2410,0.760252366,0.239747634,0.100638978,315,3.8,1290,1426,760,11.2,29.7,1310,1304,2.9,0.188679245,450,0.188679245,1.8,114800,131000,70000,225,0.028002489,0.004355943,35,0.030472637,245,0.017412935,140,0.009950249,80,0,0,0.166666667,1340,0.027363184,220,0.036069652,0.297435897,290,0.195895522,1575,0.629375951,4135,0.093107618,385,325,0.080246914,3720,0.918518519,2950,0.728395062,1605,1605,290,290,1675,0.78271028,275,0.128504673,120,0.056074766,15,0.007009346,55,0.025700935,0.037383178,840,0.104477612,1255,0.156191661,3010
