name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,number_of_immigrants,percent_of_pop_that_are_immigrants,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,number_of_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,number_of_refugees,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,ONS_ID
ottawa_greenbelt_east_3050,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,0,NA,NA,0,NA,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,3050
ottawa_greenbelt_west_3051,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,0,NA,0,NA,0,0,NA,NA,0,NA,NA,0,NA,0,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,3051
ottawa_greenboro_east_3052,285,45,0.15789473684210523,46.2,52,45,0.15789473684210523,265,49600,250,58400,10.6,47200,57200,5.1,0,0,225,0.7894736842105263,45,0.15789473684210523,0,0,0,0,10,0.03508771929824561,0,0,0,0,0,0,0,0,190,0.6666666666666666,0,0,0,0,0,1,285,200,0.7407407407407407,20,0.1,25,0.1282051282051282,175,0.8974358974358975,155,0.7948717948717948,80,0.4444444444444444,15,0.08333333333333333,90,0.9,0,0,0,0,0,0,0,0,0,0,0,40,0.14035087719298245,3052
ottawa_greenboro_west_3053,150,40,0.26666666666666666,47.6,49.6,10,0.06666666666666667,130,45000,120,43000,19.5,43000,49000,10,0,0,100,0.6666666666666666,40,0.26666666666666666,0,0,0,0,10,0.06666666666666667,0,0,0,0,0,0,0,0,115,0.7666666666666667,0,0,0.06666666666666667,0.09523809523809525,10,1,150,90,0.6206896551724138,10,0.1111111111111111,10,0.125,70,0.875,60,0.75,30,0.375,0,0,30,0.6,10,0.2,0,0,0,0,0,0,0,0,0,25,0.16666666666666666,3053
ottawa_hawthorn_meadows_sheffield_glen_3054,105,20,0.1904761904761905,38.8,42.4,20,0.1904761904761905,80,31000,50,33000,40,33000,35000,26,35,0.3333333333333333,50,0.47619047619047616,0,0,0,0,0,0,20,0.1904761904761905,0,0,0,0,0,0,0,0,65,0.6190476190476191,0,0,0,0,0,1,105,30,0.375,0,0,0,0,45,0.9,20,0.4,15,0.5,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3054
ottawa_hintonburg_mechanicsville_3055,365,55,0.1506849315068493,39,34.8,120,0.3287671232876712,315,57200,285,67500,11.4,48400,58400,7.4,50,0.136986301369863,260,0.7123287671232876,55,0.1506849315068493,55,0.1506849315068493,0,0,55,0.1506849315068493,0,0,0,0,0,0,0,0,160,0.4383561643835616,0,0,0,0,0,1,365,235,0.734375,30,0.1276595744680851,10,0.04761904761904761,205,0.9761904761904762,195,0.9285714285714286,120,0.5714285714285714,0,0,55,0.6111111111111112,25,0.2777777777777778,0,0,0,0,0,0,0,0,0,55,0.1506849315068493,3055
ottawa_hunt_club_park_3056,335,120,0.3582089552238806,53.3,58.8,20,0.05970149253731343,315,39600,285,62400,15.6,48400,59200,11,0,0,195,0.582089552238806,120,0.3582089552238806,0,0,0,0,35,0.1044776119402985,0,0,0,0,0,0,0,0,240,0.7164179104477612,0.05970149253731343,20,0.02985074626865671,0.05405405405405406,10,1,335,155,0.484375,0,0,15,0.07894736842105263,170,0.8947368421052632,150,0.7894736842105263,65,0.41935483870967744,0,0,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3056
ottawa_industrial_east_3057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3057
ottawa_iris_3058,230,45,0.1956521739130435,40.8,34.8,20,0.08695652173913043,180,35600,165,35200,18.5,33600,37200,13.2,35,0.15217391304347827,155,0.6739130434782609,45,0.1956521739130435,40,0.17391304347826086,0,0,10,0.04347826086956521,0,0,0,0,0,0,0,0,110,0.46808510638297873,0,0,0.04347826086956521,0.13333333333333333,10,1,235,130,0.6190476190476191,20,0.15384615384615383,15,0.1153846153846154,110,0.8461538461538461,85,0.6538461538461539,45,0.4090909090909091,0,0,45,0.75,10,0.16666666666666666,0,0,0,0,0,0,0,0,0,35,0.15217391304347827,3058
ottawa_island_park_wellington_village_3059,160,15,0.09375,35,26.2,15,0.09375,105,71000,105,84000,4.2,64000,76000,3.8,65,0.40625,80,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0.375,0,0,0,0,0,1,160,85,0.68,0,0,0,0,70,1,65,0.9285714285714286,50,0.5882352941176471,0,0,15,0.42857142857142855,0,0,10,0.2857142857142857,0,0,0,0,0,10,0.0625,40,0.25,3059
