name,total_population,number_of_seniors_age_65,percent_of_pop_that_are_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_who_know_neither_english_nor_french,percent_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,number_of_pop_in_labour_force,percent_of_pop_in_labour_force_participation_rate,number_of_pop_unemployed,unemployment_rate,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,ONS_ID
ottawa_cardinal_creek_3017,1550,75,0.04838709677419355,31.9,27.4,30,0.01935483870967742,1120,47100,1055,50200,13.5,42700,49700,7.7,0,0,10,0.0064516129032258,0,0,0,0,0,0,0,0,1,1550,930,0.788135593220339,110,0.11827956989247312,50,0.0641025641025641,730,0.935897435897436,635,0.8141025641025641,220,0.26993865030674846,65,0.07975460122699386,0.1206896551724138,780,0.5032258064516129,325,0.20967741935483872,3017
ottawa_carleton_heights_courtland_park_3018,630,45,0.07142857142857142,28.9,23.8,55,0.0873015873015873,420,34800,365,32800,28.4,32600,37800,15.7,145,0.23015873015873017,10,0.01587301587301587,0,0,0,0,0,0,0,0,1,630,325,0.7065217391304348,85,0.26153846153846155,30,0.12244897959183672,215,0.8775510204081632,160,0.6530612244897959,50,0.21739130434782608,40,0.17391304347826086,0.1388888888888889,175,0.2777777777777778,165,0.2619047619047619,3018
ottawa_carleton_university_3019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3019
ottawa_carlington_3020,2540,70,0.02755905511811023,27.1,23.6,265,0.10433070866141732,1445,35080,1155,30550,36.1,29000,28150,26.9,790,0.3110236220472441,55,0.02165354330708661,0,0,0,0,0,0,0,0,1,2540,970,0.5950920245398773,155,0.15979381443298968,210,0.18340611353711792,930,0.8122270742358079,685,0.5982532751091703,160,0.196319018404908,135,0.1656441717791411,0.08527131782945736,510,0.20078740157480315,420,0.16535433070866143,3020
ottawa_carp_3021,100,10,0.1,34.8,36.4,0,0,75,48000,75,56000,12,42000,50000,5,0,0,0,0,0,0,0,0,0,0,0,0,1,100,65,0.8125,0,0,0,0,50,1,40,0.8,15,0.2307692307692308,0,0,0,0,0,15,0.15,3021
ottawa_carson_grove_carson_meadows_3022,1655,105,0.0634441087613293,31.4,27,120,0.07250755287009064,1140,36300,985,32500,30.1,32800,32600,21,325,0.19637462235649547,20,0.0120845921450151,0,0,0,0,0,0,0,0,1,1655,835,0.6600790513833992,120,0.1437125748502994,55,0.07096774193548387,720,0.9290322580645162,570,0.7354838709677419,190,0.26573426573426573,70,0.0979020979020979,0.11650485436893204,800,0.48338368580060426,380,0.229607250755287,3022
ottawa_centrepointe_briargreen_3023,380,30,0.07894736842105263,30,24.8,10,0.02631578947368421,275,36000,230,36000,26.4,30400,32800,14,50,0.13157894736842105,0,0,0,0,0,0,0,0,0,0,1,380,205,0.7068965517241379,55,0.2682926829268293,25,0.16129032258064516,130,0.8387096774193549,95,0.6129032258064516,40,0.25806451612903225,35,0.2258064516129032,0.08695652173913043,60,0.15789473684210523,110,0.2894736842105263,3023
ottawa_centretown_3024,1810,85,0.04696132596685083,33.1,31.2,740,0.4088397790055249,1425,39120,1205,42300,20.7,34040,40400,12.6,600,0.3314917127071823,0,0,0,0,0,0,0,0,0,0,1,1805,1100,0.7357859531772575,175,0.1590909090909091,120,0.10619469026548672,1005,0.8893805309734514,815,0.7212389380530974,400,0.43478260869565216,85,0.09239130434782608,0.0588235294117647,475,0.2631578947368421,280,0.15469613259668508,3024
ottawa_chapel_hill_north_3025,995,70,0.07035175879396985,32.6,29.4,40,0.04020100502512563,660,46700,595,49400,17.6,43000,48600,12.2,90,0.09045226130653268,0,0,0,0,0,0,0,0,0,0,1,995,515,0.7152777777777778,60,0.11650485436893204,30,0.0625,450,0.9375,365,0.7604166666666666,130,0.2857142857142857,50,0.10989010989010987,0.078125,555,0.5577889447236181,170,0.1708542713567839,3025
ottawa_chapel_hill_south_3026,1780,90,0.05056179775280899,32.3,29.4,55,0.03089887640449438,1300,45040,1195,49700,13.8,41500,49300,7.5,85,0.04775280898876404,0,0,0,0,0,0,0,0,0,0,1,1775,1060,0.7653429602888087,115,0.10849056603773584,25,0.0273224043715847,890,0.9726775956284152,785,0.8579234972677595,360,0.380952380952381,105,0.1111111111111111,0.11304347826086956,860,0.48450704225352115,370,0.20786516853932585,3026
