ONS_ID,name,value,value_rounded
3094,food_convenience_dist_closest_3_popwt,1.616,1.62
3095,food_convenience_dist_closest_3_popwt,0.928,0.93
3097,food_convenience_dist_closest_3_popwt,1.211,1.21
3098,food_convenience_dist_closest_3_popwt,2.022,2.02
3099,food_convenience_dist_closest_3_popwt,1.963,1.96
3100,food_convenience_dist_closest_3_popwt,1.879,1.88
3101,food_convenience_dist_closest_3_popwt,0.98,0.98
3102,food_convenience_dist_closest_3_popwt,0.975,0.98
3103,food_convenience_dist_closest_3_popwt,1.066,1.07
3104,food_convenience_dist_closest_3_popwt,0.359,0.36
3105,food_convenience_dist_closest_3_popwt,0.921,0.92
3106,food_convenience_dist_closest_3_popwt,1.837,1.84
3107,food_convenience_dist_closest_3_popwt,2.362,2.36
3108,food_convenience_dist_closest_3_popwt,1.485,1.49
3109,food_convenience_dist_closest_3_popwt,2.549,2.55
3110,food_convenience_dist_closest_3_popwt,1.845,1.84
3111,food_convenience_dist_closest_3_popwt,0.384,0.38
3112,food_convenience_dist_closest_3_popwt,0.347,0.35
3113,food_convenience_dist_closest_3_popwt,5.06,5.06
3114,food_convenience_dist_closest_3_popwt,0.977,0.98
3115,food_convenience_dist_closest_3_popwt,0.341,0.34
3116,food_convenience_dist_closest_3_popwt,1.097,1.1
3117,food_convenience_dist_closest_3_popwt,1.064,1.06
0,food_convenience_pct_within_15_mins,0.771,0.77
3001,food_convenience_pct_within_15_mins,0.616,0.62
3002,food_convenience_pct_within_15_mins,0.723,0.72
3003,food_convenience_pct_within_15_mins,0.999,1
3004,food_convenience_pct_within_15_mins,0.992,0.99
3005,food_convenience_pct_within_15_mins,0.95,0.95
3006,food_convenience_pct_within_15_mins,NA,NA
3007,food_convenience_pct_within_15_mins,0.924,0.92
3008,food_convenience_pct_within_15_mins,0.839,0.84
3009,food_convenience_pct_within_15_mins,1,1
3010,food_convenience_pct_within_15_mins,0.931,0.93
3011,food_convenience_pct_within_15_mins,1,1
3012,food_convenience_pct_within_15_mins,0.984,0.98
3013,food_convenience_pct_within_15_mins,0.989,0.99
3014,food_convenience_pct_within_15_mins,0.901,0.9
3015,food_convenience_pct_within_15_mins,1,1
3016,food_convenience_pct_within_15_mins,0.565,0.56
3017,food_convenience_pct_within_15_mins,0.736,0.74
3018,food_convenience_pct_within_15_mins,1,1
3019,food_convenience_pct_within_15_mins,NA,NA
3020,food_convenience_pct_within_15_mins,1,1
3021,food_convenience_pct_within_15_mins,0.202,0.2
3022,food_convenience_pct_within_15_mins,0.913,0.91
3023,food_convenience_pct_within_15_mins,0.88,0.88
3024,food_convenience_pct_within_15_mins,1,1
3025,food_convenience_pct_within_15_mins,0.8,0.8
3026,food_convenience_pct_within_15_mins,0.25,0.25
3027,food_convenience_pct_within_15_mins,0.737,0.74
3028,food_convenience_pct_within_15_mins,1,1
3029,food_convenience_pct_within_15_mins,1,1
3030,food_convenience_pct_within_15_mins,NA,NA
3031,food_convenience_pct_within_15_mins,0.491,0.49
3032,food_convenience_pct_within_15_mins,0.793,0.79
3033,food_convenience_pct_within_15_mins,0.011,0.01
3034,food_convenience_pct_within_15_mins,0.903,0.9
3035,food_convenience_pct_within_15_mins,0.9,0.9
3036,food_convenience_pct_within_15_mins,0.848,0.85
3037,food_convenience_pct_within_15_mins,0.109,0.11
3038,food_convenience_pct_within_15_mins,0.133,0.13
3039,food_convenience_pct_within_15_mins,0.034,0.03
3040,food_convenience_pct_within_15_mins,0.962,0.96
3041,food_convenience_pct_within_15_mins,1,1
3042,food_convenience_pct_within_15_mins,NA,NA
3043,food_convenience_pct_within_15_mins,0.704,0.7
3044,food_convenience_pct_within_15_mins,0.613,0.61
3045,food_convenience_pct_within_15_mins,0.911,0.91
3046,food_convenience_pct_within_15_mins,0.218,0.22
3047,food_convenience_pct_within_15_mins,1,1
3048,food_convenience_pct_within_15_mins,0.645,0.64
3049,food_convenience_pct_within_15_mins,0.174,0.17
3050,food_convenience_pct_within_15_mins,0.77,0.77
3051,food_convenience_pct_within_15_mins,0,0
3052,food_convenience_pct_within_15_mins,1,1
3053,food_convenience_pct_within_15_mins,1,1
3054,food_convenience_pct_within_15_mins,0.99,0.99
3055,food_convenience_pct_within_15_mins,1,1
3056,food_convenience_pct_within_15_mins,0.981,0.98
3057,food_convenience_pct_within_15_mins,NA,NA
3058,food_convenience_pct_within_15_mins,1,1
3059,food_convenience_pct_within_15_mins,0.881,0.88
3060,food_convenience_pct_within_15_mins,0.432,0.43
3061,food_convenience_pct_within_15_mins,0.819,0.82
3062,food_convenience_pct_within_15_mins,0.04,0.04
3063,food_convenience_pct_within_15_mins,0.936,0.94
3064,food_convenience_pct_within_15_mins,NA,NA
3065,food_convenience_pct_within_15_mins,1,1
3066,food_convenience_pct_within_15_mins,0.332,0.33
3067,food_convenience_pct_within_15_mins,1,1
3068,food_convenience_pct_within_15_mins,1,1
3069,food_convenience_pct_within_15_mins,1,1
3070,food_convenience_pct_within_15_mins,0.281,0.28
3071,food_convenience_pct_within_15_mins,0,0
3072,food_convenience_pct_within_15_mins,0.395,0.4
3073,food_convenience_pct_within_15_mins,0.23,0.23
3074,food_convenience_pct_within_15_mins,0.409,0.41
3075,food_convenience_pct_within_15_mins,0,0
3076,food_convenience_pct_within_15_mins,0.291,0.29
3077,food_convenience_pct_within_15_mins,1,1
3078,food_convenience_pct_within_15_mins,0.097,0.1
3079,food_convenience_pct_within_15_mins,1,1
3080,food_convenience_pct_within_15_mins,0.925,0.92
3081,food_convenience_pct_within_15_mins,0.955,0.96
3082,food_convenience_pct_within_15_mins,1,1
3083,food_convenience_pct_within_15_mins,1,1
3084,food_convenience_pct_within_15_mins,NA,NA
3085,food_convenience_pct_within_15_mins,0.881,0.88
3086,food_convenience_pct_within_15_mins,0.397,0.4
3087,food_convenience_pct_within_15_mins,0.955,0.96
3088,food_convenience_pct_within_15_mins,1,1
3089,food_convenience_pct_within_15_mins,1,1
3090,food_convenience_pct_within_15_mins,0.975,0.98
3091,food_convenience_pct_within_15_mins,0.415,0.42
3092,food_convenience_pct_within_15_mins,0.693,0.69
3093,food_convenience_pct_within_15_mins,0.945,0.94
3094,food_convenience_pct_within_15_mins,0.756,0.76
3095,food_convenience_pct_within_15_mins,0.985,0.98
3097,food_convenience_pct_within_15_mins,0.967,0.97
3098,food_convenience_pct_within_15_mins,0.059,0.06
3099,food_convenience_pct_within_15_mins,0.278,0.28
3100,food_convenience_pct_within_15_mins,0.749,0.75
3101,food_convenience_pct_within_15_mins,0.863,0.86
3102,food_convenience_pct_within_15_mins,0.892,0.89
3103,food_convenience_pct_within_15_mins,0.751,0.75
3104,food_convenience_pct_within_15_mins,1,1
3105,food_convenience_pct_within_15_mins,1,1
3106,food_convenience_pct_within_15_mins,0.608,0.61
3107,food_convenience_pct_within_15_mins,0.112,0.11
3108,food_convenience_pct_within_15_mins,0.809,0.81
3109,food_convenience_pct_within_15_mins,0.481,0.48
3110,food_convenience_pct_within_15_mins,0.256,0.26
3111,food_convenience_pct_within_15_mins,1,1
3112,food_convenience_pct_within_15_mins,1,1
3113,food_convenience_pct_within_15_mins,0,0
3114,food_convenience_pct_within_15_mins,1,1
3115,food_convenience_pct_within_15_mins,1,1
3116,food_convenience_pct_within_15_mins,0.92,0.92
3117,food_convenience_pct_within_15_mins,0.817,0.82
0,food_fastfood_num_region_plus_buffer,1549,1549
3001,food_fastfood_num_region_plus_buffer,14,14
3002,food_fastfood_num_region_plus_buffer,26,26
3003,food_fastfood_num_region_plus_buffer,39,39
3004,food_fastfood_num_region_plus_buffer,27,27
3005,food_fastfood_num_region_plus_buffer,1,1
3006,food_fastfood_num_region_plus_buffer,3,3
3007,food_fastfood_num_region_plus_buffer,15,15
3008,food_fastfood_num_region_plus_buffer,9,9
3009,food_fastfood_num_region_plus_buffer,37,37
3010,food_fastfood_num_region_plus_buffer,5,5
3011,food_fastfood_num_region_plus_buffer,7,7
3012,food_fastfood_num_region_plus_buffer,10,10
3013,food_fastfood_num_region_plus_buffer,5,5
3014,food_fastfood_num_region_plus_buffer,7,7
3015,food_fastfood_num_region_plus_buffer,18,18
3016,food_fastfood_num_region_plus_buffer,22,22
3017,food_fastfood_num_region_plus_buffer,8,8
3018,food_fastfood_num_region_plus_buffer,9,9
3019,food_fastfood_num_region_plus_buffer,30,30
3020,food_fastfood_num_region_plus_buffer,23,23
3021,food_fastfood_num_region_plus_buffer,8,8
3022,food_fastfood_num_region_plus_buffer,22,22
3023,food_fastfood_num_region_plus_buffer,16,16
3024,food_fastfood_num_region_plus_buffer,212,212
3025,food_fastfood_num_region_plus_buffer,14,14
3026,food_fastfood_num_region_plus_buffer,19,19
3027,food_fastfood_num_region_plus_buffer,6,6
3028,food_fastfood_num_region_plus_buffer,44,44
3029,food_fastfood_num_region_plus_buffer,5,5
3030,food_fastfood_num_region_plus_buffer,31,31
3031,food_fastfood_num_region_plus_buffer,2,2
3032,food_fastfood_num_region_plus_buffer,22,22
3033,food_fastfood_num_region_plus_buffer,0,0
3034,food_fastfood_num_region_plus_buffer,3,3
3035,food_fastfood_num_region_plus_buffer,23,23
3036,food_fastfood_num_region_plus_buffer,0,0
3037,food_fastfood_num_region_plus_buffer,1,1
