name,ONS_ID,total_population,percent_of_pop_that_are_seniors_age_65,number_of_seniors_age_65,average_age_of_the_population,median_age_of_the_population,number_of_people_living_alone,percent_of_people_living_alone,number_of_after_tax_income_recipients_age_15,average_after_tax_income_in_2020_among_recipients,number_of_market_income_recipients_age_15,average_market_income_in_2020_among_recipients,percent_of_income_from_government_transfers_2020,average_after_tax_income_in_2019_among_recipients,average_market_income_in_2019_among_recipients,percent_of_income_from_government_transfers_2019,number_of_people_in_low_income_based_on_lim_at,percent_of_people_in_low_income_based_on_lim_at,number_of_people_0_17_in_low_income_based_on_lim_at,percent_of_people_0_17_in_low_income_based_on_lim_at,number_of_people_18_64_in_low_income_based_on_lim_at,percent_of_people_18_64_in_low_income_based_on_lim_at,number_of_people_65_in_low_income_based_on_lim_at,percent_of_people_65_in_low_income_based_on_lim_at,number_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_with_knowledge_of_only_french_as_an_official_language,percent_of_people_who_know_neither_english_nor_french,number_of_people_who_know_neither_english_nor_french,percent_of_pop_that_are_indigenous,number_of_people_who_are_indigenous,percent_of_pop_that_are_fn,number_of_people_who_are_fn,percent_of_pop_that_are_metis,number_of_people_who_are_metis,percent_of_pop_that_are_inuit,number_of_people_who_are_inuit,percent_of_pop_that_are_immigrants,number_of_immigrants,percent_of_pop_that_are_recent_immigrants_arr_2016_2021,number_of_recent_immigrants_arr_2016_2021,percent_of_pop_that_are_refugees,percent_of_immigrants_that_are_refugees,number_of_refugees,percent_of_pop_that_are_visible_minority,number_of_people_who_are_visible_minority,percent_of_pop_in_labour_force_participation_rate,number_of_pop_in_labour_force,unemployment_rate,number_of_pop_unemployed,number_of_people_age_25_64_with_no_high_school_diploma,percent_of_people_age_25_64_with_no_high_school_diploma,number_of_people_age_25_64_with_a_high_school_diploma,percent_of_people_age_25_64_with_a_high_school_diploma,number_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,percent_of_people_age_25_64_with_a_postsecondary_degree_diploma_or_certificate,number_of_workers_age_15_who_work_at_home,percent_of_workers_age_15_who_work_at_home,number_of_workers_age_15_who_have_no_fixed_workplace_address,percent_of_workers_age_15_who_have_no_fixed_workplace_address,number_of_workers_age_15_who_commute_by_car_truck_or_van,percent_of_workers_age_15_who_commute_by_car_truck_or_van,number_of_workers_age_15_who_commute_by_public_transit,percent_of_workers_age_15_who_commute_by_public_transit,number_of_workers_age_15_who_commute_by_walking,percent_of_workers_age_15_who_commute_by_walking,number_of_workers_age_15_who_commute_by_bicycle,percent_of_workers_age_15_who_commute_by_bicycle,number_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_by_other_means,percent_of_workers_age_15_who_commute_for_60_minutes_and_over,number_of_youth_age_15_24,percent_of_pop_that_are_youth_age_15_24,number_of_people_with_french_as_a_language_most_spoken_at_home,percent_of_people_with_french_as_a_language_most_spoken_at_home,pop,,,,,,,,,,,,,,,,,,,,,,,,,,,
bells_corners_west_3008,3008,4155,0.167268351,695,41.2,39.6,590,0.141997593,3425,43040,3020,45840,18.5,39000,44120,13.6,425,0.102286402,125,0.176056338,200,0.072727273,110,0.15942029,10,0.002406739,0.009626955,40,0.032490975,135,0.014440433,60,0.013237064,55,0.002406739,10,0.240673887,1000,0.045728039,190,0.055354994,0.26744186,230,0.279181709,1160,0.68,2380,0.100840336,240,260,0.109473684,2115,0.890526316,1525,0.642105263,720,0.337236534,195,0.091334895,1090,0.770318021,160,0.113074205,100,0.070671378,10,0.007067138,50,0.035335689,0.067137809,435,0.104693141,130,0.031287605,general,,,,,,,,,,,,,,,,,,,,,,,,,,,
billings_bridge_heron_park_3009,3009,5875,0.176170213,1035,40.1,34.4,1280,0.21787234,5070,39280,4270,42760,21.3,35560,40840,14.6,1355,0.230834753,205,0.262820513,750,0.184501845,400,0.388349515,85,0.014480409,0.023850085,140,0.039182283,230,0.015332198,90,0.014480409,85,0.008517888,50,0.277683135,1630,0.06132879,360,0.074042553,0.334615385,435,0.38330494,2250,0.62487946,3240,0.12808642,415,275,0.087719298,2860,0.912280702,2355,0.751196172,1200,0.425531915,285,0.10106383,1070,0.660493827,340,0.209876543,130,0.080246914,10,0.00617284,65,0.040123457,0.037037037,1020,0.173617021,405,0.068994889,general,,,,,,,,,,,,,,,,,,,,,,,,,,,
blackburn_hamlet_3010,3010,8040,0.208955224,1680,42.3,42.8,710,0.088308458,6305,51300,5850,55900,15.3,48760,56650,11.1,550,0.06840796,225,0.133531157,265,0.056745182,55,0.032738095,225,0.028002489,0.004355943,35,0.030472637,245,0.017412935,140,0.009950249,80,0,0,0.166666667,1340,0.027363184,220,0.036069652,0.297435897,290,0.195895522,1575,0.629375951,4135,0.093107618,385,325,0.080246914,3720,0.918518519,2950,0.728395062,1605,0.428,290,0.077333333,1675,0.78271028,275,0.128504673,120,0.056074766,15,0.007009346,55,0.025700935,0.037383178,840,0.104477612,1255,0.156191661,general,,,,,,,,,,,,,,,,,,,,,,,,,,,
blossom_park_timbermill_3011,3011,9290,0.128094726,1190,38.8,38.8,620,0.066738428,7125,48960,6465,54300,16,45560,53500,10.7,730,0.078579117,305,0.142191142,370,0.062132662,50,0.042194093,105,0.011308562,0.01992461,185,0.015069968,140,0.006458558,60,0.008073197,75,0,0,0.299784715,2785,0.06350915,590,0.08934338,0.359307359,830,0.428955867,3985,0.652402897,4955,0.120080727,595,505,0.099019608,4600,0.901960784,3470,0.680392157,1490,0.342135476,485,0.111366246,2400,0.842105263,265,0.092982456,75,0.026315789,15,0.005263158,100,0.035087719,0.047368421,1300,0.139935414,875,0.094238018,general,,,,,,,,,,,,,,,,,,,,,,,,,,,
borden_farm_fisher_glen_3012,3012,8195,0.295302013,2420,47.6,49.2,1350,0.164734594,7050,48920,6535,53050,16.2,46680,53150,13,725,0.088414634,80,0.071748879,340,0.072961373,305,0.125773196,20,0.002439024,0.017073171,140,0.026829268,220,0.016463415,135,0.007926829,65,0.001829268,15,0.251829268,2065,0.025,205,0.021354484,0.147058824,175,0.242073171,1985,0.54564173,3975,0.105660377,420,180,0.045112782,3805,0.953634085,3070,0.769423559,1570,0.442253521,330,0.092957746,1585,0.800505051,180,0.090909091,95,0.047979798,40,0.02020202,85,0.042929293,0.035353535,875,0.106772422,330,0.040243902,general,,,,,,,,,,,,,,,,,,,,,,,,,,,
braemar_park_belair_heights_copeland_park_3013,3013,8975,0.202785515,1820,42.4,39.6,1270,0.141504178,7545,47200,6895,51550,15.8,44920,51850,11.3,655,0.072980501,85,0.060714286,430,0.074652778,140,0.077134986,35,0.00389755,0.008351893,75,0.025069638,225,0.00724234,65,0.013370474,120,0,0,0.208913649,1875,0.041225627,370,0.032311978,0.21402214,290,0.237883008,2135,0.633269107,4930,0.11663286,575,365,0.075569358,4465,0.924430642,3620,0.749482402,1705,0.391504018,445,0.102181401,1990,0.753787879,385,0.145833333,140,0.053030303,70,0.026515152,50,0.018939394,0.039772727,1140,0.127019499,465,0.051781737,general,,,,,,,,,,,,,,,,,,,,,,,,,,,
bridlewood_emerald_meadows_3014,3014,25705,0.123127796,3165,38.3,39.2,1360,0.052907995,19720,55800,18450,66200,10.2,53300,65300,7,1175,0.045719844,350,0.0562249,660,0.04045357,165,0.052132701,135,0.005251897,0.014005057,360,0.020428016,525,0.012256809,315,0.007976654,205,0,0,0.263618677,6775,0.038521401,990,0.039291967,0.173241852,1010,0.295136187,7585,0.716360116,14800,0.089527027,1325,520,0.036827195,13605,0.963526912,11655,0.825424929,6560,0.486827458,870,0.064564007,6040,0.874728458,355,0.05141202,230,0.033309196,30,0.004344678,250,0.036205648,0.044170891,3375,0.131297413,1185,0.046099981,general,,,,,,,,,,,,,,,,,,,,,,,,,,,
britannia_3015,3015,8445,0.229129663,1935,44.1,42.4,2085,0.246891652,7070,42800,6085,45480,21.7,39640,44760,16.5,1445,0.171208531,325,0.255905512,855,0.163323782,265,0.136950904,140,0.016587678,0.015402844,130,0.027251185,230,0.008293839,70,0.014810427,125,0.001777251,15,0.307464455,2595,0.07049763,595,0.095914742,0.394160584,810,0.33471564,2825,0.567951318,4200,0.138095238,580,520,0.115299335,3995,0.885809313,3090,0.685144124,1435,0.396957123,375,0.10373444,1400,0.642201835,510,0.233944954,175,0.080275229,25,0.01146789,65,0.029816514,0.052752294,940,0.111308467,650,0.077014218,general,,,,,,,,,,,,,,,,,,,,,,,,,,,
brookside_briarbrook_morgans_grant_3016,3016,15480,0.090439276,1400,35.9,37.2,660,0.042635659,11305,54200,10450,65600,9.8,50920,63850,6.3,820,0.052988691,320,0.074505239,405,0.041411043,100,0.071428571,90,0.005815832,0.018739903,290,0.020348837,315,0.011950904,185,0.007428941,115,0,0,0.367571059,5690,0.064922481,1005,0.055232558,0.161473088,855,0.495801034,7675,0.716847373,8595,0.092495637,795,180,0.021415824,8225,0.978584176,7035,0.837001785,3900,0.500320718,555,0.071199487,3260,0.840206186,215,0.055412371,225,0.057989691,40,0.010309278,140,0.036082474,0.067010309,2180,0.140826873,830,0.053634895,general,,,,,,,,,,,,,,,,,,,,,,,,,,,
cardinal_creek_3017,3017,12910,0.116576297,1505,38,39.2,745,0.057707204,9950,56300,9455,64900,10.2,54000,64700,7.1,285,0.02207591,95,0.030015798,140,0.016979988,50,0.033333333,360,0.02788536,0.005034857,65,0.03020914,390,0.01045701,135,0.016653757,215,7.75E-04,10,0.198295895,2560,0.01859024,240,0.03601859,0.208988764,465,0.283113865,3655,0.718629344,7445,0.080591001,600,305,0.043140028,6765,0.956859972,5590,0.790664781,3100,0.452885318,470,0.068663258,3175,0.854643338,305,0.082099596,110,0.02960969,20,0.00538358,105,0.028263795,0.068640646,1795,0.139039504,4045,0.313323005,general,,,,,,,,,,,,,,,,,,,,,,,,,,,
