VAR2,VAR9,VAR14,VAR17,VAR19,VAR21,VAR23,VAR25,VAR50,VAR51,VAR53,VAR55,VAR57,VAR59,VAR61,VAR63,VAR65,VAR66,VAR68,VAR70,VAR72,VAR75,VAR77,VAR79,VAR81,VAR83,VAR85,VAR87,VAR89,VAR91,VAR93,VAR94,VAR96,VAR98,VAR5,VAR4,VAR11,VAR13,VAR15,VAR16
0,0.076023392,29.4,6.5,0.196480938,0.11143695,0.891495601,0,0,0,0.035087719,0.020467836,0.00877193,0,0.108187135,0.01754386,0.029239766,0.27027027,0.432748538,0.706744868,0.265560166,NA,NA,NA,0.272727273,0.102272727,0.637795276,0.25984252,0.047244094,0.023622047,0.023622047,0.039370079,0.997076023,0.035087719,21.4,21.3,21180,17160,15620,16500
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0.077889447,32.3,10,0.175879397,0.226130653,0.77638191,0,0.025062657,0,0.060150376,0.030075188,0.01754386,0.005012531,0.238095238,0.065162907,0.133165829,0.557894737,0.538847118,0.563909774,0.244444444,NA,NA,NA,0.210526316,0.093567251,0.567164179,0.335820896,0.037313433,0.029850746,0.044776119,0.089552239,1.002512563,0.082706767,20.8,20.6,20360,16560,15240,15320
0,0,29.2,7.9,0.034090909,0.392045455,0.607954545,0,0,0,0.051136364,0.022727273,0.022727273,0,0.073863636,0,0,0,0.147727273,0.613636364,0.287037037,NA,NA,NA,0.220779221,0.155844156,0.9,0.033333333,0.033333333,0,0,0.033333333,0.994318182,0.017045455,18.8,19.2,15000,11440,11280,11360
0,0.052830189,32.2,9.7,0.147169811,0.256603774,0.747169811,0,0.067669173,0,0.04887218,0.037593985,0.015037594,0,0.214285714,0.04887218,0.094339623,0.438596491,0.533834586,0.54887218,0.246575342,NA,NA,NA,0.309090909,0.1,0.539473684,0.355263158,0.078947368,0,0,0.065789474,1,0.353383459,20.4,20.3,19320,15280,15040,14920
0,0.015209125,27.4,6.3,0.102661597,0.228136882,0.768060837,0,0,0,0.022813688,0.015209125,0.007604563,0,0.133079848,0.015209125,0.011406844,0.085714286,0.490494297,0.564885496,0.277027027,NA,NA,NA,0.264150943,0.141509434,0.670886076,0.240506329,0,0.025316456,0.037974684,0.050632911,0.996197719,0.019011407,20.4,20.3,18880,15720,14200,14760
0,0.27654321,21.1,5.8,0.259259259,0.085185185,0.914814815,0,0,0.002469136,0.02962963,0.011111111,0.012345679,0.003703704,0.133333333,0.027160494,0.030864198,0.231481481,0.332098765,0.758024691,0.198697068,NA,NA,NA,0.489837398,0.046747967,0.353413655,0.200803213,0.357429719,0.048192771,0.032128514,0.044176707,1,0.050617284,22.8,22.2,25960,23360,19320,19720
0,0,27.2,5.5,0.053691275,0.305369128,0.697986577,0,0.010033445,0,0.040133779,0.013377926,0.026755853,0,0.120401338,0.046822742,0.046979866,0.388888889,0.2909699,0.608695652,0.236263736,NA,NA,NA,0.217391304,0.065217391,0.71559633,0.137614679,0.100917431,0.027522936,0.036697248,0.055045872,1.003355705,0.264214047,19.8,19.8,17480,14440,14760,15200
0,0.013089005,26.9,6.5,0.034031414,0.287958115,0.712041885,0,0.010471204,0.005235602,0.02617801,0.010471204,0.010471204,0,0.141361257,0.034031414,0.044502618,0.314814815,0.463350785,0.638743455,0.200819672,NA,NA,NA,0.297435897,0.117948718,0.801470588,0.125,0.044117647,0.014705882,0.022058824,0.051470588,0.997382199,0.293193717,20,20,20700,17460,15740,16360
0,0,31,4.8,0.059945504,0.326975477,0.673024523,0,0,0,0.016348774,0.005449591,0.008174387,0,0.231607629,0.065395095,0.035422343,0.152941176,0.694822888,0.517711172,0.236842105,NA,NA,NA,0.280821918,0.116438356,0.817307692,0.115384615,0.057692308,0,0,0.067307692,1,0.068119891,19.6,19.8,18060,14160,14960,15360
0,0.022556391,23,5.4,0.12406015,0.116541353,0.883458647,0,0,0,0.041353383,0.011278195,0.026315789,0,0.052631579,0.030075188,0.011278195,0.214285714,0.563909774,0.721804511,0.15625,NA,NA,NA,0.117283951,0.216049383,0.433566434,0.48951049,0.048951049,0.013986014,0,0.090909091,1,0.030075188,21.6,21.4,22600,19480,15120,15760
0,0.12987013,25.2,6.9,0.300653595,0.267973856,0.738562092,0,0,0,0,0,0,0,0.098039216,0.019607843,0.025974026,0.266666667,0.392156863,0.54248366,0.313253012,NA,NA,NA,0.305084746,0.084745763,0.564102564,0.205128205,0.153846154,0.102564103,0,0,1,0.026143791,20,20.1,18000,15850,13200,13350
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,24,6.6,0,0.295454545,0.704545455,0,0,0,0.113636364,0.068181818,0.045454545,0,0,0,0,NA,0,0.755555556,0.294117647,NA,NA,NA,0.166666667,0.166666667,0.9,0,0,0,0,0,1,0,20.4,19.8,18800,16200,15100,15300
0,0.029900332,29.1,6.9,0.052980132,0.357615894,0.639072848,0,0,0,0.046511628,0.019933555,0.023255814,0,0.099667774,0.03654485,0.029900332,0.3,0.279069767,0.609271523,0.27173913,NA,NA,NA,0.210526316,0.120300752,0.669811321,0.150943396,0.113207547,0.047169811,0.018867925,0.028301887,1,0.209302326,19.6,19.8,17920,14240,14280,14480
0,0,24,5.5,0,0.35106383,0.638297872,0,0,0,0.021505376,0.021505376,0,0,0.053763441,0,0.021505376,0.4,0.150537634,0.680851064,0.15625,NA,NA,NA,0.090909091,0.181818182,0.9,0.04,0,0,0,0.06,1,0,19.8,19.7,16400,14150,16000,16600
0,0.007968127,32.2,11.5,0.123505976,0.266932271,0.729083665,0,0,0,0.039840637,0.023904382,0.015936255,0,0.227091633,0.131474104,0.135458167,0.596491228,0.486055777,0.545816733,0.248175182,NA,NA,NA,0.213592233,0.174757282,0.555555556,0.333333333,0.074074074,0,0.049382716,0.086419753,1,0.047808765,20.4,20.2,18440,15040,14200,15120
0,0.014150943,29.9,8.8,0.122641509,0.245283019,0.754716981,0,0.009433962,0,0.033018868,0.018867925,0.009433962,0,0.132075472,0.033018868,0.056603774,0.428571429,0.377358491,0.650943396,0.268115942,NA,NA,NA,0.138613861,0.168316832,0.651162791,0.279069767,0.069767442,0,0,0.081395349,1.004716981,0.033018868,20.8,20.5,18760,15160,13880,14800
0,0.026315789,22.8,5.6,0,0.324675325,0.662337662,0,0,0,0.052631579,0,0.026315789,0,0.039473684,0,0,0,0.236842105,0.539473684,0.317073171,NA,NA,NA,0.321428571,0.142857143,0.736842105,0.157894737,0.105263158,0,0,0,1,0.026315789,19.8,19.7,8100,14900,15400,15700
0,0.019417476,29,6.7,0.029126214,0.368932039,0.640776699,0,0,0,0.048543689,0.038834951,0,0,0.067961165,0,0,0,0.087378641,0.669902913,0.202898551,NA,NA,NA,0.2,0.127272727,0.931818182,0.068181818,0,0,0,0,1,0.310679612,19.2,19.4,16500,13350,13700,13850
0,0,23.4,7.4,0,0.361111111,0.645833333,0,0,0,0.013888889,0,0.013888889,0,0.097222222,0.041666667,0,0,0.201388889,0.524137931,0.25,NA,NA,NA,0.22807017500000001,0.263157895,0.88372093,0.069767442,0.046511628,0,0,0.046511628,1,0.027586207,19,19.3,17800,16300,14650,14900
0,0,17.5,4.6,0,0.333333333,0.666666667,0,0,0,0.037037037,0.037037037,0,0,0,0,0,NA,0.055555556,0.685185185,0.108108108,NA,NA,NA,0.090909091,0.363636364,0.964285714,0,0,0,0,0,1.018518519,0.166666667,20,19.9,20800,21400,19600,21200
0,0.023668639000000002,33.6,11.7,0.059171598,0.26035503,0.74556213,0,0.017647059,0,0.058823529,0.041176471,0.017647059,0,0.2,0.082352941,0.065088757,0.323529412,0.388235294,0.573964497,0.257731959,NA,NA,NA,0.277777778,0.083333333,0.519230769,0.288461538,0.153846154,0,0.038461538,0,1,0.058823529,20.2,20.2,18880,14150,13650,13200
0,0.031446541,39.2,16,0.202531646,0.246835443,0.759493671,0,0,0,0.012578616,0,0,0,0.408805031,0.182389937,0.245283019,0.6,0.761006289,0.556962025,0.238636364,NA,NA,NA,0.242424242,0.106060606,0.509803922,0.215686275,0.137254902,0.039215686,0.098039216,0,1,0.031446541,20.8,20.6,20200,15200,14100,14450
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,27.7,6.7,0.015217391,0.317391304,0.682608696,0,0.008714597,0.004357298,0.045751634,0.017429194,0.021786492,0.006535948,0.091503268,0.019607843,0.015217391,0.166666667,0.315904139,0.597826087,0.236363636,NA,NA,NA,0.204761905,0.133333333,0.773809524,0.125,0.05952381,0.017857143,0.011904762,0.041666667,1,0.281045752,19.8,19.8,18040,15220,15000,15200
0,0,28.3,7.1,0.088452088,0.326781327,0.673218673,0,0.004914005,0,0.012285012,0.00982801,0.004914005,0,0.267813268,0.066339066,0.071253071,0.266055046,0.665847666,0.572481572,0.274678112,NA,NA,NA,0.313609467,0.082840237,0.732758621,0.103448276,0.103448276,0,0.051724138,0.025862069,0.997542998,0.085995086,19.8,19.8,18280,14860,13600,13800
0,0.046728972,23.4,4.7,0.102803738,0.23364486,0.76635514,0,0,0,0,0,0,0,0.065420561,0.028037383,0.037383178,0.571428571,0.485981308,0.635514019,0.205882353,NA,NA,NA,0.236363636,0.109090909,0.880952381,0.095238095,0.047619048,0,0,0,0.990654206,0.018691589,20.8,20.5,21000,18300,20000,21100
0,0,16.4,4.1,0,0.316455696,0.670886076,0,0,0,0.038461538,0.025641026,0.025641026,0,0,0,0,NA,0,0.602564103,0.170212766,NA,NA,NA,0.102564103,0.230769231,0.888888889,0,0.055555556,0,0,0.083333333,1.012820513,0,19.6,20,20200,19000,16600,18000
0,0.081364829,24.5,4.8,0.138743455,0.214659686,0.782722513,0,0,0,0.020942408,0.010471204,0,0,0.047120419,0,0.005249344,0.111111111,0.183246073,0.709424084,0.236162362,NA,NA,NA,0.342995169,0.086956522,0.407407407,0.148148148,0.311111111,0.096296296,0.02962963,0.066666667,1,0.044502618,20.8,20.6,19220,16420,15800,15940
0,0.014354067,26.2,9.1,0.09047619,0.314285714,0.680952381,0,0,0,0.076190476,0.066666667,0.014285714,0,0.123809524,0.023809524,0.033492823,0.269230769,0.295238095,0.580952381,0.213114754,NA,NA,NA,0.126315789,0.178947368,0.722891566,0.096385542,0.180722892,0,0,0.024096386,1,0,19.6,19.9,19600,16840,16120,16320
0,0,27.7,6.8,0.04526749,0.341563786,0.658436214,0,0,0,0.04526749,0.032921811,0.008230453,0,0.061728395,0.020576132,0.012345679,0.2,0.16872428,0.621399177,0.198675497,NA,NA,NA,0.154471545,0.130081301,0.923076923,0.019230769,0.019230769,0,0.019230769,0.019230769,1,0.065843621,19.6,19.6,17760,14800,14720,14960
0,0,50,5,0,0,0.571428571,0,0,0,0.285714286,0,0,0,0.285714286,0,0,0,0.285714286,0.285714286,0,NA,NA,NA,0,0,0,0,0,0,0,0,0.857142857,0,20.2,20,13000,9000,10000,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0.021052632,31.4,8.4,0.1,0.242105263,0.752631579,0,0,0,0.010582011,0.010582011,0,0,0.232804233,0.058201058,0.084210526,0.363636364,0.677248677,0.578947368,0.318181818,NA,NA,NA,0.21333333300000001,0.146666667,0.827586207,0.137931034,0,0,0,0.051724138,1,0.058201058,20.6,20.4,19000,15680,14320,14700
0,0,35.2,6,0.116129032,0.225806452,0.774193548,0,0,0,0.019354839,0.019354839,0,0,0.232258065,0.032258065,0.077922078,0.333333333,0.612903226,0.541935484,0.285714286,NA,NA,NA,0.220338983,0.06779661,0.595744681,0.234042553,0.063829787,0.063829787,0,0.063829787,1,0.077419355,20.8,20.4,18400,13450,15300,15900
0,0.072727273,25.2,7.3,0.187878788,0.218181818,0.781818182,0,0.024242424,0,0.054545455,0.042424242,0,0,0.296969697,0.096969697,0.103030303,0.346938776,0.593939394,0.609756098,0.16,NA,NA,NA,0.2,0.164705882,0.537313433,0.253731343,0.104477612,0.059701493,0.059701493,0.074626866,1,0.187878788,20.8,20.5,23500,21500,18000,18700
0,0.164021164,19.6,7.6,0.126984127,0.195767196,0.804232804,0,0.015957447,0,0.026595745,0.015957447,0,0,0.111702128,0.015957447,0.031746032,0.285714286,0.345744681,0.712765957,0.179104478,NA,NA,NA,0.412844037,0.073394495,0.515625,0.28125,0.109375,0.109375,0,0.0625,1,0.058510638,22.8,21.5,27850,26100,21440,22320
0,0,30.5,7.2,0.083636364,0.232727273,0.763636364,0,0.007272727,0,0.010909091,0.007272727,0,0,0.167272727,0.021818182,0.050724638,0.304347826,0.661818182,0.585454545,0.279503106,NA,NA,NA,0.239316239,0.102564103,0.775280899,0.146067416,0.06741573,0,0,0.02247191,0.996376812,0.083636364,20.8,20.5,20360,17040,14840,15160
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0.057894737,23.5,5.5,0.095238095,0.132275132,0.867724868,0,0,0,0.052910053,0.037037037,0.010582011,0,0.137566138,0.047619048,0.063157895,0.461538462,0.428571429,0.751322751,0.274647887,NA,NA,NA,0.148514851,0.188118812,0.647058824,0.176470588,0.105882353,0.035294118,0.023529412,0.070588235,0.994736842,0.037037037,21.8,21.3,24160,20680,17720,18240
0,0.034482759,20.2,5.4,0,0.379310345,0.620689655,0,0,0,0.017241379,0,0.017241379,0,0.025862069,0,0,0,0.172413793,0.637931034,0.283783784,NA,NA,NA,0.358490566,0.056603774,0.28125,0.1875,0.40625,0.125,0,0,1,0.017241379,20,19.9,16600,14800,13500,14250
0,0.017751479,25.6,5.4,0.063241107,0.35770751,0.644268775,0,0.00591716,0,0.00591716,0,0,0,0.181459566,0.029585799,0.013806706,0.076086957,0.558185404,0.501976285,0.307086614,NA,NA,NA,0.361581921,0.141242938,0.830357143,0.0625,0.071428571,0.017857143,0.017857143,0,0.998027613,0.043392505,19.2,19.6,17000,14720,13960,14420
0,0.008368201,28.4,6,0.016666667,0.345833333,0.654166667,0,0,0,0.016736402,0.012552301,0.008368201,0,0.10041841,0.033472803,0.025104603,0.25,0.276150628,0.594142259,0.302816901,NA,NA,NA,0.151515152,0.090909091,0.75,0.119047619,0.095238095,0.035714286,0,0,1.0041841,0.058577406,19.6,19.7,17120,13800,14600,15000
0,0.029850746,24.4,8.6,0,0.298507463,0.701492537,0,0,0,0.059701493,0,0.059701493,0,0.044776119,0,0,0,0.089552239,0.656716418,0.25,NA,NA,NA,0.151515152,0.090909091,0.964285714,0,0,0,0,0,1,0.044776119,20.4,20,21400,18600,17000,17200
