3001,3002,3003,3004,3005,3006,3007,3008,3009,3010,3011,3012,3013,3014,3015,3016,3017,3018,3019,3020,3021,3022,3023,3024,3025,3026,3027,3028,3029,3030,3031,3032,3033,3034,3035,3036,3037,3038,3039,3040,3041,3042,3043,3044,3045,3046,3047,3048,3049,3050,3051,3052,3053,3054,3055,3056,3057,3058,3059,3060,3061,3062,3063,3065,3066,3067,3068,3069,3070,3071,3072,3073,3075,3074,3076,3077,3078,3079,3080,3081,3082,3083,3084,3085,3086,3087,3088,3089,3090,3091,3092,3093,3094,3095,3097,3098,3099,3100,3101,3102,3103,3104,3105,3106,3107,3108,3109,3110,3111,3112,3113,3114,3115,3116,3117,VAR_ID
1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,VAR2
0,0.194078947,0.342931937,0.3183391,0.25083612,NA,0.255707763,0.35971223,0.487922705,0.199404762,0.172268908,0.340909091,0.315934066,0.151658768,0.454780362,0.113879004,0.19269103,0.278571429,NA,0.392265193,0.17826087,0.281990521,0.172011662,0.509852217,0.123873874,0.133986928,0.096774194,0.173469388,0.268156425,NA,0.316455696,0.183644189,0.114285714,0.210031348,0.188925081,0.180904523,0.117021277,0.107843137,0.131782946,0.293577982,0.266666667,NA,0.132743363,0.133333333,0.238095238,0.151162791,0.323193916,0.210526316,0.127329193,0.285714286,0.6,0.167785235,0.207792208,0.336956522,0.513605442,0.148594378,NA,0.255813953,0.262626263,0.225981055,0.175879397,0.1875,0.266519824,0.373626374,0.330578512,0.521008403,0.398907104,0.414457831,0.172489083,0.146341463,0.15819209,0.170588235,0.137254902,0.171974522,0.175925926,0.29787234,0.153439153,0.159183673,0.151515152,0.210122699,0.285123967,0.226130653,NA,0.148148148,0.145833333,0.341576507,0.41,0.203208556,0.297468354,0.149253731,0.213235294,0.196428571,0.205882353,0.183716075,0.15248227,0.281407035,0.158227848,0.138888889,0.357289528,0.12987013,0.193482688,0.399380805,0.284615385,0.192204301,0.115942029,0.22983871,0.128691983,0.150684932,0.367164179,0.478395062,0.152173913,0.289855072,0.541666667,0.4,0.404186795,VAR9
28,19,45.6,34.8,29.3,NA,34,37.2,44.6,27,36.2,32.9,35.3,30.3,33.8,32.3,28.8,28.1,NA,40.5,25.2,35,22.8,27,26,29.7,41,33.8,18,NA,34.4,30.4,31.4,30,33.9,22.4,26.7,23.6,40,35.8,41,NA,27.2,35.2,30.4,21,16.2,34.7,28.9,36,NA,34.6,32.6,42,35.3,34.6,NA,37,16.9,25.4,30.7,35.2,24.6,58,34.4,36,20.8,31.7,21.5,34.4,20.8,28.8,26.7,23,31.2,16.4,30.6,31.6,27.9,24.9,18.3,17.3,NA,29.3,31.6,41.2,43.2,38.2,23.5,33.8,21.8,34,33.4,32,33.6,27.9,22.3,28.9,29.2,5.1,21.4,25.4,34.4,27.9,29.3,32.8,29.7,24.8,33.2,46.4,42.8,31.6,48.2,26.1,29.3,VAR14
26,17.9,39.7,31.5,26.7,NA,31.9,35.6,41.8,25.1,32.8,30.2,31.4,27.1,30.8,27.8,25.2,26.9,NA,37,23,31.8,20.3,23.9,23.1,25.3,35.8,31.6,16.1,NA,29.8,26.9,27.6,27.3,30.5,19.3,23.1,20.3,37.2,32.2,36,NA,23.1,30.9,27.7,16.6,13.7,31.1,25,40,NA,29.7,28,37.4,30.6,28.1,NA,30.6,15.2,23.1,26.8,29.4,21.8,51.7,35.6,31.1,16.9,28.2,18.9,28.6,18.6,27.5,28.1,26.6,27,14.4,26,27.9,23.9,21.9,16.1,15.8,NA,25.9,26.9,36.4,38,32.6,20.9,29.3,19.1,31,29.8,28.7,28.4,26.1,21.8,25.2,26.6,3.8,18.7,21.8,30,25.1,24,29.7,24.5,22.7,29,40.8,37.6,25.2,45.3,23.8,26.6,VAR17
0,0.052805281,0.17539267,0.110726644,0.070234114,NA,0.050458716,0.15942029,0.388349515,0.032738095,0.042016807,0.126033058,0.079889807,0.05371248,0.134366925,0.071428571,0.033222591,0.071684588,NA,0.196132597,0.069565217,0.111111111,0.052631579,0.203452528,0.029213483,0.088235294,0.133640553,0.086734694,0.016759777,NA,0.088607595,0.048710602,0.057142857,0.053291536,0.04248366,0.03030303,0.032085561,0.039215686,0.054263566,0.097859327,0.153846154,NA,0.056737589,0.092307692,0.06547619,0.098265896,0.083809524,0.063711911,0.027950311,0,NA,0.114864865,0.11038961,0.173913043,0.26440678,0.104417671,NA,0.058479532,0.025252525,0.058186739,0.060301508,0.1125,0.079295154,0.371323529,0.098360656,0.327731092,0.120879121,0.209638554,0.041394336,0.085365854,0,0.064705882,0.039215686,0.057324841,0.111111111,0.042704626,0.04787234,0.079591837,0.033492823,0.082822086,0.070247934,0.055276382,NA,0.02173913,0.078125,0.174652241,0.19,0.112299465,0.094637224,0.085820896,0.081481481,0.045045045,0.019607843,0.035490605,0.088652482,0.136363636,0.025316456,0.072222222,0.159836066,0,0.028513238,0.179566563,0.053846154,0.038926174,0.043478261,0.080645161,0.065400844,0.032110092,0.134328358,0.240740741,0.108695652,0.1,0.464150943,0.201581028,0.119162641,VAR19
0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VAR21
0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,VAR23
1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,VAR25
0,0,0.020942408,0.034602076,0,NA,0,0,0.038834951,0.023809524,0.012658228,0,0,0.003159558,0.005167959,0,0.05,0.007142857,NA,0.013774105,0,0.028368794,0,0.00862069,0.013513514,0.075163399,0.01843318,0,0,NA,0,0.015781923,0,0,0,0,0.026595745,0,0.030769231,0.009146341,0.010204082,NA,0.02300885,0.030927835,0,0,0,0,0.00623053,0,0,0.013513514,0.012987013,0.037837838,0.020408163,0.032,NA,0,0,0.005420054,0,0,0,0.036764706,0.016393443,0.079831933,0.016483516,0.060386473,0.004357298,0,0,0,0,0,0.027777778,0,0,0.008163265,0.007974482,0.015337423,0,0,NA,0.023965142,0,0.047913447,0,0.048128342,0.006329114,0.046641791,0.022058824,0,0.034482759,0.03131524,0,0,0.012658228,0.005540166,0.018480493,0,0.014256619,0.027863777,0,0,0,0,0.006315789,0,0.050746269,0.067901235,0.021978022,0.057142857,0.011320755,0.00990099,0,VAR50
